gene,sgRNA,class,L1,L2,L3,L4,H1,H2,H3,H4
G0001,G0001_1,inactive,185.0,0.0,0.0,425.0,216.0,0.0,0.0,457.0
G0001,G0001_2,inactive,2102.0,597.0,531.0,1775.0,1665.0,711.0,330.0,2117.0
G0001,G0001_3,inactive,495.0,748.0,1498.0,985.0,382.0,570.0,898.0,1091.0
G0001,G0001_4,inactive,974.0,512.0,1019.0,298.0,762.0,442.0,695.0,235.0
G0001,G0001_5,inactive,0.0,0.0,336.0,164.0,0.0,0.0,158.0,139.0
G0001,G0001_6,inactive,576.0,0.0,234.0,216.0,567.0,0.0,174.0,192.0
G0001,G0001_7,inactive,639.0,1038.0,434.0,538.0,509.0,668.0,507.0,625.0
G0001,G0001_8,inactive,598.0,188.0,240.0,127.0,476.0,178.0,210.0,210.0
G0001,G0001_9,inactive,984.0,1041.0,744.0,517.0,796.0,899.0,509.0,660.0
G0001,G0001_10,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_11,inactive,453.0,704.0,465.0,217.0,393.0,552.0,481.0,170.0
G0002,G0002_12,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_13,inactive,420.0,562.0,842.0,0.0,214.0,555.0,491.0,0.0
G0002,G0002_14,inactive,1049.0,424.0,194.0,835.0,663.0,375.0,271.0,731.0
G0002,G0002_15,inactive,0.0,251.0,230.0,273.0,0.0,249.0,91.0,182.0
G0002,G0002_16,inactive,0.0,0.0,279.0,0.0,0.0,0.0,204.0,0.0
G0002,G0002_17,inactive,1699.0,2041.0,828.0,376.0,1359.0,1818.0,654.0,327.0
G0002,G0002_18,inactive,0.0,279.0,210.0,301.0,0.0,142.0,215.0,234.0
G0002,G0002_19,inactive,593.0,259.0,437.0,250.0,297.0,180.0,463.0,209.0
G0002,G0002_20,inactive,493.0,156.0,302.0,0.0,339.0,205.0,229.0,0.0
G0003,G0003_21,increasing,0.0,0.0,0.0,0.0,4946.0,0.0,0.0,10151.0
G0003,G0003_22,increasing,0.0,0.0,0.0,0.0,0.0,0.0,4941.0,0.0
G0003,G0003_23,increasing,0.0,0.0,223.0,0.0,9371.0,14503.0,10156.0,15016.0
G0003,G0003_24,increasing,0.0,0.0,0.0,0.0,5056.0,5076.0,4388.0,0.0
G0003,G0003_25,increasing,0.0,0.0,286.0,0.0,19270.0,9740.0,9665.0,15291.0
G0003,G0003_26,increasing,0.0,0.0,0.0,0.0,9455.0,0.0,4469.0,9411.0
G0003,G0003_27,increasing,131.0,161.0,0.0,254.0,284.0,1027.0,0.0,969.0
G0003,G0003_28,increasing,490.0,0.0,0.0,0.0,19213.0,9883.0,18206.0,25283.0
G0003,G0003_29,increasing,0.0,0.0,0.0,0.0,8911.0,5151.0,9187.0,0.0
G0003,G0003_30,increasing,0.0,0.0,359.0,0.0,4577.0,19968.0,15104.0,10176.0
G0004,G0004_31,inactive,394.0,536.0,234.0,541.0,317.0,401.0,151.0,341.0
G0004,G0004_32,inactive,300.0,437.0,196.0,665.0,150.0,299.0,198.0,550.0
G0004,G0004_33,inactive,184.0,392.0,370.0,440.0,219.0,417.0,327.0,385.0
G0004,G0004_34,inactive,999.0,955.0,0.0,217.0,645.0,663.0,0.0,164.0
G0004,G0004_35,inactive,271.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0
G0004,G0004_36,inactive,161.0,133.0,474.0,300.0,280.0,192.0,366.0,529.0
G0004,G0004_37,inactive,776.0,670.0,378.0,441.0,548.0,657.0,488.0,411.0
G0004,G0004_38,inactive,200.0,0.0,0.0,167.0,147.0,0.0,0.0,261.0
G0004,G0004_39,inactive,552.0,0.0,0.0,360.0,284.0,0.0,0.0,443.0
G0004,G0004_40,inactive,442.0,280.0,222.0,1041.0,357.0,165.0,221.0,792.0
G0005,G0005_41,inactive,446.0,402.0,880.0,559.0,301.0,482.0,899.0,747.0
G0005,G0005_42,inactive,152.0,537.0,0.0,231.0,104.0,376.0,0.0,210.0
G0005,G0005_43,inactive,276.0,0.0,217.0,0.0,174.0,0.0,110.0,0.0
G0005,G0005_44,inactive,406.0,335.0,194.0,893.0,453.0,145.0,338.0,758.0
G0005,G0005_45,inactive,0.0,533.0,646.0,0.0,0.0,370.0,468.0,0.0
G0005,G0005_46,inactive,400.0,0.0,276.0,213.0,271.0,0.0,124.0,246.0
G0005,G0005_47,inactive,140.0,0.0,544.0,0.0,212.0,0.0,337.0,0.0
G0005,G0005_48,inactive,0.0,208.0,289.0,397.0,0.0,224.0,162.0,400.0
G0005,G0005_49,inactive,570.0,721.0,192.0,436.0,546.0,662.0,221.0,370.0
