gene,barcodeid,class,L1,H1,L2,H2,L3,H3,L4,H4
G0001,G0001_1,inactive,639.0,492.0,639.0,492.0,639.0,492.0,639.0,492.0
G0001,G0001_2,inactive,170.0,169.0,170.0,169.0,170.0,169.0,170.0,169.0
G0001,G0001_3,inactive,1233.0,1165.0,1233.0,1165.0,1233.0,1165.0,1233.0,1165.0
G0001,G0001_4,inactive,1885.0,1877.0,1885.0,1877.0,1885.0,1877.0,1885.0,1877.0
G0001,G0001_5,inactive,174.0,172.0,174.0,172.0,174.0,172.0,174.0,172.0
G0001,G0001_6,inactive,173.0,246.0,173.0,246.0,173.0,246.0,173.0,246.0
G0001,G0001_7,inactive,792.0,716.0,792.0,716.0,792.0,716.0,792.0,716.0
G0001,G0001_8,inactive,1723.0,1643.0,1723.0,1643.0,1723.0,1643.0,1723.0,1643.0
G0001,G0001_9,inactive,535.0,544.0,535.0,544.0,535.0,544.0,535.0,544.0
G0001,G0001_10,inactive,1312.0,1213.0,1312.0,1213.0,1312.0,1213.0,1312.0,1213.0
G0002,G0002_11,inactive,352.0,451.0,352.0,451.0,352.0,451.0,352.0,451.0
G0002,G0002_12,inactive,449.0,402.0,449.0,402.0,449.0,402.0,449.0,402.0
G0002,G0002_13,inactive,1471.0,1337.0,1471.0,1337.0,1471.0,1337.0,1471.0,1337.0
G0002,G0002_14,inactive,590.0,623.0,590.0,623.0,590.0,623.0,590.0,623.0
G0002,G0002_15,inactive,661.0,460.0,661.0,460.0,661.0,460.0,661.0,460.0
G0002,G0002_16,inactive,523.0,435.0,523.0,435.0,523.0,435.0,523.0,435.0
G0002,G0002_17,inactive,523.0,521.0,523.0,521.0,523.0,521.0,523.0,521.0
G0002,G0002_18,inactive,1692.0,1765.0,1692.0,1765.0,1692.0,1765.0,1692.0,1765.0
G0002,G0002_19,inactive,1987.0,1758.0,1987.0,1758.0,1987.0,1758.0,1987.0,1758.0
G0002,G0002_20,inactive,441.0,508.0,441.0,508.0,441.0,508.0,441.0,508.0
G0003,G0003_21,inactive,797.0,957.0,797.0,957.0,797.0,957.0,797.0,957.0
G0003,G0003_22,inactive,486.0,470.0,486.0,470.0,486.0,470.0,486.0,470.0
G0003,G0003_23,inactive,482.0,451.0,482.0,451.0,482.0,451.0,482.0,451.0
G0003,G0003_24,inactive,937.0,846.0,937.0,846.0,937.0,846.0,937.0,846.0
G0003,G0003_25,inactive,730.0,853.0,730.0,853.0,730.0,853.0,730.0,853.0
G0003,G0003_26,inactive,417.0,393.0,417.0,393.0,417.0,393.0,417.0,393.0
G0003,G0003_27,inactive,661.0,707.0,661.0,707.0,661.0,707.0,661.0,707.0
G0003,G0003_28,inactive,778.0,830.0,778.0,830.0,778.0,830.0,778.0,830.0
G0003,G0003_29,inactive,4386.0,4556.0,4386.0,4556.0,4386.0,4556.0,4386.0,4556.0
G0003,G0003_30,inactive,415.0,444.0,415.0,444.0,415.0,444.0,415.0,444.0
G0004,G0004_31,negcontrol,1301.0,1286.0,1301.0,1286.0,1301.0,1286.0,1301.0,1286.0
G0004,G0004_32,negcontrol,139.0,69.0,139.0,69.0,139.0,69.0,139.0,69.0
G0004,G0004_33,negcontrol,176.0,167.0,176.0,167.0,176.0,167.0,176.0,167.0
G0004,G0004_34,negcontrol,439.0,370.0,439.0,370.0,439.0,370.0,439.0,370.0
G0004,G0004_35,negcontrol,2043.0,1888.0,2043.0,1888.0,2043.0,1888.0,2043.0,1888.0
