gene,barcodeid,class,L1,H1,L2,H2,L3,H3,L4,H4
G0001,G0001_1,inactive,373.0,382.0,373.0,382.0,373.0,382.0,373.0,382.0
G0001,G0001_2,inactive,4369.0,4117.0,4369.0,4117.0,4369.0,4117.0,4369.0,4117.0
G0001,G0001_3,inactive,984.0,858.0,984.0,858.0,984.0,858.0,984.0,858.0
G0001,G0001_4,inactive,1876.0,1666.0,1876.0,1666.0,1876.0,1666.0,1876.0,1666.0
G0001,G0001_5,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0001,G0001_6,inactive,1345.0,1257.0,1345.0,1257.0,1345.0,1257.0,1345.0,1257.0
G0001,G0001_7,inactive,1378.0,1300.0,1378.0,1300.0,1378.0,1300.0,1378.0,1300.0
G0001,G0001_8,inactive,960.0,856.0,960.0,856.0,960.0,856.0,960.0,856.0
G0001,G0001_9,inactive,2335.0,2153.0,2335.0,2153.0,2335.0,2153.0,2335.0,2153.0
G0001,G0001_10,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_11,inactive,889.0,901.0,889.0,901.0,889.0,901.0,889.0,901.0
G0002,G0002_12,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_13,inactive,854.0,875.0,854.0,875.0,854.0,875.0,854.0,875.0
G0002,G0002_14,inactive,1864.0,1759.0,1864.0,1759.0,1864.0,1759.0,1864.0,1759.0
G0002,G0002_15,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_16,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_17,inactive,3711.0,3225.0,3711.0,3225.0,3711.0,3225.0,3711.0,3225.0
G0002,G0002_18,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_19,inactive,963.0,840.0,963.0,840.0,963.0,840.0,963.0,840.0
G0002,G0002_20,inactive,858.0,916.0,858.0,916.0,858.0,916.0,858.0,916.0
G0003,G0003_21,increasing,0.0,1976.0,0.0,1976.0,0.0,1976.0,0.0,1976.0
G0003,G0003_22,increasing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0003,G0003_23,increasing,47.0,3443.0,47.0,3443.0,47.0,3443.0,47.0,3443.0
G0003,G0003_24,increasing,0.0,1936.0,0.0,1936.0,0.0,1936.0,0.0,1936.0
G0003,G0003_25,increasing,13.0,7464.0,13.0,7464.0,13.0,7464.0,13.0,7464.0
G0003,G0003_26,increasing,12.0,3452.0,12.0,3452.0,12.0,3452.0,12.0,3452.0
G0003,G0003_27,increasing,334.0,505.0,334.0,505.0,334.0,505.0,334.0,505.0
G0003,G0003_28,increasing,1000.0,7841.0,1000.0,7841.0,1000.0,7841.0,1000.0,7841.0
G0003,G0003_29,increasing,50.0,2971.0,50.0,2971.0,50.0,2971.0,50.0,2971.0
G0003,G0003_30,increasing,6.0,1621.0,6.0,1621.0,6.0,1621.0,6.0,1621.0
G0004,G0004_31,inactive,808.0,951.0,808.0,951.0,808.0,951.0,808.0,951.0
G0004,G0004_32,inactive,505.0,386.0,505.0,386.0,505.0,386.0,505.0,386.0
G0004,G0004_33,inactive,436.0,531.0,436.0,531.0,436.0,531.0,436.0,531.0
G0004,G0004_34,inactive,1796.0,1720.0,1796.0,1720.0,1796.0,1720.0,1796.0,1720.0
G0004,G0004_35,inactive,573.0,443.0,573.0,443.0,573.0,443.0,573.0,443.0
G0004,G0004_36,inactive,422.0,393.0,422.0,393.0,422.0,393.0,422.0,393.0
G0004,G0004_37,inactive,1405.0,1283.0,1405.0,1283.0,1405.0,1283.0,1405.0,1283.0
G0004,G0004_38,inactive,469.0,379.0,469.0,379.0,469.0,379.0,469.0,379.0
G0004,G0004_39,inactive,952.0,830.0,952.0,830.0,952.0,830.0,952.0,830.0
G0004,G0004_40,inactive,986.0,904.0,986.0,904.0,986.0,904.0,986.0,904.0
G0005,G0005_41,inactive,867.0,830.0,867.0,830.0,867.0,830.0,867.0,830.0
G0005,G0005_42,inactive,422.0,380.0,422.0,380.0,422.0,380.0,422.0,380.0
G0005,G0005_43,inactive,544.0,401.0,544.0,401.0,544.0,401.0,544.0,401.0
G0005,G0005_44,inactive,951.0,854.0,951.0,854.0,951.0,854.0,951.0,854.0
G0005,G0005_45,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0005,G0005_46,inactive,870.0,863.0,870.0,863.0,870.0,863.0,870.0,863.0
G0005,G0005_47,inactive,409.0,436.0,409.0,436.0,409.0,436.0,409.0,436.0
G0005,G0005_48,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0005,G0005_49,inactive,1338.0,1395.0,1338.0,1395.0,1338.0,1395.0,1338.0,1395.0
G0005,G0005_50,inactive,897.0,834.0,897.0,834.0,897.0,834.0,897.0,834.0
G0006,G0006_51,inactive,1845.0,1665.0,1845.0,1665.0,1845.0,1665.0,1845.0,1665.0
G0006,G0006_52,inactive,1302.0,1338.0,1302.0,1338.0,1302.0,1338.0,1302.0,1338.0
G0006,G0006_53,inactive,459.0,400.0,459.0,400.0,459.0,400.0,459.0,400.0
G0006,G0006_54,inactive,396.0,392.0,396.0,392.0,396.0,392.0,396.0,392.0
G0006,G0006_55,inactive,1876.0,1779.0,1876.0,1779.0,1876.0,1779.0,1876.0,1779.0
G0006,G0006_56,inactive,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0
G0006,G0006_57,inactive,1301.0,1373.0,1301.0,1373.0,1301.0,1373.0,1301.0,1373.0
G0006,G0006_58,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0006,G0006_59,inactive,1248.0,1438.0,1248.0,1438.0,1248.0,1438.0,1248.0,1438.0
G0006,G0006_60,inactive,1044.0,790.0,1044.0,790.0,1044.0,790.0,1044.0,790.0
G0007,G0007_61,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0007,G0007_62,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0007,G0007_63,inactive,408.0,457.0,408.0,457.0,408.0,457.0,408.0,457.0
G0007,G0007_64,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0007,G0007_65,inactive,1270.0,1208.0,1270.0,1208.0,1270.0,1208.0,1270.0,1208.0
G0007,G0007_66,inactive,989.0,799.0,989.0,799.0,989.0,799.0,989.0,799.0
G0007,G0007_67,inactive,442.0,446.0,442.0,446.0,442.0,446.0,442.0,446.0
G0007,G0007_68,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0007,G0007_69,inactive,394.0,443.0,394.0,443.0,394.0,443.0,394.0,443.0
G0007,G0007_70,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0008,G0008_71,inactive,424.0,402.0,424.0,402.0,424.0,402.0,424.0,402.0
G0008,G0008_72,inactive,934.0,869.0,934.0,869.0,934.0,869.0,934.0,869.0
G0008,G0008_73,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0008,G0008_74,inactive,2237.0,2109.0,2237.0,2109.0,2237.0,2109.0,2237.0,2109.0
G0008,G0008_75,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0008,G0008_76,inactive,4242.0,3646.0,4242.0,3646.0,4242.0,3646.0,4242.0,3646.0
G0008,G0008_77,inactive,865.0,873.0,865.0,873.0,865.0,873.0,865.0,873.0
G0008,G0008_78,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0008,G0008_79,inactive,520.0,349.0,520.0,349.0,520.0,349.0,520.0,349.0
G0008,G0008_80,inactive,1608.0,1794.0,1608.0,1794.0,1608.0,1794.0,1608.0,1794.0
G0009,G0009_81,inactive,996.0,817.0,996.0,817.0,996.0,817.0,996.0,817.0
G0009,G0009_82,inactive,526.0,354.0,526.0,354.0,526.0,354.0,526.0,354.0
G0009,G0009_83,inactive,893.0,815.0,893.0,815.0,893.0,815.0,893.0,815.0
G0009,G0009_84,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0009,G0009_85,inactive,446.0,493.0,446.0,493.0,446.0,493.0,446.0,493.0
G0009,G0009_86,inactive,923.0,863.0,923.0,863.0,923.0,863.0,923.0,863.0
G0009,G0009_87,inactive,457.0,419.0,457.0,419.0,457.0,419.0,457.0,419.0
G0009,G0009_88,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0009,G0009_89,inactive,2670.0,2556.0,2670.0,2556.0,2670.0,2556.0,2670.0,2556.0
G0009,G0009_90,inactive,2820.0,2499.0,2820.0,2499.0,2820.0,2499.0,2820.0,2499.0
G0010,G0010_91,negcontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0010,G0010_92,negcontrol,968.0,711.0,968.0,711.0,968.0,711.0,968.0,711.0
G0010,G0010_93,negcontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0010,G0010_94,negcontrol,928.0,811.0,928.0,811.0,928.0,811.0,928.0,811.0
G0010,G0010_95,negcontrol,513.0,356.0,513.0,356.0,513.0,356.0,513.0,356.0
G0010,G0010_96,negcontrol,973.0,761.0,973.0,761.0,973.0,761.0,973.0,761.0
G0010,G0010_97,negcontrol,972.0,829.0,972.0,829.0,972.0,829.0,972.0,829.0
G0010,G0010_98,negcontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0010,G0010_99,negcontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0010,G0010_100,negcontrol,2356.0,2013.0,2356.0,2013.0,2356.0,2013.0,2356.0,2013.0
G0011,G0011_101,decreasing,759.0,224.0,759.0,224.0,759.0,224.0,759.0,224.0
G0011,G0011_102,decreasing,1659.0,401.0,1659.0,401.0,1659.0,401.0,1659.0,401.0
G0011,G0011_103,decreasing,3229.0,321.0,3229.0,321.0,3229.0,321.0,3229.0,321.0
G0011,G0011_104,decreasing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0011,G0011_105,decreasing,10820.0,2218.0,10820.0,2218.0,10820.0,2218.0,10820.0,2218.0
G0011,G0011_106,decreasing,1183.0,38.0,1183.0,38.0,1183.0,38.0,1183.0,38.0
G0011,G0011_107,decreasing,1991.0,256.0,1991.0,256.0,1991.0,256.0,1991.0,256.0
G0011,G0011_108,decreasing,1197.0,66.0,1197.0,66.0,1197.0,66.0,1197.0,66.0
G0011,G0011_109,decreasing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0011,G0011_110,decreasing,2422.0,129.0,2422.0,129.0,2422.0,129.0,2422.0,129.0
G0012,G0012_111,inactive,794.0,783.0,794.0,783.0,794.0,783.0,794.0,783.0
