"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","increasing",688,403,250,392,1867,900,936,952
"2","G0001","G0001_02","increasing",3088,2556,2754,2763,9027,8593,8585,8952
"3","G0001","G0001_03","increasing",1014,1023,1087,1095,3094,3914,3903,3643
"4","G0001","G0001_04","increasing",4420,2801,2742,3366,13425,9666,7939,12432
"5","G0001","G0001_05","increasing",598,717,786,871,1726,2623,2445,2744
"6","G0001","G0001_06","increasing",658,788,341,901,2065,2810,1356,3062
"7","G0001","G0001_07","increasing",502,569,460,692,298,457,366,633
"8","G0001","G0001_08","increasing",468,266,230,304,890,625,801,1173
"9","G0001","G0001_09","increasing",878,905,862,916,2944,4499,2504,2661
"10","G0001","G0001_10","increasing",475,449,774,586,1169,1479,2329,2090
"11","G0002","G0002_01","inactive",721,289,410,373,497,234,316,323
"12","G0002","G0002_02","inactive",236,193,247,218,151,120,174,221
"13","G0002","G0002_03","inactive",264,161,91,152,156,132,73,114
"14","G0002","G0002_04","inactive",213,259,82,186,180,174,87,173
"15","G0002","G0002_05","inactive",205,295,197,145,138,161,132,109
"16","G0002","G0002_06","inactive",443,257,301,298,284,181,235,258
"17","G0002","G0002_07","inactive",156,88,85,335,96,61,65,251
"18","G0002","G0002_08","inactive",507,201,163,321,349,151,103,258
"19","G0002","G0002_09","inactive",685,311,370,298,412,222,275,297
"20","G0002","G0002_10","inactive",255,475,317,390,169,435,261,320
"21","G0003","G0003_01","inactive",513,730,420,509,322,498,261,385
"22","G0003","G0003_02","inactive",871,498,1020,615,583,380,781,450
"23","G0003","G0003_03","inactive",498,155,185,184,298,145,131,140
"24","G0003","G0003_04","inactive",717,970,435,1045,452,753,338,853
"25","G0003","G0003_05","inactive",485,545,357,712,251,403,248,553
"26","G0003","G0003_06","inactive",82,251,182,83,61,153,144,117
"27","G0003","G0003_07","inactive",534,481,524,593,404,409,371,448
"28","G0003","G0003_08","inactive",894,1148,537,743,517,874,350,666
"29","G0003","G0003_09","inactive",375,430,397,396,333,352,247,369
"30","G0003","G0003_10","inactive",245,418,263,411,161,336,173,372
"31","G0004","G0004_01","decreasing",127,207,238,64,15,64,116,8
"32","G0004","G0004_02","decreasing",275,275,118,359,189,204,90,276
"33","G0004","G0004_03","decreasing",335,413,287,304,89,171,99,124
"34","G0004","G0004_04","decreasing",218,110,102,67,103,42,69,27
"35","G0004","G0004_05","decreasing",101,52,41,40,45,19,0,0
"36","G0004","G0004_06","decreasing",118,49,84,92,35,8,8,26
"37","G0004","G0004_07","decreasing",1811,1707,1357,1478,1170,1168,967,1173
"38","G0004","G0004_08","decreasing",10,37,15,49,0,3,0,0
"39","G0004","G0004_09","decreasing",44,23,54,52,30,1,37,20
"40","G0004","G0004_10","decreasing",98,146,82,71,2,64,60,6
"41","G0005","G0005_01","inactive",330,427,623,317,158,380,439,249
"42","G0005","G0005_02","inactive",760,1120,793,792,412,801,552,705
"43","G0005","G0005_03","inactive",117,78,82,233,78,56,63,179
"44","G0005","G0005_04","inactive",802,779,698,695,540,684,600,616
"45","G0005","G0005_05","inactive",566,693,473,509,368,610,355,412
"46","G0005","G0005_06","inactive",954,810,675,1154,611,602,486,915
"47","G0005","G0005_07","inactive",388,329,200,269,218,193,159,224
"48","G0005","G0005_08","inactive",921,487,715,485,629,439,518,395
"49","G0005","G0005_09","inactive",137,56,135,82,110,53,108,59
"50","G0005","G0005_10","inactive",452,285,261,365,297,225,190,296
"51","G0006","G0006_01","inactive",201,125,357,136,164,121,268,131
"52","G0006","G0006_02","inactive",453,786,533,754,277,564,432,488
"53","G0006","G0006_03","inactive",91,115,151,132,75,84,101,85
"54","G0006","G0006_04","inactive",547,494,599,540,374,377,410,453
"55","G0006","G0006_05","inactive",203,170,216,283,146,123,162,227
"56","G0006","G0006_06","inactive",399,591,495,501,241,382,381,333
"57","G0006","G0006_07","inactive",188,71,93,70,76,52,48,52
"58","G0006","G0006_08","inactive",394,360,476,349,232,282,387,236
"59","G0006","G0006_09","inactive",344,137,165,161,210,89,141,106
"60","G0006","G0006_10","inactive",27,0,53,35,23,0,43,23
"61","G0007","G0007_01","decreasing",285,270,159,248,91,89,57,68
"62","G0007","G0007_02","decreasing",219,173,255,253,76,45,89,77
"63","G0007","G0007_03","decreasing",306,329,352,271,95,113,169,94
"64","G0007","G0007_04","decreasing",177,188,248,150,13,101,72,27
