gene,barcodeid,class,L1,H1,L2,H2,L3,H3,L4,H4
G0001,G0001_1,inactive,52.0,68.0,52.0,68.0,52.0,68.0,52.0,68.0
G0001,G0001_2,inactive,18.0,13.0,18.0,13.0,18.0,13.0,18.0,13.0
G0001,G0001_3,inactive,93.0,88.0,93.0,88.0,93.0,88.0,93.0,88.0
G0001,G0001_4,inactive,148.0,116.0,148.0,116.0,148.0,116.0,148.0,116.0
G0001,G0001_5,inactive,13.0,10.0,13.0,10.0,13.0,10.0,13.0,10.0
G0001,G0001_6,inactive,25.0,21.0,25.0,21.0,25.0,21.0,25.0,21.0
G0001,G0001_7,inactive,78.0,58.0,78.0,58.0,78.0,58.0,78.0,58.0
G0001,G0001_8,inactive,101.0,81.0,101.0,81.0,101.0,81.0,101.0,81.0
G0001,G0001_9,inactive,41.0,29.0,41.0,29.0,41.0,29.0,41.0,29.0
G0001,G0001_10,inactive,71.0,64.0,71.0,64.0,71.0,64.0,71.0,64.0
G0002,G0002_11,inactive,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
G0002,G0002_12,inactive,36.0,38.0,36.0,38.0,36.0,38.0,36.0,38.0
G0002,G0002_13,inactive,97.0,78.0,97.0,78.0,97.0,78.0,97.0,78.0
G0002,G0002_14,inactive,56.0,51.0,56.0,51.0,56.0,51.0,56.0,51.0
G0002,G0002_15,inactive,28.0,33.0,28.0,33.0,28.0,33.0,28.0,33.0
G0002,G0002_16,inactive,40.0,27.0,40.0,27.0,40.0,27.0,40.0,27.0
G0002,G0002_17,inactive,30.0,31.0,30.0,31.0,30.0,31.0,30.0,31.0
G0002,G0002_18,inactive,139.0,107.0,139.0,107.0,139.0,107.0,139.0,107.0
G0002,G0002_19,inactive,102.0,91.0,102.0,91.0,102.0,91.0,102.0,91.0
G0002,G0002_20,inactive,55.0,36.0,55.0,36.0,55.0,36.0,55.0,36.0
G0003,G0003_21,inactive,77.0,35.0,77.0,35.0,77.0,35.0,77.0,35.0
G0003,G0003_22,inactive,39.0,34.0,39.0,34.0,39.0,34.0,39.0,34.0
G0003,G0003_23,inactive,52.0,25.0,52.0,25.0,52.0,25.0,52.0,25.0
G0003,G0003_24,inactive,24.0,37.0,24.0,37.0,24.0,37.0,24.0,37.0
G0003,G0003_25,inactive,59.0,52.0,59.0,52.0,59.0,52.0,59.0,52.0
G0003,G0003_26,inactive,26.0,21.0,26.0,21.0,26.0,21.0,26.0,21.0
G0003,G0003_27,inactive,28.0,22.0,28.0,22.0,28.0,22.0,28.0,22.0
G0003,G0003_28,inactive,39.0,28.0,39.0,28.0,39.0,28.0,39.0,28.0
G0003,G0003_29,inactive,360.0,229.0,360.0,229.0,360.0,229.0,360.0,229.0
G0003,G0003_30,inactive,34.0,25.0,34.0,25.0,34.0,25.0,34.0,25.0
G0004,G0004_31,negcontrol,102.0,63.0,102.0,63.0,102.0,63.0,102.0,63.0
G0004,G0004_32,negcontrol,15.0,12.0,15.0,12.0,15.0,12.0,15.0,12.0
G0004,G0004_33,negcontrol,24.0,18.0,24.0,18.0,24.0,18.0,24.0,18.0
G0004,G0004_34,negcontrol,34.0,31.0,34.0,31.0,34.0,31.0,34.0,31.0
G0004,G0004_35,negcontrol,172.0,108.0,172.0,108.0,172.0,108.0,172.0,108.0
G0004,G0004_36,negcontrol,67.0,50.0,67.0,50.0,67.0,50.0,67.0,50.0
G0004,G0004_37,negcontrol,267.0,158.0,267.0,158.0,267.0,158.0,267.0,158.0
G0004,G0004_38,negcontrol,39.0,40.0,39.0,40.0,39.0,40.0,39.0,40.0
G0004,G0004_39,negcontrol,62.0,68.0,62.0,68.0,62.0,68.0,62.0,68.0
G0004,G0004_40,negcontrol,191.0,134.0,191.0,134.0,191.0,134.0,191.0,134.0
G0005,G0005_41,inactive,13.0,19.0,13.0,19.0,13.0,19.0,13.0,19.0
G0005,G0005_42,inactive,86.0,55.0,86.0,55.0,86.0,55.0,86.0,55.0
G0005,G0005_43,inactive,58.0,52.0,58.0,52.0,58.0,52.0,58.0,52.0
