"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",400,921,600,661,387,948,635,823
"2","G0001","G0001_02","inactive",1469,2090,2002,1887,1577,2188,2115,2273
"3","G0001","G0001_03","inactive",169,125,71,90,194,196,33,125
"4","G0001","G0001_04","inactive",382,356,274,560,376,422,292,593
"5","G0001","G0001_05","inactive",406,318,314,346,504,432,391,279
"6","G0001","G0001_06","inactive",883,891,1146,836,981,990,1031,1051
"7","G0001","G0001_07","inactive",2014,2421,3222,2005,2040,2604,3045,2139
"8","G0001","G0001_08","inactive",226,515,166,365,209,526,137,339
"9","G0001","G0001_09","inactive",331,200,241,206,271,311,229,207
"10","G0001","G0001_10","inactive",940,984,939,1312,1164,1143,849,1327
"11","G0002","G0002_01","inactive",469,652,583,295,586,833,652,296
"12","G0002","G0002_02","inactive",519,540,282,469,532,715,226,442
"13","G0002","G0002_03","inactive",484,515,479,461,529,486,358,443
"14","G0002","G0002_04","inactive",341,249,356,73,496,310,338,110
"15","G0002","G0002_05","inactive",446,223,462,425,409,241,471,534
"16","G0002","G0002_06","inactive",1014,961,608,890,1117,1012,621,857
"17","G0002","G0002_07","inactive",261,258,251,219,404,242,292,247
"18","G0002","G0002_08","inactive",297,927,1269,737,302,1024,1170,808
"19","G0002","G0002_09","inactive",863,722,842,472,929,855,918,630
"20","G0002","G0002_10","inactive",265,385,202,291,412,412,189,313
"21","G0003","G0003_01","negcontrol",880,1133,525,761,934,1243,674,866
"22","G0003","G0003_02","negcontrol",376,405,442,355,470,512,399,453
"23","G0003","G0003_03","negcontrol",686,1204,1009,1045,829,1217,911,1053
"24","G0003","G0003_04","negcontrol",50,249,396,342,60,325,357,298
"25","G0003","G0003_05","negcontrol",1626,1241,787,1103,1958,1343,937,1089
"26","G0003","G0003_06","negcontrol",1368,1537,1495,1664,1708,1742,1557,1601
"27","G0003","G0003_07","negcontrol",391,980,605,586,440,1202,737,596
"28","G0003","G0003_08","negcontrol",755,769,1325,1079,952,893,1260,1157
"29","G0003","G0003_09","negcontrol",463,463,423,359,517,587,481,294
"30","G0003","G0003_10","negcontrol",945,744,886,833,1081,1022,1020,722
"31","G0004","G0004_01","inactive",3607,3261,4042,3628,4231,3508,4302,3567
"32","G0004","G0004_02","inactive",1395,1007,981,1615,1454,1305,949,1470
"33","G0004","G0004_03","inactive",3469,4013,4578,3339,3593,4483,4383,3588
"34","G0004","G0004_04","inactive",184,557,395,214,290,473,417,226
"35","G0004","G0004_05","inactive",3222,2336,3030,2948,3324,2692,3051,3027
"36","G0004","G0004_06","inactive",810,669,743,595,1061,731,729,598
"37","G0004","G0004_07","inactive",352,128,406,422,506,137,347,451
"38","G0004","G0004_08","inactive",777,985,1220,975,845,877,1396,1087
"39","G0004","G0004_09","inactive",1012,1024,957,577,1140,1001,1029,682
"40","G0004","G0004_10","inactive",999,955,1094,903,1007,965,1166,924
"41","G0005","G0005_01","inactive",1488,1206,1570,1174,1524,1091,1560,1308
"42","G0005","G0005_02","inactive",190,360,332,361,173,468,270,308
"43","G0005","G0005_03","inactive",699,724,672,322,692,750,816,321
"44","G0005","G0005_04","inactive",416,422,549,513,393,567,438,511
"45","G0005","G0005_05","inactive",674,281,474,613,680,313,614,560
"46","G0005","G0005_06","inactive",400,166,487,102,469,132,455,95
"47","G0005","G0005_07","inactive",168,428,570,422,166,496,623,466
"48","G0005","G0005_08","inactive",236,633,362,368,184,760,378,479
"49","G0005","G0005_09","inactive",772,724,983,937,839,903,1029,1081
"50","G0005","G0005_10","inactive",1814,1794,1532,2002,1970,1958,1527,2096
"51","G0006","G0006_01","inactive",1860,2177,2092,1963,2273,2208,2143,1872
"52","G0006","G0006_02","inactive",940,775,714,581,1115,811,840,665
"53","G0006","G0006_03","inactive",1938,2121,1983,1824,1912,2245,2322,1878
"54","G0006","G0006_04","inactive",1248,1157,1057,1175,1343,1243,1098,1190
"55","G0006","G0006_05","inactive",585,786,491,684,682,883,509,674
"56","G0006","G0006_06","inactive",594,1066,534,614,598,1190,639,631
"57","G0006","G0006_07","inactive",1341,1360,1264,1112,1522,1365,1177,1155
"58","G0006","G0006_08","inactive",933,652,857,755,1123,689,706,722
"59","G0006","G0006_09","inactive",1352,1018,1314,1113,1269,1065,1413,1130
"60","G0006","G0006_10","inactive",695,607,566,620,840,611,577,646
"61","G0007","G0007_01","decreasing",1001,526,640,465,946,451,481,355
"62","G0007","G0007_02","decreasing",1115,1214,1633,639,111,203,221,104
"63","G0007","G0007_03","decreasing",1681,1041,2369,1200,202,175,259,88
"64","G0007","G0007_04","decreasing",897,1034,1027,232,167,130,119,176
"65","G0007","G0007_05","decreasing",2717,2060,2092,2197,378,404,281,205
"66","G0007","G0007_06","decreasing",981,1916,3165,2260,103,239,303,358
"67","G0007","G0007_07","decreasing",2015,1616,2005,1745,298,163,311,343
"68","G0007","G0007_08","decreasing",1165,1734,1864,1162,160,323,252,255
"69","G0007","G0007_09","decreasing",4465,5032,4952,3365,723,577,487,481
"70","G0007","G0007_10","decreasing",6448,9929,9812,7420,752,1154,1216,1233
"71","G0008","G0008_01","negcontrol",336,328,422,613,342,351,311,720
"72","G0008","G0008_02","negcontrol",418,666,826,809,488,735,733,733
"73","G0008","G0008_03","negcontrol",342,470,283,260,356,470,285,320
"74","G0008","G0008_04","negcontrol",655,751,611,654,775,894,565,744
"75","G0008","G0008_05","negcontrol",134,137,334,208,142,130,419,166
"76","G0008","G0008_06","negcontrol",445,232,343,286,368,337,280,318
"77","G0008","G0008_07","negcontrol",458,435,968,346,575,490,866,400
"78","G0008","G0008_08","negcontrol",407,506,613,609,428,685,556,492
"79","G0008","G0008_09","negcontrol",1249,857,1160,1089,1240,1018,1152,1264
"80","G0008","G0008_10","negcontrol",408,431,341,76,404,473,384,151
"81","G0009","G0009_01","inactive",537,958,790,736,510,1167,846,726
"82","G0009","G0009_02","inactive",306,481,267,117,268,587,328,156
"83","G0009","G0009_03","inactive",1333,1271,1501,1496,1483,1568,1359,1441
"84","G0009","G0009_04","inactive",440,768,889,381,517,767,947,373
"85","G0009","G0009_05","inactive",384,183,385,275,434,191,376,179
"86","G0009","G0009_06","inactive",119,165,138,205,172,157,148,168
"87","G0009","G0009_07","inactive",687,929,1010,1132,887,871,871,1318
"88","G0009","G0009_08","inactive",2213,2662,1474,2409,2518,2666,1552,2309
"89","G0009","G0009_09","inactive",1496,1738,1418,1011,1662,1923,1346,1010
"90","G0009","G0009_10","inactive",434,409,575,469,440,423,614,486
"91","G0010","G0010_01","inactive",461,318,227,304,391,390,209,328
"92","G0010","G0010_02","inactive",533,1427,920,746,486,1506,992,850
"93","G0010","G0010_03","inactive",840,1127,1637,1371,1030,1397,1511,1660
"94","G0010","G0010_04","inactive",806,622,386,498,822,686,278,451
"95","G0010","G0010_05","inactive",169,210,209,157,233,294,199,164
"96","G0010","G0010_06","inactive",765,979,1086,623,795,1020,1058,680
"97","G0010","G0010_07","inactive",1471,1468,992,1242,1355,1563,1051,1128
"98","G0010","G0010_08","inactive",105,194,39,102,94,119,25,130
"99","G0010","G0010_09","inactive",949,291,362,452,1040,275,370,425
"100","G0010","G0010_10","inactive",699,533,905,583,779,569,925,625
"101","G0011","G0011_01","inactive",360,507,393,680,382,553,373,626
"102","G0011","G0011_02","inactive",451,183,331,344,455,153,431,370
