"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",52,67,49,73,44,49,25,66
"2","G0001","G0001_02","inactive",85,157,106,102,58,82,108,120
"3","G0001","G0001_03","inactive",103,161,167,163,99,93,145,144
"4","G0001","G0001_04","inactive",95,157,149,152,89,85,108,145
"5","G0001","G0001_05","inactive",65,75,60,75,44,37,38,71
"6","G0001","G0001_06","inactive",234,315,395,260,156,227,264,263
"7","G0001","G0001_07","inactive",49,75,43,60,45,62,34,79
"8","G0001","G0001_08","inactive",31,27,89,41,20,28,48,36
"9","G0001","G0001_09","inactive",39,18,59,80,25,14,30,84
"10","G0001","G0001_10","inactive",194,229,257,179,113,175,180,194
"11","G0002","G0002_01","inactive",79,56,136,64,68,41,85,63
"12","G0002","G0002_02","inactive",164,215,156,106,125,137,107,136
"13","G0002","G0002_03","inactive",67,138,94,97,79,112,72,90
"14","G0002","G0002_04","inactive",51,31,47,51,39,15,33,34
"15","G0002","G0002_05","inactive",95,63,66,110,85,57,49,90
"16","G0002","G0002_06","inactive",50,48,63,69,68,45,49,85
"17","G0002","G0002_07","inactive",212,276,257,180,147,169,170,224
"18","G0002","G0002_08","inactive",114,134,200,113,90,98,164,115
"19","G0002","G0002_09","inactive",65,96,51,87,60,51,63,92
"20","G0002","G0002_10","inactive",80,57,54,66,56,39,43,89
"21","G0003","G0003_01","inactive",65,75,112,85,52,46,83,80
"22","G0003","G0003_02","inactive",194,411,328,297,145,275,240,282
"23","G0003","G0003_03","inactive",34,31,46,51,34,32,24,43
"24","G0003","G0003_04","inactive",205,167,213,154,174,133,176,164
"25","G0003","G0003_05","inactive",97,110,93,45,79,46,85,47
"26","G0003","G0003_06","inactive",95,101,98,130,84,86,69,142
"27","G0003","G0003_07","inactive",46,55,75,50,18,41,52,59
"28","G0003","G0003_08","inactive",20,59,60,34,21,51,35,34
"29","G0003","G0003_09","inactive",53,39,66,37,20,41,44,48
"30","G0003","G0003_10","inactive",198,269,263,234,172,214,165,275
"31","G0004","G0004_01","inactive",198,319,269,212,164,243,183,250
"32","G0004","G0004_02","inactive",70,65,52,101,58,41,57,80
"33","G0004","G0004_03","inactive",17,54,68,44,28,32,40,60
"34","G0004","G0004_04","inactive",100,96,33,64,72,62,25,99
"35","G0004","G0004_05","inactive",219,190,166,113,192,111,77,135
"36","G0004","G0004_06","inactive",165,121,170,155,141,105,131,173
"37","G0004","G0004_07","inactive",127,110,133,82,97,66,87,82
"38","G0004","G0004_08","inactive",86,73,88,108,68,63,57,138
"39","G0004","G0004_09","inactive",37,89,108,80,28,74,74,71
"40","G0004","G0004_10","inactive",51,51,51,70,28,34,39,88
"41","G0005","G0005_01","inactive",270,239,373,194,252,154,258,210
"42","G0005","G0005_02","inactive",163,227,158,193,165,126,121,190
"43","G0005","G0005_03","inactive",53,47,61,50,64,36,32,71
"44","G0005","G0005_04","inactive",46,25,21,24,22,14,12,29
"45","G0005","G0005_05","inactive",14,35,15,42,15,45,14,43
"46","G0005","G0005_06","inactive",78,117,113,74,75,73,63,91
"47","G0005","G0005_07","inactive",78,80,138,108,60,59,100,95
"48","G0005","G0005_08","inactive",25,77,64,62,18,41,40,61
"49","G0005","G0005_09","inactive",153,124,83,140,111,88,55,147
"50","G0005","G0005_10","inactive",84,118,119,72,69,70,78,91
"51","G0006","G0006_01","inactive",27,94,20,32,22,68,14,42
"52","G0006","G0006_02","inactive",67,140,106,93,51,89,63,88
"53","G0006","G0006_03","inactive",53,75,83,41,39,53,70,38
"54","G0006","G0006_04","inactive",13,41,40,35,10,28,24,26
"55","G0006","G0006_05","inactive",390,477,442,398,336,317,354,439
"56","G0006","G0006_06","inactive",63,102,83,129,52,71,74,135
"57","G0006","G0006_07","inactive",73,102,72,110,54,88,45,74
"58","G0006","G0006_08","inactive",104,150,102,100,104,110,108,111
"59","G0006","G0006_09","inactive",59,77,58,43,56,58,25,33
"60","G0006","G0006_10","inactive",97,145,70,65,69,85,57,76
"61","G0007","G0007_01","decreasing",15,29,40,32,3,7,23,12
"62","G0007","G0007_02","decreasing",28,45,34,33,7,8,15,11
"63","G0007","G0007_03","decreasing",49,52,52,62,14,16,10,29
"64","G0007","G0007_04","decreasing",23,16,20,15,14,8,9,0
"65","G0007","G0007_05","decreasing",79,100,84,95,29,22,23,27
"66","G0007","G0007_06","decreasing",6,15,9,11,0,1,9,8
"67","G0007","G0007_07","decreasing",41,40,42,43,27,8,20,30
"68","G0007","G0007_08","decreasing",26,22,36,42,16,6,13,16
"69","G0007","G0007_09","decreasing",40,43,38,21,22,15,15,3
"70","G0007","G0007_10","decreasing",33,29,42,57,10,1,3,40
"71","G0008","G0008_01","inactive",80,75,141,129,85,74,87,98
"72","G0008","G0008_02","inactive",151,140,139,152,125,81,86,133
"73","G0008","G0008_03","inactive",7,25,24,11,4,18,15,1
"74","G0008","G0008_04","inactive",166,256,145,194,129,154,97,211
"75","G0008","G0008_05","inactive",31,73,76,28,49,61,40,15
"76","G0008","G0008_06","inactive",114,168,155,117,116,98,139,132
"77","G0008","G0008_07","inactive",43,69,100,66,31,49,70,61
"78","G0008","G0008_08","inactive",27,57,27,24,14,40,22,28
"79","G0008","G0008_09","inactive",37,63,57,63,32,31,32,62
"80","G0008","G0008_10","inactive",30,12,45,43,26,18,30,42
"81","G0009","G0009_01","decreasing",5,0,2,0,0,0,0,0
"82","G0009","G0009_02","decreasing",30,46,28,25,15,23,6,12
"83","G0009","G0009_03","decreasing",11,39,13,20,2,3,16,3
"84","G0009","G0009_04","decreasing",62,71,62,72,22,12,19,35
"85","G0009","G0009_05","decreasing",73,88,78,66,32,22,19,57
"86","G0009","G0009_06","decreasing",143,130,103,126,76,89,72,105
"87","G0009","G0009_07","decreasing",3,8,37,20,0,0,15,7
"88","G0009","G0009_08","decreasing",51,37,49,34,29,12,22,21
"89","G0009","G0009_09","decreasing",38,7,21,18,9,3,4,2
"90","G0009","G0009_10","decreasing",13,16,32,12,8,1,14,5
"91","G0010","G0010_01","inactive",61,45,34,24,55,23,27,17
"92","G0010","G0010_02","inactive",116,75,106,136,122,48,86,167
"93","G0010","G0010_03","inactive",26,30,24,48,18,16,25,40
"94","G0010","G0010_04","inactive",144,94,161,132,95,64,115,160
"95","G0010","G0010_05","inactive",106,112,116,166,88,78,94,189
"96","G0010","G0010_06","inactive",84,121,125,208,71,76,77,177
"97","G0010","G0010_07","inactive",67,73,48,32,52,58,31,50
"98","G0010","G0010_08","inactive",77,116,114,108,74,80,84,146
"99","G0010","G0010_09","inactive",10,22,5,18,18,9,8,18
"100","G0010","G0010_10","inactive",60,83,96,79,55,37,68,73
"101","G0011","G0011_01","inactive",110,199,177,115,84,123,121,158
"102","G0011","G0011_02","inactive",153,163,187,174,123,115,119,175
"103","G0011","G0011_03","inactive",56,48,14,11,39,18,11,20
"104","G0011","G0011_04","inactive",22,50,36,27,27,37,28,27
"105","G0011","G0011_05","inactive",52,69,112,148,29,36,80,119
"106","G0011","G0011_06","inactive",71,112,76,103,67,78,62,125
"107","G0011","G0011_07","inactive",90,100,73,130,91,57,63,144
"108","G0011","G0011_08","inactive",192,297,224,235,128,199,181,237
"109","G0011","G0011_09","inactive",17,37,60,60,20,37,43,63
"110","G0011","G0011_10","inactive",83,98,32,78,81,90,29,67
"111","G0012","G0012_01","increasing",81,144,79,107,1161,877,957,1571
"112","G0012","G0012_02","increasing",301,221,214,128,3163,2061,1864,1636
"113","G0012","G0012_03","increasing",177,243,67,155,2663,2279,424,2070
"114","G0012","G0012_04","increasing",841,826,786,762,9129,8145,8207,10415
"115","G0012","G0012_05","increasing",328,494,516,582,4355,4263,4450,8326
"116","G0012","G0012_06","increasing",140,251,226,328,1501,2337,1691,5232
"117","G0012","G0012_07","increasing",133,67,112,52,1430,201,1379,623
"118","G0012","G0012_08","increasing",228,139,219,177,1886,1382,2663,3430
"119","G0012","G0012_09","increasing",165,247,290,205,2330,2589,2356,2042
"120","G0012","G0012_10","increasing",105,192,288,166,984,1680,3003,2685
"121","G0013","G0013_01","inactive",27,10,10,12,30,3,4,9
"122","G0013","G0013_02","inactive",93,214,141,95,79,131,89,113
"123","G0013","G0013_03","inactive",29,0,14,0,17,0,9,0
"124","G0013","G0013_04","inactive",9,42,16,13,11,11,14,13
"125","G0013","G0013_05","inactive",125,149,165,118,85,77,114,117
"126","G0013","G0013_06","inactive",232,223,197,187,197,166,160,186
"127","G0013","G0013_07","inactive",37,73,32,16,30,44,28,22
"128","G0013","G0013_08","inactive",90,152,122,71,66,96,87,80
"129","G0013","G0013_09","inactive",144,196,198,147,111,111,132,180
"130","G0013","G0013_10","inactive",34,53,77,67,38,29,50,82
"131","G0014","G0014_01","increasing",80,36,65,84,84,48,82,159
"132","G0014","G0014_02","increasing",73,121,58,66,88,109,56,107
"133","G0014","G0014_03","increasing",75,35,77,60,146,31,84,118
