gene,barcodeid,class,L1,H1,L2,H2,L3,H3,L4,H4
G0001,G0001_1,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0001,G0001_2,inactive,1328.0,990.0,1328.0,990.0,1328.0,990.0,1328.0,990.0
G0001,G0001_3,inactive,1087.0,758.0,1087.0,758.0,1087.0,758.0,1087.0,758.0
G0001,G0001_4,inactive,935.0,724.0,935.0,724.0,935.0,724.0,935.0,724.0
G0001,G0001_5,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0001,G0001_6,inactive,1195.0,832.0,1195.0,832.0,1195.0,832.0,1195.0,832.0
G0001,G0001_7,inactive,416.0,235.0,416.0,235.0,416.0,235.0,416.0,235.0
G0001,G0001_8,inactive,3419.0,2733.0,3419.0,2733.0,3419.0,2733.0,3419.0,2733.0
G0001,G0001_9,inactive,900.0,774.0,900.0,774.0,900.0,774.0,900.0,774.0
G0001,G0001_10,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_11,inactive,418.0,270.0,418.0,270.0,418.0,270.0,418.0,270.0
G0002,G0002_12,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_13,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_14,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_15,inactive,1505.0,1090.0,1505.0,1090.0,1505.0,1090.0,1505.0,1090.0
G0002,G0002_16,inactive,5109.0,4309.0,5109.0,4309.0,5109.0,4309.0,5109.0,4309.0
G0002,G0002_17,inactive,1284.0,986.0,1284.0,986.0,1284.0,986.0,1284.0,986.0
G0002,G0002_18,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_19,inactive,443.0,322.0,443.0,322.0,443.0,322.0,443.0,322.0
G0002,G0002_20,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0003,G0003_21,inactive,818.0,626.0,818.0,626.0,818.0,626.0,818.0,626.0
G0003,G0003_22,inactive,1262.0,973.0,1262.0,973.0,1262.0,973.0,1262.0,973.0
G0003,G0003_23,inactive,1052.0,760.0,1052.0,760.0,1052.0,760.0,1052.0,760.0
G0003,G0003_24,inactive,2546.0,1812.0,2546.0,1812.0,2546.0,1812.0,2546.0,1812.0
G0003,G0003_25,inactive,1026.0,671.0,1026.0,671.0,1026.0,671.0,1026.0,671.0
G0003,G0003_26,inactive,1996.0,1589.0,1996.0,1589.0,1996.0,1589.0,1996.0,1589.0
G0003,G0003_27,inactive,1013.0,725.0,1013.0,725.0,1013.0,725.0,1013.0,725.0
G0003,G0003_28,inactive,318.0,190.0,318.0,190.0,318.0,190.0,318.0,190.0
G0003,G0003_29,inactive,458.0,317.0,458.0,317.0,458.0,317.0,458.0,317.0
G0003,G0003_30,inactive,1948.0,1613.0,1948.0,1613.0,1948.0,1613.0,1948.0,1613.0
G0004,G0004_31,negcontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0004,G0004_32,negcontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0004,G0004_33,negcontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0004,G0004_34,negcontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0004,G0004_35,negcontrol,507.0,393.0,507.0,393.0,507.0,393.0,507.0,393.0
G0004,G0004_36,negcontrol,2166.0,1752.0,2166.0,1752.0,2166.0,1752.0,2166.0,1752.0
G0004,G0004_37,negcontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0004,G0004_38,negcontrol,443.0,256.0,443.0,256.0,443.0,256.0,443.0,256.0
G0004,G0004_39,negcontrol,4810.0,3803.0,4810.0,3803.0,4810.0,3803.0,4810.0,3803.0
G0004,G0004_40,negcontrol,1532.0,1204.0,1532.0,1204.0,1532.0,1204.0,1532.0,1204.0
G0005,G0005_41,inactive,592.0,475.0,592.0,475.0,592.0,475.0,592.0,475.0
G0005,G0005_42,inactive,232.0,257.0,232.0,257.0,232.0,257.0,232.0,257.0
G0005,G0005_43,inactive,736.0,578.0,736.0,578.0,736.0,578.0,736.0,578.0
G0005,G0005_44,inactive,1461.0,1112.0,1461.0,1112.0,1461.0,1112.0,1461.0,1112.0
G0005,G0005_45,inactive,1632.0,1310.0,1632.0,1310.0,1632.0,1310.0,1632.0,1310.0
G0005,G0005_46,inactive,1783.0,1508.0,1783.0,1508.0,1783.0,1508.0,1783.0,1508.0
G0005,G0005_47,inactive,1488.0,1151.0,1488.0,1151.0,1488.0,1151.0,1488.0,1151.0
G0005,G0005_48,inactive,300.0,243.0,300.0,243.0,300.0,243.0,300.0,243.0
G0005,G0005_49,inactive,1620.0,1234.0,1620.0,1234.0,1620.0,1234.0,1620.0,1234.0
G0005,G0005_50,inactive,694.0,582.0,694.0,582.0,694.0,582.0,694.0,582.0
G0006,G0006_51,inactive,1045.0,763.0,1045.0,763.0,1045.0,763.0,1045.0,763.0
G0006,G0006_52,inactive,2802.0,2049.0,2802.0,2049.0,2802.0,2049.0,2802.0,2049.0
G0006,G0006_53,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0006,G0006_54,inactive,520.0,387.0,520.0,387.0,520.0,387.0,520.0,387.0
G0006,G0006_55,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0006,G0006_56,inactive,603.0,408.0,603.0,408.0,603.0,408.0,603.0,408.0
G0006,G0006_57,inactive,412.0,282.0,412.0,282.0,412.0,282.0,412.0,282.0
G0006,G0006_58,inactive,484.0,220.0,484.0,220.0,484.0,220.0,484.0,220.0
G0006,G0006_59,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0006,G0006_60,inactive,2791.0,2121.0,2791.0,2121.0,2791.0,2121.0,2791.0,2121.0
G0007,G0007_61,negcontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0007,G0007_62,negcontrol,1146.0,816.0,1146.0,816.0,1146.0,816.0,1146.0,816.0
G0007,G0007_63,negcontrol,784.0,498.0,784.0,498.0,784.0,498.0,784.0,498.0
G0007,G0007_64,negcontrol,388.0,194.0,388.0,194.0,388.0,194.0,388.0,194.0
G0007,G0007_65,negcontrol,1120.0,798.0,1120.0,798.0,1120.0,798.0,1120.0,798.0
G0007,G0007_66,negcontrol,1655.0,1351.0,1655.0,1351.0,1655.0,1351.0,1655.0,1351.0
G0007,G0007_67,negcontrol,796.0,578.0,796.0,578.0,796.0,578.0,796.0,578.0
G0007,G0007_68,negcontrol,383.0,344.0,383.0,344.0,383.0,344.0,383.0,344.0
G0007,G0007_69,negcontrol,693.0,550.0,693.0,550.0,693.0,550.0,693.0,550.0
G0007,G0007_70,negcontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0008,G0008_71,inactive,4628.0,3493.0,4628.0,3493.0,4628.0,3493.0,4628.0,3493.0
G0008,G0008_72,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0008,G0008_73,inactive,1181.0,919.0,1181.0,919.0,1181.0,919.0,1181.0,919.0
G0008,G0008_74,inactive,718.0,537.0,718.0,537.0,718.0,537.0,718.0,537.0
G0008,G0008_75,inactive,576.0,549.0,576.0,549.0,576.0,549.0,576.0,549.0
G0008,G0008_76,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0008,G0008_77,inactive,434.0,374.0,434.0,374.0,434.0,374.0,434.0,374.0
