gene,barcodeid,class,L1,H1,L2,H2,L3,H3,L4,H4
G0001,G0001_1,inactive,91.0,152.0,91.0,152.0,91.0,152.0,91.0,152.0
G0001,G0001_2,inactive,1960.0,1183.0,1960.0,1183.0,1960.0,1183.0,1960.0,1183.0
G0001,G0001_3,inactive,1049.0,739.0,1049.0,739.0,1049.0,739.0,1049.0,739.0
G0001,G0001_4,inactive,542.0,264.0,542.0,264.0,542.0,264.0,542.0,264.0
G0001,G0001_5,inactive,200.0,159.0,200.0,159.0,200.0,159.0,200.0,159.0
G0001,G0001_6,inactive,496.0,319.0,496.0,319.0,496.0,319.0,496.0,319.0
G0001,G0001_7,inactive,462.0,287.0,462.0,287.0,462.0,287.0,462.0,287.0
G0001,G0001_8,inactive,396.0,287.0,396.0,287.0,396.0,287.0,396.0,287.0
G0001,G0001_9,inactive,962.0,657.0,962.0,657.0,962.0,657.0,962.0,657.0
G0001,G0001_10,inactive,99.0,111.0,99.0,111.0,99.0,111.0,99.0,111.0
G0002,G0002_11,inactive,428.0,381.0,428.0,381.0,428.0,381.0,428.0,381.0
G0002,G0002_12,inactive,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0
G0002,G0002_13,inactive,294.0,343.0,294.0,343.0,294.0,343.0,294.0,343.0
G0002,G0002_14,inactive,457.0,347.0,457.0,347.0,457.0,347.0,457.0,347.0
G0002,G0002_15,inactive,353.0,213.0,353.0,213.0,353.0,213.0,353.0,213.0
G0002,G0002_16,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0002,G0002_17,inactive,989.0,819.0,989.0,819.0,989.0,819.0,989.0,819.0
G0002,G0002_18,inactive,91.0,98.0,91.0,98.0,91.0,98.0,91.0,98.0
G0002,G0002_19,inactive,597.0,438.0,597.0,438.0,597.0,438.0,597.0,438.0
G0002,G0002_20,inactive,185.0,131.0,185.0,131.0,185.0,131.0,185.0,131.0
G0003,G0003_21,increasing,0.0,2382.0,0.0,2382.0,0.0,2382.0,0.0,2382.0
G0003,G0003_22,increasing,74.0,18.0,74.0,18.0,74.0,18.0,74.0,18.0
G0003,G0003_23,increasing,100.0,6550.0,100.0,6550.0,100.0,6550.0,100.0,6550.0
G0003,G0003_24,increasing,0.0,7761.0,0.0,7761.0,0.0,7761.0,0.0,7761.0
G0003,G0003_25,increasing,92.0,11520.0,92.0,11520.0,92.0,11520.0,92.0,11520.0
