gene,barcodeid,class,L1,H1,L2,H2,L3,H3,L4,H4
G0001,G0001_1,inactive,641.0,581.0,641.0,581.0,641.0,581.0,641.0,581.0
G0001,G0001_2,inactive,668.0,680.0,668.0,680.0,668.0,680.0,668.0,680.0
G0001,G0001_3,inactive,2699.0,2534.0,2699.0,2534.0,2699.0,2534.0,2699.0,2534.0
G0001,G0001_4,inactive,160.0,157.0,160.0,157.0,160.0,157.0,160.0,157.0
G0001,G0001_5,inactive,1658.0,1501.0,1658.0,1501.0,1658.0,1501.0,1658.0,1501.0
G0001,G0001_6,inactive,1805.0,1858.0,1805.0,1858.0,1805.0,1858.0,1805.0,1858.0
G0001,G0001_7,inactive,1756.0,1640.0,1756.0,1640.0,1756.0,1640.0,1756.0,1640.0
G0001,G0001_8,inactive,2769.0,2578.0,2769.0,2578.0,2769.0,2578.0,2769.0,2578.0
G0001,G0001_9,inactive,114.0,75.0,114.0,75.0,114.0,75.0,114.0,75.0
G0001,G0001_10,inactive,1714.0,1455.0,1714.0,1455.0,1714.0,1455.0,1714.0,1455.0
G0002,G0002_11,inactive,1878.0,1962.0,1878.0,1962.0,1878.0,1962.0,1878.0,1962.0
G0002,G0002_12,inactive,890.0,750.0,890.0,750.0,890.0,750.0,890.0,750.0
G0002,G0002_13,inactive,1356.0,1332.0,1356.0,1332.0,1356.0,1332.0,1356.0,1332.0
G0002,G0002_14,inactive,676.0,720.0,676.0,720.0,676.0,720.0,676.0,720.0
G0002,G0002_15,inactive,908.0,776.0,908.0,776.0,908.0,776.0,908.0,776.0
G0002,G0002_16,inactive,873.0,870.0,873.0,870.0,873.0,870.0,873.0,870.0
G0002,G0002_17,inactive,1016.0,1043.0,1016.0,1043.0,1016.0,1043.0,1016.0,1043.0
G0002,G0002_18,inactive,2771.0,2713.0,2771.0,2713.0,2771.0,2713.0,2771.0,2713.0
G0002,G0002_19,inactive,2242.0,1988.0,2242.0,1988.0,2242.0,1988.0,2242.0,1988.0
G0002,G0002_20,inactive,675.0,612.0,675.0,612.0,675.0,612.0,675.0,612.0
G0003,G0003_21,inactive,767.0,834.0,767.0,834.0,767.0,834.0,767.0,834.0
G0003,G0003_22,inactive,2110.0,1883.0,2110.0,1883.0,2110.0,1883.0,2110.0,1883.0
G0003,G0003_23,inactive,693.0,582.0,693.0,582.0,693.0,582.0,693.0,582.0
G0003,G0003_24,inactive,265.0,283.0,265.0,283.0,265.0,283.0,265.0,283.0
G0003,G0003_25,inactive,574.0,537.0,574.0,537.0,574.0,537.0,574.0,537.0
G0003,G0003_26,inactive,316.0,309.0,316.0,309.0,316.0,309.0,316.0,309.0
G0003,G0003_27,inactive,864.0,814.0,864.0,814.0,864.0,814.0,864.0,814.0
G0003,G0003_28,inactive,821.0,744.0,821.0,744.0,821.0,744.0,821.0,744.0
G0003,G0003_29,inactive,905.0,900.0,905.0,900.0,905.0,900.0,905.0,900.0
G0003,G0003_30,inactive,142.0,162.0,142.0,162.0,142.0,162.0,142.0,162.0
G0004,G0004_31,inactive,757.0,724.0,757.0,724.0,757.0,724.0,757.0,724.0
G0004,G0004_32,inactive,274.0,259.0,274.0,259.0,274.0,259.0,274.0,259.0
G0004,G0004_33,inactive,1178.0,1137.0,1178.0,1137.0,1178.0,1137.0,1178.0,1137.0
G0004,G0004_34,inactive,1154.0,1068.0,1154.0,1068.0,1154.0,1068.0,1154.0,1068.0
G0004,G0004_35,inactive,768.0,772.0,768.0,772.0,768.0,772.0,768.0,772.0
G0004,G0004_36,inactive,667.0,586.0,667.0,586.0,667.0,586.0,667.0,586.0
G0004,G0004_37,inactive,196.0,213.0,196.0,213.0,196.0,213.0,196.0,213.0
G0004,G0004_38,inactive,706.0,665.0,706.0,665.0,706.0,665.0,706.0,665.0
G0004,G0004_39,inactive,466.0,533.0,466.0,533.0,466.0,533.0,466.0,533.0
G0004,G0004_40,inactive,943.0,986.0,943.0,986.0,943.0,986.0,943.0,986.0
G0005,G0005_41,inactive,1558.0,1507.0,1558.0,1507.0,1558.0,1507.0,1558.0,1507.0
G0005,G0005_42,inactive,1634.0,1623.0,1634.0,1623.0,1634.0,1623.0,1634.0,1623.0
G0005,G0005_43,inactive,677.0,782.0,677.0,782.0,677.0,782.0,677.0,782.0
G0005,G0005_44,inactive,319.0,293.0,319.0,293.0,319.0,293.0,319.0,293.0
G0005,G0005_45,inactive,2327.0,2228.0,2327.0,2228.0,2327.0,2228.0,2327.0,2228.0
G0005,G0005_46,inactive,2008.0,1838.0,2008.0,1838.0,2008.0,1838.0,2008.0,1838.0
G0005,G0005_47,inactive,537.0,456.0,537.0,456.0,537.0,456.0,537.0,456.0
G0005,G0005_48,inactive,227.0,196.0,227.0,196.0,227.0,196.0,227.0,196.0
G0005,G0005_49,inactive,1377.0,1151.0,1377.0,1151.0,1377.0,1151.0,1377.0,1151.0
G0005,G0005_50,inactive,624.0,663.0,624.0,663.0,624.0,663.0,624.0,663.0
G0006,G0006_51,inactive,791.0,841.0,791.0,841.0,791.0,841.0,791.0,841.0
G0006,G0006_52,inactive,887.0,798.0,887.0,798.0,887.0,798.0,887.0,798.0
G0006,G0006_53,inactive,1019.0,936.0,1019.0,936.0,1019.0,936.0,1019.0,936.0
G0006,G0006_54,inactive,783.0,664.0,783.0,664.0,783.0,664.0,783.0,664.0
G0006,G0006_55,inactive,1225.0,1138.0,1225.0,1138.0,1225.0,1138.0,1225.0,1138.0
G0006,G0006_56,inactive,2361.0,2213.0,2361.0,2213.0,2361.0,2213.0,2361.0,2213.0
G0006,G0006_57,inactive,664.0,567.0,664.0,567.0,664.0,567.0,664.0,567.0
G0006,G0006_58,inactive,1031.0,946.0,1031.0,946.0,1031.0,946.0,1031.0,946.0
G0006,G0006_59,inactive,583.0,611.0,583.0,611.0,583.0,611.0,583.0,611.0
G0006,G0006_60,inactive,534.0,609.0,534.0,609.0,534.0,609.0,534.0,609.0
G0007,G0007_61,inactive,1508.0,1536.0,1508.0,1536.0,1508.0,1536.0,1508.0,1536.0
G0007,G0007_62,inactive,546.0,500.0,546.0,500.0,546.0,500.0,546.0,500.0
G0007,G0007_63,inactive,1317.0,1270.0,1317.0,1270.0,1317.0,1270.0,1317.0,1270.0
G0007,G0007_64,inactive,325.0,320.0,325.0,320.0,325.0,320.0,325.0,320.0
G0007,G0007_65,inactive,586.0,445.0,586.0,445.0,586.0,445.0,586.0,445.0
G0007,G0007_66,inactive,1634.0,1576.0,1634.0,1576.0,1634.0,1576.0,1634.0,1576.0
G0007,G0007_67,inactive,1160.0,1044.0,1160.0,1044.0,1160.0,1044.0,1160.0,1044.0
G0007,G0007_68,inactive,899.0,878.0,899.0,878.0,899.0,878.0,899.0,878.0
G0007,G0007_69,inactive,1167.0,1171.0,1167.0,1171.0,1167.0,1171.0,1167.0,1171.0
G0007,G0007_70,inactive,687.0,701.0,687.0,701.0,687.0,701.0,687.0,701.0
G0008,G0008_71,inactive,1311.0,1112.0,1311.0,1112.0,1311.0,1112.0,1311.0,1112.0
G0008,G0008_72,inactive,433.0,429.0,433.0,429.0,433.0,429.0,433.0,429.0
G0008,G0008_73,inactive,789.0,681.0,789.0,681.0,789.0,681.0,789.0,681.0
G0008,G0008_74,inactive,944.0,882.0,944.0,882.0,944.0,882.0,944.0,882.0
G0008,G0008_75,inactive,100.0,64.0,100.0,64.0,100.0,64.0,100.0,64.0
G0008,G0008_76,inactive,2239.0,2149.0,2239.0,2149.0,2239.0,2149.0,2239.0,2149.0
G0008,G0008_77,inactive,2773.0,2580.0,2773.0,2580.0,2773.0,2580.0,2773.0,2580.0
G0008,G0008_78,inactive,880.0,831.0,880.0,831.0,880.0,831.0,880.0,831.0
G0008,G0008_79,inactive,395.0,374.0,395.0,374.0,395.0,374.0,395.0,374.0
G0008,G0008_80,inactive,602.0,608.0,602.0,608.0,602.0,608.0,602.0,608.0
G0009,G0009_81,inactive,202.0,257.0,202.0,257.0,202.0,257.0,202.0,257.0
G0009,G0009_82,inactive,413.0,414.0,413.0,414.0,413.0,414.0,413.0,414.0
G0009,G0009_83,inactive,1314.0,1306.0,1314.0,1306.0,1314.0,1306.0,1314.0,1306.0
G0009,G0009_84,inactive,904.0,807.0,904.0,807.0,904.0,807.0,904.0,807.0
G0009,G0009_85,inactive,1268.0,1263.0,1268.0,1263.0,1268.0,1263.0,1268.0,1263.0
G0009,G0009_86,inactive,597.0,483.0,597.0,483.0,597.0,483.0,597.0,483.0
G0009,G0009_87,inactive,2630.0,2521.0,2630.0,2521.0,2630.0,2521.0,2630.0,2521.0
G0009,G0009_88,inactive,815.0,777.0,815.0,777.0,815.0,777.0,815.0,777.0
G0009,G0009_89,inactive,2265.0,2224.0,2265.0,2224.0,2265.0,2224.0,2265.0,2224.0
G0009,G0009_90,inactive,1466.0,1427.0,1466.0,1427.0,1466.0,1427.0,1466.0,1427.0
G0010,G0010_91,inactive,508.0,412.0,508.0,412.0,508.0,412.0,508.0,412.0
G0010,G0010_92,inactive,868.0,957.0,868.0,957.0,868.0,957.0,868.0,957.0
