"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",355,247,344,225,358,314,307,274
"2","G0001","G0001_02","inactive",152,329,504,407,157,327,370,456
"3","G0001","G0001_03","inactive",395,237,162,252,379,272,162,287
"4","G0001","G0001_04","inactive",1061,1171,1234,1546,1053,1168,1116,1736
"5","G0001","G0001_05","inactive",141,77,178,159,84,74,132,82
"6","G0001","G0001_06","inactive",444,751,304,513,411,801,236,571
"7","G0001","G0001_07","inactive",252,613,492,299,261,558,419,267
"8","G0001","G0001_08","inactive",592,348,475,405,540,403,424,437
"9","G0001","G0001_09","inactive",787,1007,877,648,856,1112,747,684
"10","G0001","G0001_10","inactive",359,357,369,388,363,361,248,384
"11","G0002","G0002_01","inactive",242,242,340,304,180,249,290,308
"12","G0002","G0002_02","inactive",212,161,92,79,236,193,61,127
"13","G0002","G0002_03","inactive",500,354,242,252,465,318,237,344
"14","G0002","G0002_04","inactive",198,342,256,300,233,426,239,277
"15","G0002","G0002_05","inactive",139,338,250,273,126,242,213,291
"16","G0002","G0002_06","inactive",392,291,152,73,343,316,116,82
"17","G0002","G0002_07","inactive",604,275,479,375,621,308,444,406
"18","G0002","G0002_08","inactive",480,556,449,487,528,554,368,445
"19","G0002","G0002_09","inactive",368,562,495,260,333,536,414,242
"20","G0002","G0002_10","inactive",602,795,1141,457,636,799,824,473
"21","G0003","G0003_01","inactive",772,492,730,922,656,491,608,956
"22","G0003","G0003_02","inactive",584,471,495,211,541,496,468,193
"23","G0003","G0003_03","inactive",467,382,407,493,463,374,366,510
"24","G0003","G0003_04","inactive",581,787,769,636,562,859,615,652
"25","G0003","G0003_05","inactive",319,284,226,318,379,337,214,293
"26","G0003","G0003_06","inactive",472,714,593,525,418,710,538,543
"27","G0003","G0003_07","inactive",905,1006,745,847,923,1106,755,769
"28","G0003","G0003_08","inactive",642,452,571,388,681,443,405,384
"29","G0003","G0003_09","inactive",525,495,608,659,511,475,454,635
"30","G0003","G0003_10","inactive",280,336,534,489,268,339,420,503
"31","G0004","G0004_01","inactive",281,300,178,198,251,330,106,200
"32","G0004","G0004_02","inactive",709,666,858,832,774,626,730,881
"33","G0004","G0004_03","inactive",463,379,307,277,396,372,243,291
