gene,barcodeid,class,L1,H1,L2,H2,L3,H3,L4,H4
G0001,G0001_1,inactive,244.0,230.0,244.0,230.0,244.0,230.0,244.0,230.0
G0001,G0001_2,inactive,2466.0,2086.0,2466.0,2086.0,2466.0,2086.0,2466.0,2086.0
G0001,G0001_3,inactive,1090.0,928.0,1090.0,928.0,1090.0,928.0,1090.0,928.0
G0001,G0001_4,inactive,682.0,594.0,682.0,594.0,682.0,594.0,682.0,594.0
G0001,G0001_5,inactive,935.0,880.0,935.0,880.0,935.0,880.0,935.0,880.0
G0001,G0001_6,inactive,1259.0,1068.0,1259.0,1068.0,1259.0,1068.0,1259.0,1068.0
G0001,G0001_7,inactive,1027.0,902.0,1027.0,902.0,1027.0,902.0,1027.0,902.0
G0001,G0001_8,inactive,2093.0,1955.0,2093.0,1955.0,2093.0,1955.0,2093.0,1955.0
G0001,G0001_9,inactive,1107.0,903.0,1107.0,903.0,1107.0,903.0,1107.0,903.0
G0001,G0001_10,inactive,1812.0,1386.0,1812.0,1386.0,1812.0,1386.0,1812.0,1386.0
G0002,G0002_11,inactive,601.0,523.0,601.0,523.0,601.0,523.0,601.0,523.0
G0002,G0002_12,inactive,452.0,391.0,452.0,391.0,452.0,391.0,452.0,391.0
G0002,G0002_13,inactive,473.0,418.0,473.0,418.0,473.0,418.0,473.0,418.0
G0002,G0002_14,inactive,142.0,122.0,142.0,122.0,142.0,122.0,142.0,122.0
G0002,G0002_15,inactive,1581.0,1379.0,1581.0,1379.0,1581.0,1379.0,1581.0,1379.0
G0002,G0002_16,inactive,1669.0,1533.0,1669.0,1533.0,1669.0,1533.0,1669.0,1533.0
G0002,G0002_17,inactive,1608.0,1434.0,1608.0,1434.0,1608.0,1434.0,1608.0,1434.0
G0002,G0002_18,inactive,527.0,425.0,527.0,425.0,527.0,425.0,527.0,425.0
G0002,G0002_19,inactive,941.0,656.0,941.0,656.0,941.0,656.0,941.0,656.0
G0002,G0002_20,inactive,642.0,540.0,642.0,540.0,642.0,540.0,642.0,540.0
G0003,G0003_21,inactive,814.0,699.0,814.0,699.0,814.0,699.0,814.0,699.0
G0003,G0003_22,inactive,555.0,466.0,555.0,466.0,555.0,466.0,555.0,466.0
G0003,G0003_23,inactive,606.0,522.0,606.0,522.0,606.0,522.0,606.0,522.0
G0003,G0003_24,inactive,1829.0,1685.0,1829.0,1685.0,1829.0,1685.0,1829.0,1685.0
G0003,G0003_25,inactive,1696.0,1658.0,1696.0,1658.0,1696.0,1658.0,1696.0,1658.0
G0003,G0003_26,inactive,1812.0,1769.0,1812.0,1769.0,1812.0,1769.0,1812.0,1769.0
G0003,G0003_27,inactive,636.0,632.0,636.0,632.0,636.0,632.0,636.0,632.0
G0003,G0003_28,inactive,581.0,509.0,581.0,509.0,581.0,509.0,581.0,509.0
G0003,G0003_29,inactive,472.0,353.0,472.0,353.0,472.0,353.0,472.0,353.0
G0003,G0003_30,inactive,1291.0,945.0,1291.0,945.0,1291.0,945.0,1291.0,945.0
G0004,G0004_31,negcontrol,443.0,425.0,443.0,425.0,443.0,425.0,443.0,425.0
G0004,G0004_32,negcontrol,228.0,264.0,228.0,264.0,228.0,264.0,228.0,264.0
G0004,G0004_33,negcontrol,408.0,392.0,408.0,392.0,408.0,392.0,408.0,392.0
G0004,G0004_34,negcontrol,890.0,963.0,890.0,963.0,890.0,963.0,890.0,963.0
G0004,G0004_35,negcontrol,678.0,638.0,678.0,638.0,678.0,638.0,678.0,638.0
G0004,G0004_36,negcontrol,1297.0,1023.0,1297.0,1023.0,1297.0,1023.0,1297.0,1023.0
G0004,G0004_37,negcontrol,497.0,365.0,497.0,365.0,497.0,365.0,497.0,365.0
G0004,G0004_38,negcontrol,972.0,882.0,972.0,882.0,972.0,882.0,972.0,882.0
G0004,G0004_39,negcontrol,1323.0,1275.0,1323.0,1275.0,1323.0,1275.0,1323.0,1275.0
G0004,G0004_40,negcontrol,1064.0,955.0,1064.0,955.0,1064.0,955.0,1064.0,955.0
G0005,G0005_41,inactive,980.0,862.0,980.0,862.0,980.0,862.0,980.0,862.0
G0005,G0005_42,inactive,532.0,446.0,532.0,446.0,532.0,446.0,532.0,446.0
G0005,G0005_43,inactive,849.0,727.0,849.0,727.0,849.0,727.0,849.0,727.0
G0005,G0005_44,inactive,509.0,385.0,509.0,385.0,509.0,385.0,509.0,385.0
G0005,G0005_45,inactive,3097.0,2714.0,3097.0,2714.0,3097.0,2714.0,3097.0,2714.0
G0005,G0005_46,inactive,1840.0,1583.0,1840.0,1583.0,1840.0,1583.0,1840.0,1583.0
G0005,G0005_47,inactive,1287.0,1084.0,1287.0,1084.0,1287.0,1084.0,1287.0,1084.0
G0005,G0005_48,inactive,710.0,507.0,710.0,507.0,710.0,507.0,710.0,507.0
G0005,G0005_49,inactive,632.0,532.0,632.0,532.0,632.0,532.0,632.0,532.0
G0005,G0005_50,inactive,1207.0,1164.0,1207.0,1164.0,1207.0,1164.0,1207.0,1164.0
G0006,G0006_51,inactive,708.0,618.0,708.0,618.0,708.0,618.0,708.0,618.0
G0006,G0006_52,inactive,1464.0,1426.0,1464.0,1426.0,1464.0,1426.0,1464.0,1426.0
G0006,G0006_53,inactive,96.0,64.0,96.0,64.0,96.0,64.0,96.0,64.0
G0006,G0006_54,inactive,1083.0,892.0,1083.0,892.0,1083.0,892.0,1083.0,892.0
G0006,G0006_55,inactive,28.0,17.0,28.0,17.0,28.0,17.0,28.0,17.0
G0006,G0006_56,inactive,813.0,676.0,813.0,676.0,813.0,676.0,813.0,676.0
G0006,G0006_57,inactive,1233.0,1037.0,1233.0,1037.0,1233.0,1037.0,1233.0,1037.0
G0006,G0006_58,inactive,876.0,727.0,876.0,727.0,876.0,727.0,876.0,727.0
G0006,G0006_59,inactive,224.0,206.0,224.0,206.0,224.0,206.0,224.0,206.0
G0006,G0006_60,inactive,2513.0,2349.0,2513.0,2349.0,2513.0,2349.0,2513.0,2349.0
G0007,G0007_61,negcontrol,479.0,492.0,479.0,492.0,479.0,492.0,479.0,492.0
G0007,G0007_62,negcontrol,1169.0,885.0,1169.0,885.0,1169.0,885.0,1169.0,885.0
G0007,G0007_63,negcontrol,321.0,300.0,321.0,300.0,321.0,300.0,321.0,300.0
G0007,G0007_64,negcontrol,284.0,190.0,284.0,190.0,284.0,190.0,284.0,190.0
G0007,G0007_65,negcontrol,214.0,239.0,214.0,239.0,214.0,239.0,214.0,239.0
