"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","negcontrol",14,40,67,49,17,27,51,32
"2","G0001","G0001_02","negcontrol",94,59,70,80,80,52,60,50
"3","G0001","G0001_03","negcontrol",12,31,12,9,9,11,9,6
"4","G0001","G0001_04","negcontrol",65,56,27,24,37,36,13,17
"5","G0001","G0001_05","negcontrol",32,35,39,46,25,30,14,30
"6","G0001","G0001_06","negcontrol",43,37,71,94,56,33,27,56
"7","G0001","G0001_07","negcontrol",25,36,65,39,23,26,35,45
"8","G0001","G0001_08","negcontrol",27,27,28,7,16,15,31,3
"9","G0001","G0001_09","negcontrol",195,88,191,239,202,113,128,163
"10","G0001","G0001_10","negcontrol",71,61,81,56,52,38,52,53
"11","G0002","G0002_01","inactive",10,28,19,42,19,31,13,29
"12","G0002","G0002_02","inactive",18,40,7,19,22,12,8,10
"13","G0002","G0002_03","inactive",44,42,27,75,42,44,23,24
"14","G0002","G0002_04","inactive",126,111,97,129,90,114,54,59
"15","G0002","G0002_05","inactive",38,54,76,72,38,48,33,58
"16","G0002","G0002_06","inactive",32,62,56,66,55,40,30,46
"17","G0002","G0002_07","inactive",46,25,66,49,42,28,27,18
"18","G0002","G0002_08","inactive",52,45,93,60,62,54,51,51
"19","G0002","G0002_09","inactive",22,22,24,9,20,20,11,1
"20","G0002","G0002_10","inactive",15,13,8,20,23,10,10,10
"21","G0003","G0003_01","inactive",15,34,12,21,19,19,3,6
"22","G0003","G0003_02","inactive",66,14,52,37,38,27,21,12
"23","G0003","G0003_03","inactive",38,23,70,43,32,32,28,29
"24","G0003","G0003_04","inactive",42,115,100,96,64,88,56,52
"25","G0003","G0003_05","inactive",20,22,11,19,25,15,13,8
"26","G0003","G0003_06","inactive",14,28,31,28,10,10,26,15
"27","G0003","G0003_07","inactive",57,48,46,74,53,54,37,38
"28","G0003","G0003_08","inactive",21,19,25,23,17,13,11,36
"29","G0003","G0003_09","inactive",31,35,18,24,37,47,28,18
"30","G0003","G0003_10","inactive",19,25,26,39,16,16,9,22
"31","G0004","G0004_01","inactive",34,35,51,98,38,44,27,50
"32","G0004","G0004_02","inactive",29,21,36,46,33,24,15,24
"33","G0004","G0004_03","inactive",64,91,87,117,89,49,65,51
"34","G0004","G0004_04","inactive",41,44,44,57,31,38,27,43
"35","G0004","G0004_05","inactive",82,55,93,72,61,48,52,51
"36","G0004","G0004_06","inactive",38,15,22,57,28,23,7,18
"37","G0004","G0004_07","inactive",54,38,75,101,50,41,67,45
"38","G0004","G0004_08","inactive",103,84,133,104,97,95,98,71
"39","G0004","G0004_09","inactive",42,48,25,46,37,30,21,21
"40","G0004","G0004_10","inactive",38,8,10,1,6,2,18,5
"41","G0005","G0005_01","inactive",14,19,25,43,17,35,18,30
"42","G0005","G0005_02","inactive",73,66,100,65,44,56,70,63
"43","G0005","G0005_03","inactive",25,15,19,20,22,28,20,13
"44","G0005","G0005_04","inactive",82,74,84,105,54,55,37,55
"45","G0005","G0005_05","inactive",29,15,22,31,23,13,15,9
"46","G0005","G0005_06","inactive",36,49,32,48,38,57,31,23
"47","G0005","G0005_07","inactive",9,9,17,0,4,11,9,3
"48","G0005","G0005_08","inactive",115,123,176,170,105,120,143,99
"49","G0005","G0005_09","inactive",24,35,19,45,28,47,17,45
"50","G0005","G0005_10","inactive",18,38,37,51,21,39,38,48
"51","G0006","G0006_01","inactive",17,17,20,21,14,18,16,18
"52","G0006","G0006_02","inactive",70,76,104,138,61,79,94,71
"53","G0006","G0006_03","inactive",29,45,49,15,16,35,34,30
"54","G0006","G0006_04","inactive",18,10,25,18,10,9,15,10
"55","G0006","G0006_05","inactive",66,71,63,63,54,53,60,46
"56","G0006","G0006_06","inactive",13,11,7,5,26,16,8,6
"57","G0006","G0006_07","inactive",33,30,29,16,17,27,14,19
"58","G0006","G0006_08","inactive",92,62,64,70,62,57,24,60
"59","G0006","G0006_09","inactive",31,22,12,24,28,31,7,10
"60","G0006","G0006_10","inactive",20,49,39,41,24,22,41,19
"61","G0007","G0007_01","decreasing",549,456,630,463,2,7,5,11
"62","G0007","G0007_02","decreasing",792,817,675,782,16,11,15,8
"63","G0007","G0007_03","decreasing",4,19,20,10,12,9,12,7
"64","G0007","G0007_04","decreasing",154,232,140,306,1,0,3,1
"65","G0007","G0007_05","decreasing",477,730,377,932,14,16,11,10
"66","G0007","G0007_06","decreasing",356,429,390,426,12,18,3,1
"67","G0007","G0007_07","decreasing",309,216,266,166,2,1,0,7
"68","G0007","G0007_08","decreasing",40,202,105,113,1,0,0,0
"69","G0007","G0007_09","decreasing",38,64,45,42,7,26,16,18
"70","G0007","G0007_10","decreasing",331,305,198,454,2,0,4,7
"71","G0008","G0008_01","inactive",45,31,22,51,44,13,20,36
"72","G0008","G0008_02","inactive",57,63,74,78,42,58,63,62
"73","G0008","G0008_03","inactive",39,36,40,46,16,28,57,25
"74","G0008","G0008_04","inactive",46,14,35,51,29,22,24,30
"75","G0008","G0008_05","inactive",29,81,46,61,33,47,29,26
"76","G0008","G0008_06","inactive",147,86,184,207,140,91,149,97
"77","G0008","G0008_07","inactive",4,16,7,35,7,14,6,18
"78","G0008","G0008_08","inactive",201,128,189,231,140,117,117,140
"79","G0008","G0008_09","inactive",44,45,63,62,46,41,37,32
"80","G0008","G0008_10","inactive",16,5,0,14,12,0,3,9
