"","gene","pvalue","log2FoldChange","stat","padj"
"1","G0001",0.938536476106183,-0.0966103421699606,-0.228633436120878,0.999943905168657
"2","G0002",0.990738116743751,-0.0966977093710721,-0.0394458502337503,0.999943905168657
"3","G0003",0.767729045280026,-0.36547200191734,-0.618945160580867,0.999943905168657
"4","G0004",0.999064266731628,0.144858436477239,0.169553152486802,0.999943905168657
"5","G0005",0.990588700559645,0.164443411803814,0.176606307706949,0.999943905168657
"6","G0006",0.949857812110947,0.296441029493863,0.166643137380051,0.999943905168657
"7","G0007",0.785084372404481,0.256790644059071,0.227607893370048,0.999943905168657
"8","G0008",0.920035868826755,0.0866059082160087,0.167152255339598,0.999943905168657
"9","G0009",0.991761405066697,-0.269848443468874,-0.272779091733207,0.999943905168657
"10","G0010",0.993773935788214,0.0193022369743172,0.0610058521584242,0.999943905168657
"11","G0011",0.882591033889836,-0.224908654898868,-0.253987566564685,0.999943905168657
"12","G0012",0.929692220260638,-0.342959721148079,-0.477563926560086,0.999943905168657
"13","G0013",0.527215460790004,-0.227750729965248,-0.132373987598176,0.999943905168657
"14","G0014",0.634049576853491,-0.073042122194818,-0.0448807675137264,0.999943905168657
"15","G0015",0.804179816267248,-0.067313739023237,-0.230344984845576,0.999943905168657
"16","G0016",0.890181350334242,-0.20495135485786,-0.296877548052218,0.999943905168657
"17","G0017",0.903576190094088,-0.164675995276366,-0.364886735645346,0.999943905168657
"18","G0018",0.642293455999007,-0.0467451411380682,-0.0621799586038174,0.999943905168657
"19","G0019",0.778382284702819,-0.0874321189755162,-0.118710525376237,0.999943905168657
"20","G0020",0.619096837045383,-0.0777534883563135,0.0545466493036251,0.999943905168657
"21","G0021",0.974886032142301,0.0276412179519297,-0.0517122468340816,0.999943905168657
"22","G0022",0.970875781231385,-0.00951593414877762,0.0500064581926561,0.999943905168657
"23","G0023",0.907282052254475,0.00410159963497202,0.0323442824288035,0.999943905168657
"24","G0024",0.999942853791815,0.03610489527181,0.0625443910544846,0.999943905168657
"25","G0025",0.999403868485473,0.0531521719708866,0.0470452590585662,0.999943905168657
"26","G0026",0.677136300174904,-0.317183217473721,-0.308049345449802,0.999943905168657
"27","G0027",0.999205042573587,0.127837582725705,0.16682563236185,0.999943905168657
"28","G0028",0.989717159067313,-0.000530763900886994,0.0555093691018942,0.999943905168657
"29","G0029",0.78850002585425,-0.0808356287354586,-0.0490167271235359,0.999943905168657
"30","G0030",0.955660958219933,-0.0522737046652266,-0.0668501081969006,0.999943905168657
"31","G0031",0.985217138218452,-0.0155930418187875,-0.116636945490655,0.999943905168657
"32","G0032",0.991971688634449,-0.147945030660971,-0.207256092764015,0.999943905168657
"33","G0033",0.986453744118947,-0.103446492797556,-0.130602653300061,0.999943905168657
"34","G0034",0.86410375064931,-0.00307838071147561,-0.0875951320567416,0.999943905168657
"35","G0035",3.99685438141995e-149,2.38364531636083,6.7850599854467,9.93218313782859e-147
"36","G0036",0.437187832533335,-0.0850769993356157,-0.135631287144706,0.999943905168657
"37","G0037",0.93468470502302,-0.251661669305463,-0.202409873185242,0.999943905168657
"38","G0038",0.974317634774054,-0.072159376172931,-0.175126637679228,0.999943905168657
"39","G0039",0.750883411020039,-0.0316526909355568,-0.0495177550565451,0.999943905168657
"40","G0040",0.0655246036924323,0.621775944915813,1.13363141763145,0.999943905168657
"41","G0041",0.999754031683391,0.11439290424497,0.129618661986292,0.999943905168657
"42","G0042",0.625598537067822,-0.188642563240695,-0.336739994558265,0.999943905168657
"43","G0043",0.979228984308082,0.126467728016548,0.118070072859207,0.999943905168657
"44","G0044",0.861549149793733,-0.0345404873590958,-0.120314135076703,0.999943905168657
"45","G0045",0.910466722858284,-0.137921122385272,-0.144173117539308,0.999943905168657
"46","G0046",0.810198865348751,0.267177546425618,0.0960774846648286,0.999943905168657
"47","G0047",0.997083966091923,0.0241040908790963,0.050686888747973,0.999943905168657
"48","G0048",0.99028405190024,0.118639379353148,0.0198690285294914,0.999943905168657
"49","G0049",0.82262650741972,-0.0703038964896256,-0.167157714257778,0.999943905168657
"50","G0050",0.999513960422314,0.0092050105496539,-0.00693491213582602,0.999943905168657
"51","G0051",0.972846560213003,-0.178619783742977,-0.181156085497011,0.999943905168657
"52","G0052",2.72831829653451e-206,2.8705970847042,8.6179775690162,1.35597419337765e-203
"53","G0053",0.95358846856966,-0.0820995487507563,-0.125530539713326,0.999943905168657
"54","G0054",0.76996961951688,-0.472172908525947,-0.571546806062459,0.999943905168657
"55","G0055",0.98497802087233,-0.189390297648671,-0.287113465188174,0.999943905168657
"56","G0056",0.808063420564375,-0.0439021244044499,-0.0623966822023648,0.999943905168657
"57","G0057",0.918456305538915,0.0803536046385511,0.000193891682851066,0.999943905168657
"58","G0058",0.88532552108574,-0.229499638508372,-0.303106107048483,0.999943905168657
"59","G0059",0.920960821950197,-0.0759407131674573,-0.134214581234909,0.999943905168657
"60","G0060",0.969969667917432,0.451570587464395,0.378703655198296,0.999943905168657
"61","G0061",0.976441121132233,0.11588784812732,0.105290119836646,0.999943905168657
"62","G0062",0.998770058861408,-0.183991078563057,-0.278991881117339,0.999943905168657
"63","G0063",0.959016905664017,0.0262775975406151,0.0148365012659959,0.999943905168657
"64","G0064",0.99197717979896,0.0478150164174386,0.0885585609169563,0.999943905168657
"65","G0065",0.203707860888241,0.0160319414542746,-0.0745621584506932,0.999943905168657
"66","G0066",0.562993427593308,0.0645227483106434,0.049790154816936,0.999943905168657
"67","G0067",0.226382999074119,-1.00073177823901,-0.859260546620085,0.999943905168657
"68","G0068",0.754068207524974,0.221389326012957,0.225214279263509,0.999943905168657
"69","G0069",0.615855987944134,0.543406887979041,0.535453000944522,0.999943905168657
"70","G0070",0.860306792733542,0.144454559845154,0.162125370237814,0.999943905168657
"71","G0071",0.965908728427425,-0.158064112956948,-0.207745005025858,0.999943905168657
"72","G0072",0.99924628136964,0.0659591297246208,0.0820277232279925,0.999943905168657
"73","G0073",0.99179853335978,0.072261552124219,0.0839443372813946,0.999943905168657
"74","G0074",0.885282277911691,0.0628378167521901,0.0982130558732183,0.999943905168657
"75","G0075",0.953968482889385,-0.22808961660964,-0.314772396006104,0.999943905168657
"76","G0076",0.761892650524707,0.153554877447091,0.105032510342242,0.999943905168657
"77","G0077",0.994763982419114,-0.129847701401824,-0.191653873883164,0.999943905168657
"78","G0078",0.993239516653234,0.140823668129724,0.19416634098608,0.999943905168657
"79","G0079",0.718618546053977,0.392117432398661,0.522352766396199,0.999943905168657
"80","G0080",0.971793668067116,-0.111011229957196,-0.0946417633367923,0.999943905168657
"81","G0081",0.895881286499409,0.220154497379439,0.245430981374628,0.999943905168657
"82","G0082",0.961381267268633,0.103527113126323,0.168020399762639,0.999943905168657
"83","G0083",0.968082922151751,-0.279920113985554,-0.232128422053322,0.999943905168657
"84","G0084",0.934559771042115,-0.311805677109346,-0.274114589811412,0.999943905168657
"85","G0085",0.772296108279053,-0.183843769674957,-0.144526309537035,0.999943905168657
"86","G0086",0.989464161416415,-0.154826941592516,-0.296745453887095,0.999943905168657
"87","G0087",0.943907877819472,0.0947843030975103,0.117930583016877,0.999943905168657
"88","G0088",0.852373720903033,0.0347090583220399,0.049165488863633,0.999943905168657
"89","G0089",0.955363929865809,-0.0190192365953926,-0.00123267261399604,0.999943905168657
"90","G0090",0.998208691464805,-0.141114358066108,-0.182173248829031,0.999943905168657
"91","G0091",0.925825623846589,-0.090905470309196,-0.194277728714877,0.999943905168657
"92","G0092",0.974551064663244,0.0857672475496622,0.151393942388231,0.999943905168657
"93","G0093",0.160944886227457,-1.07333271761277,-1.03157837718994,0.999943905168657
"94","G0094",0.986673708401484,-0.0152019505696831,0.0318011865654795,0.999943905168657
"95","G0095",0.728856599573794,-0.0590915584431624,0.0154727739189488,0.999943905168657
"96","G0096",0.832954907370418,-0.334066920084341,-0.354018295614116,0.999943905168657
"97","G0097",0.997521583207612,0.0319970054097503,0.024272189669402,0.999943905168657
"98","G0098",5.1015564661487e-39,1.60474702327257,4.18305587281722,2.81719284852878e-37
"99","G0099",0.969613166436682,-0.268525953071294,-0.251663623307581,0.999943905168657
"100","G0100",0.672780142488889,0.107151630165886,0.0645561056178381,0.999943905168657
"101","G0101",0.547282378411431,0.295548971502404,0.401257391648871,0.999943905168657
"102","G0102",0.184210372831642,-1.44299432757398,-0.952401087545693,0.999943905168657
"103","G0103",0.999916827410487,0.0284214111661806,-0.10119813092762,0.999943905168657
"104","G0104",0.634829088430174,-0.952376930610145,-0.59877905907557,0.999943905168657
"105","G0105",0.833110643131607,-0.45045122732334,-0.521330282230324,0.999943905168657
