"","sgRNA","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","G0001_1",1.40608537607341,0.673180903141996,1.30328597475423,0.516525855554414,0.605487185409479,NA
"2","G0001_2",17.7249311102316,0.245843529413424,0.404247776640787,0.608150603712237,0.543087592560927,0.999993667531981
"3","G0001_3",5.47156000277651,-0.265598847814989,0.675879109111568,-0.392967979383347,0.694343131558602,0.999993667531981
"4","G0001_4",6.00336573125737,0.143476172437546,0.583565763603444,0.245861188894288,0.80578968853535,0.999993667531981
"5","G0001_5",5.54491827279467,-0.0937674676525147,0.614175970952772,-0.152671989929943,0.878656950570835,0.999993667531981
"6","G0001_6",7.36407391563157,-0.199287160687982,0.545359917654787,-0.365423189780755,0.714795533440322,0.999993667531981
"7","G0001_7",4.73656929026162,-0.461621533164876,0.649481866513168,-0.710753535958061,0.477236978055013,0.999993667531981
"8","G0001_8",15.1169261224675,-0.267498383906884,0.386347770424747,-0.692377190666323,0.488700486120705,0.999993667531981
"9","G0001_9",7.54087501827403,-0.792266519374349,0.543455579875612,-1.45783123536184,0.144887066384928,0.999993667531981
"10","G0001_10",12.0532537680093,0.0514358859090234,0.446673868773206,0.115153111710548,0.908323762797565,0.999993667531981
"11","G0002_11",3.23080727733711,0.0786184609477799,0.81078421638992,0.0969659489646144,0.922753435775105,NA
"12","G0002_12",1.91133579656937,-1.11020142766112,1.06039645245977,-1.0469682589807,0.295114217797051,NA
"13","G0002_13",1.67558100858893,0.0483143091023546,1.18645014459355,0.0407217356098059,0.96751773345505,NA
"14","G0002_14",1.26422462233391,-0.820908680233874,1.30991592145071,-0.626688069662311,0.530863725717368,NA
"15","G0002_15",8.86157338806406,0.45248336630952,0.50088414553663,0.903369312727489,0.36632992109833,0.999993667531981
"16","G0002_16",10.3102337538378,-0.0706383105937063,0.485907812010105,-0.145373893664087,0.884415675521302,0.999993667531981
"17","G0002_17",9.309713326998,-0.0116053957154548,0.48499793635748,-0.0239287527749411,0.980909439447757,0.999993667531981
"18","G0002_18",2.68643236168502,0.556570462103572,0.888481316015057,0.626428999767666,0.531033593219805,NA
"19","G0002_19",7.14595036975149,-0.162681899390485,0.543101637510172,-0.299542273774562,0.764526321993142,0.999993667531981
"20","G0002_20",2.49406461715201,0.0730720214206913,0.907087511847508,0.0805567494495234,0.935794463303683,NA
"21","G0003_21",5.61765587182231,-0.738448984239088,0.60801825756384,-1.21451777977498,0.2245500645607,0.999993667531981
"22","G0003_22",4.27444443386039,-0.651914620603191,0.701500815594799,-0.929314130662037,0.352726314202164,NA
"23","G0003_23",3.64490291617008,0.180285963980188,0.75572459969417,0.238560401571084,0.811446473576603,NA
"24","G0003_24",15.100556009179,0.0439244034985368,0.419644816689633,0.104670430210563,0.916637326315892,0.999993667531981
"25","G0003_25",8.86006083519951,-0.402031980744568,0.508868928514562,-0.790050164623214,0.429498472388636,0.999993667531981
"26","G0003_26",12.586191442916,-0.32835582803133,0.426362805155402,-0.770132441341007,0.44122133387713,0.999993667531981
"27","G0003_27",4.775616899988,-0.761585315151065,0.677594011421685,-1.12395520372613,0.261032030349963,0.999993667531981
"28","G0003_28",5.85535862397303,-0.434574468471505,0.626210533210897,-0.693975021856025,0.487697873475455,0.999993667531981
"29","G0003_29",3.42261503901008,-0.21285196342404,0.794381711194912,-0.267946706758728,0.788740340930211,NA
"30","G0003_30",10.015047564247,-0.349167225987339,0.470074665995578,-0.742790988848193,0.457608231938481,0.999993667531981
"31","G0004_31",2.20123027539597,0.39357029357121,0.969319905808389,0.406027247777381,0.684722579907001,NA
"32","G0004_32",1.40337372404727,0.048773394873591,1.28120458101433,0.0380683893863206,0.969633154647983,NA
"33","G0004_33",2.87009063609781,0.35470599318864,0.903615423108039,0.392540879801064,0.694658612357156,NA
"34","G0004_34",6.3216907962552,-0.217714205005894,0.582704647739189,-0.373627026746044,0.708681823438022,0.999993667531981
"35","G0004_35",5.08891653585052,0.0142248370483173,0.648943299610415,0.0219199998780433,0.982511771011738,0.999993667531981
"36","G0004_36",8.07758498783524,-0.18030276298796,0.513700489970295,-0.350988107872713,0.725597270101735,0.999993667531981
"37","G0004_37",3.06513065252913,0.253456471791816,0.808650893706687,0.31343126405268,0.753953034687282,NA
"38","G0004_38",4.73997926428901,0.43315846737535,0.689718965821087,0.628021685411665,0.529989734198103,0.999993667531981
"39","G0004_39",7.79999125172624,0.131068472891601,0.510073834842268,0.256959804519538,0.797209802743215,0.999993667531981
"40","G0004_40",5.98095614435836,0.217643402025721,0.599275750147046,0.36317738866009,0.716472377379342,0.999993667531981
"41","G0005_41",5.24188097932561,0.232793188894816,0.632191459394885,0.368232100316001,0.712700176742131,0.999993667531981
"42","G0005_42",2.86693471091033,0.363006729610541,0.960714369957693,0.377850837836981,0.705541405290862,NA
"43","G0005_43",3.62352681853344,0.423305311011222,0.766211500893504,0.552465357825603,0.580629562561448,NA
"44","G0005_44",3.04484515680836,0.726346095440542,0.888102724589762,0.817862703637195,0.413435588897465,NA
"45","G0005_45",19.3934948809206,-0.235274375833992,0.35723051826708,-0.658606596590079,0.510148425782922,0.999993667531981
"46","G0005_46",12.0781152345202,0.0488659363701278,0.45796788011282,0.106701667283063,0.91502565985964,0.999993667531981
