sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
G0291_2906	G0291	1.8195/2.0228/4.5202/4.247	1.5082/1.595/0/0	2.9077	0.30633	-1.5808	2.1203	7.9577	0.92217	0.031689	0.96831	0.063378	0.9999	False
G0378_3778	G0378	5.4586/4.0456/4.5202/2.1235	6.033/4.7851/9.2192/8.0402	3.8225	6.8046	0.69454	2.0333	10.461	0.922	0.79774	0.20226	0.40452	0.9999	True
G0629_6287	G0629	8.1879/5.3942/12.656/6.3705	10.558/0.79751/6.1461/2.6801	7.7298	3.49	-0.95925	10.595	21.155	0.92183	0.13831	0.86169	0.27662	0.9999	False
G0746_7455	G0746	2.7293/2.6971/2.7121/4.247	3.0165/1.595/0/0	3.0362	0.37941	-1.5489	0.59342	8.3092	0.92167	0.037765	0.96224	0.07553	0.9999	False
G0198_1972	G0198	4.5488/14.16/6.3282/6.3705	4.5247/19.14/11.268/0	7.1464	3.0713	-1.0007	19.068	19.558	0.92145	0.13238	0.86762	0.26476	0.9999	False
G0074_732	G0074	0.90976/2.0228/1.8081/2.1235	1.5082/5.5826/7.1705/2.6801	1.6366	3.5866	0.79877	0.31465	4.4788	0.92143	0.77136	0.22864	0.45727	0.9999	True
G0227_2262	G0227	0/2.0228/1.8081/0	1.5082/6.3801/3.0731/0	0.34862	1.2485	0.73748	1.7253	0.95407	0.92129	0.72092	0.27908	0.55816	0.9999	True
G0511_5107	G0511	18.195/18.205/14.465/14.864	9.0494/11.963/6.1461/16.08	16.337	10.177	-0.63333	4.2062	44.71	0.92126	0.17243	0.82757	0.34487	0.9999	False
G0634_6332	G0634	8.1879/10.788/5.4242/2.1235	4.5247/7.1776/6.1461/0	5.67	2.0413	-1.133	15.058	15.517	0.92119	0.11185	0.88815	0.22369	0.9999	False
G0490_4891	G0490	5.4586/8.7655/13.56/4.247	12.066/11.165/9.2192/13.4	7.255	11.359	0.58224	18.105	19.855	0.92106	0.81175	0.18825	0.3765	0.9999	True
G0088_879	G0088	3.6391/2.0228/1.8081/0	3.0165/0.79751/6.1461/2.6801	1.0093	2.5399	0.81699	3.1997	2.7623	0.92092	0.7548	0.2452	0.4904	0.9999	True
G0282_2814	G0282	10.007/10.114/19.889/6.3705	3.0165/4.7851/13.317/5.3601	10.65	5.6789	-0.80259	34.791	29.145	0.92073	0.15817	0.84183	0.31633	0.9999	False
G0863_8624	G0863	0/2.0228/1.8081/2.1235	1.5082/0.79751/4.0974/5.3601	0.87417	2.2982	0.81545	1.5055	2.3924	0.9207	0.74986	0.25014	0.50027	0.9999	True
G0457_4569	G0457	23.654/20.902/13.56/12.741	10.558/16.748/14.341/5.3601	17.1	10.808	-0.61617	29.648	46.797	0.91969	0.17373	0.82627	0.34746	0.9999	False
G0818_8172	G0818	8.1879/9.4398/5.4242/2.1235	12.066/5.5826/6.1461/16.08	5.4824	9.0426	0.63154	11.422	15.004	0.91913	0.80574	0.19426	0.38852	0.9999	True
G0320_3197	G0320	6.3684/6.0684/9.9444/4.247	3.0165/2.3925/1.0244/5.3601	6.3606	2.5279	-1.061	5.7987	17.407	0.91863	0.12331	0.87669	0.24662	0.9999	False
G0672_6719	G0672	2.7293/9.4398/4.5202/4.247	7.5412/3.19/2.0487/0	4.7252	1.4245	-1.2396	8.8273	12.932	0.91786	0.093777	0.90622	0.18755	0.9999	False
G0146_1454	G0146	12.737/2.6971/1.8081/10.617	7.5412/2.3925/5.1218/0	5.1055	1.6758	-1.1901	35.097	13.972	0.91752	0.10223	0.89777	0.20447	0.9999	False
G0947_9468	G0947	9.0976/14.834/10.848/19.111	9.0494/9.5701/13.317/2.6801	12.937	7.4793	-0.71694	20.275	35.406	0.91727	0.16714	0.83286	0.33427	0.9999	False
G0907_9062	G0907	7.2781/6.0684/6.3282/4.247	6.033/4.7851/9.2192/0	5.8717	2.1987	-1.1032	1.6216	16.069	0.91628	0.1166	0.8834	0.23321	0.9999	False
G0148_1480	G0148	2.7293/4.0456/4.5202/6.3705	3.0165/2.3925/0/2.6801	4.2273	1.1122	-1.3073	2.3187	11.569	0.91583	0.081646	0.91835	0.16329	0.9999	False
G0773_7723	G0773	16.376/20.902/22.601/21.235	13.574/15.153/14.341/10.72	20.133	13.336	-0.55986	7.3377	55.099	0.91569	0.17716	0.82284	0.35433	0.9999	False
G0431_4305	G0431	6.3684/12.137/12.656/8.494	13.574/18.343/12.292/13.4	9.5516	14.232	0.52964	9.1919	26.14	0.91544	0.81429	0.18571	0.37143	0.9999	True
G0610_6099	G0610	10.007/7.417/7.2323/12.741	3.0165/2.3925/7.1705/8.0402	9.0967	4.5305	-0.8684	6.8026	24.895	0.91516	0.15107	0.84893	0.30214	0.9999	False
G0880_8796	G0880	12.737/4.0456/7.2323/12.741	3.0165/1.595/6.1461/8.0402	8.3134	3.9483	-0.91237	19.517	22.751	0.91514	0.14529	0.85471	0.29059	0.9999	False
G0152_1511	G0152	5.4586/8.7655/3.6161/6.3705	0/7.1776/4.0974/8.0402	5.7671	2.1331	-1.111	4.6922	15.783	0.91473	0.11532	0.88468	0.23064	0.9999	False
G0447_4470	G0447	9.0976/4.7199/6.3282/10.617	3.0165/6.3801/1.0244/5.3601	7.334	3.2369	-0.97602	7.2456	20.071	0.91453	0.13633	0.86367	0.27267	0.9999	False
G0527_5267	G0527	8.1879/6.0684/9.9444/2.1235	4.5247/7.9751/6.1461/0	5.7129	2.0977	-1.1158	12.347	15.635	0.91431	0.11453	0.88547	0.22905	0.9999	False
G0766_7653	G0766	7.2781/6.7427/1.8081/2.1235	10.558/5.5826/4.0974/8.0402	3.7256	6.6446	0.69394	9.3223	10.196	0.91415	0.79471	0.20529	0.41059	0.9999	True
G0004_31	G0004	0/2.6971/4.5202/2.1235	1.5082/3.9875/4.0974/2.6801	1.202	2.8595	0.80961	5.1799	3.2895	0.91388	0.75827	0.24173	0.48346	0.9999	True
G0486_4857	G0486	8.1879/17.531/9.0403/2.1235	7.5412/14.355/14.341/10.72	7.2821	11.362	0.57783	45.188	19.929	0.91388	0.80983	0.19017	0.38034	0.9999	True
G0918_9175	G0918	14.556/17.531/20.793/23.358	6.033/16.748/20.487/10.72	18.765	12.217	-0.58051	14.816	51.354	0.91367	0.17681	0.82319	0.35362	0.9999	False
G0904_9037	G0904	6.3684/7.417/6.3282/6.3705	4.5247/11.963/11.268/0	6.606	2.722	-1.0311	0.28227	18.079	0.91348	0.12806	0.87194	0.25612	0.9999	False
G0284_2832	G0284	2.7293/3.3714/0.90403/2.1235	6.033/3.19/2.0487/8.0402	2.0639	4.2343	0.77262	1.167	5.6484	0.91322	0.77637	0.22363	0.44726	0.9999	True
G0084_835	G0084	4.5488/4.7199/5.4242/2.1235	1.5082/2.3925/3.0731/0	3.9731	0.96198	-1.3418	2.1386	10.873	0.91315	0.075019	0.92498	0.15004	0.9999	False
G0911_9109	G0911	19.105/20.228/23.505/23.358	18.099/18.343/12.292/10.72	21.463	14.465	-0.53851	4.9489	58.738	0.91304	0.17851	0.82149	0.35703	0.9999	False
G0547_5465	G0547	13.646/14.16/13.56/12.741	19.607/15.95/22.536/18.76	13.517	19.07	0.46724	0.34464	36.993	0.91287	0.81694	0.18306	0.36612	0.9999	True
G0625_6242	G0625	23.654/22.925/22.601/10.617	27.148/19.938/24.584/32.161	18.999	25.579	0.41031	40.101	51.996	0.91242	0.81846	0.18154	0.36308	0.9999	True
