id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
G0315	10	0.65306	0.65346	0.998595	629	0	-0.032216	0.80486	0.8045	0.994234	797	0	-0.032216
G0069	10	0.65345	0.6538	0.998595	630	0	0.022777	0.09881	0.15911	0.994234	141	1	0.022777
G0273	10	0.6546	0.65491	0.998595	631	0	-0.034826	0.49018	0.49092	0.994234	467	0	-0.034826
G0152	10	0.65537	0.65551	0.998595	632	0	-0.020947	0.65652	0.65667	0.994234	636	0	-0.020947
G0359	10	0.65613	0.65619	0.998595	633	0	-0.083373	0.51991	0.51974	0.994234	498	0	-0.083373
G0388	10	0.65728	0.65738	0.998595	634	0	-0.046404	0.87805	0.87839	0.994234	877	0	-0.046404
G0421	10	0.65766	0.65769	0.998595	635	0	-0.047222	0.59335	0.5925	0.994234	579	0	-0.047222
G0505	10	0.65804	0.65809	0.998595	636	0	-0.025373	0.70376	0.70302	0.994234	686	0	-0.025373
G0966	10	0.65842	0.65851	0.998595	637	0	0.14862	0.23749	0.26016	0.994234	244	1	0.14862
G0922	10	0.6588	0.65877	0.998595	638	0	-0.071966	0.30081	0.31342	0.994234	296	1	-0.071966
G0008	10	0.65956	0.65956	0.998595	639	0	0.061096	0.088743	0.14511	0.994234	122	1	0.061096
G0654	10	0.6607	0.6607	0.998595	640	0	-0.016204	0.35666	0.36184	0.994234	340	1	-0.016204
G0038	10	0.66145	0.66146	0.998595	641	0	0.045385	0.09757	0.15814	0.994234	140	2	0.045385
G0078	10	0.66483	0.66465	0.998595	642	0	0.053862	0.4122	0.41509	0.994234	395	1	0.053862
G0866	10	0.66521	0.66504	0.998595	643	0	-0.019456	0.48854	0.48925	0.994234	465	0	-0.019456
G0081	10	0.66633	0.66601	0.998595	644	0	0.050885	0.79785	0.79729	0.994234	791	0	0.050885
G0930	10	0.6667	0.66628	0.998595	645	0	-0.056524	0.55439	0.55468	0.994234	540	0	-0.056524
G0245	10	0.66707	0.66662	0.998595	646	0	0.071062	0.34103	0.34716	0.994234	326	1	0.071062
G0182	10	0.66781	0.66755	0.998595	647	0	-0.0058336	0.62011	0.61987	0.994234	601	0	-0.0058336
G0690	10	0.66929	0.66905	0.998595	648	0	0.010666	0.81713	0.81667	0.994234	809	0	0.010666
G0440	10	0.67187	0.67162	0.998595	649	0	0.024902	0.158	0.19975	0.994234	183	1	0.024902
G0750	10	0.67297	0.67262	0.998595	650	0	0.020784	0.86871	0.86869	0.994234	866	0	0.020784
G0074	10	0.67333	0.67299	0.998595	651	0	-0.013329	0.34446	0.35028	0.994234	328	1	-0.013329
G0202	10	0.6737	0.67327	0.998595	652	0	-0.06875	0.76698	0.76681	0.994234	758	0	-0.06875
G0108	10	0.67406	0.67357	0.998595	653	0	-0.063548	0.91797	0.91729	0.994234	918	0	-0.063548
G0678	10	0.67625	0.67562	0.998595	654	0	0.018356	0.74066	0.73992	0.994234	727	0	0.018356
G0264	10	0.67697	0.6764	0.998595	655	0	-0.03486	0.030085	0.059272	0.994234	32	1	-0.03486
G0300	10	0.67733	0.67675	0.998595	656	0	0.027292	0.34172	0.3478	0.994234	327	1	0.027292
G0699	10	0.67769	0.67713	0.998595	657	0	-0.050873	0.077646	0.12909	0.994234	106	1	-0.050873
G0130	10	0.67841	0.67777	0.998595	658	0	-0.027054	0.99687	0.99694	0.999995	989	0	-0.027054
G0035	10	0.67913	0.67866	0.998595	659	0	0.093097	0.028892	0.057609	0.994234	30	2	0.093097
G0816	10	0.67949	0.679	0.998595	660	0	0.016154	0.51576	0.51565	0.994234	492	0	0.016154
G0075	10	0.67985	0.6793	0.998595	661	0	0.082078	0.12841	0.17837	0.994234	159	1	0.082078
G0739	10	0.68235	0.68175	0.998595	662	0	0.001959	0.45823	0.45996	0.994234	432	0	0.001959
G0863	10	0.68307	0.68256	0.998595	663	0	0.076586	0.48304	0.48368	0.994234	460	0	0.076586
G0009	10	0.68342	0.68287	0.998595	664	0	0.076215	0.096019	0.15598	0.994234	135	2	0.076215
G0329	10	0.68519	0.68465	0.998595	665	0	0.044358	0.25225	0.272	0.994234	257	1	0.044358
G0025	10	0.6859	0.68538	0.998595	666	0	0.0058634	0.11864	0.17198	0.994234	155	1	0.0058634
G0063	10	0.68625	0.68568	0.998595	667	0	0.071369	0.04458	0.080213	0.994234	56	2	0.071369
G0519	10	0.68766	0.68719	0.998595	668	0	-0.051845	0.9412	0.94129	0.994234	942	0	-0.051845
G0060	10	0.68941	0.68873	0.998595	669	0	-0.047091	0.20962	0.23823	0.994234	222	1	-0.047091
G0468	10	0.68976	0.68912	0.998595	670	0	-0.072439	0.99911	0.99893	0.999995	992	0	-0.072439
G0989	10	0.6901	0.6895	0.998595	671	0	0.13074	0.07864	0.13047	0.994234	108	2	0.13074
