sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
G0567_5662	G0567	79.366/145.8/141.52/141.79	101.33/121.88/137.62/157.76	123.44	127.96	0.051472	1035.2	625.06	0.18079	0.57174	0.42826	0.85653	0.99996	True
G0704_7037	G0704	85.715/103.35/62.778/97.927	87.284/99.629/45.53/115.07	85.907	82.164	-0.063514	327.91	428.91	0.18073	0.42828	0.57172	0.85656	0.99996	False
G0287_2870	G0287	51.852/43.37/54.265/40.803	46.15/54.167/53.808/46.399	47.239	49.983	0.079808	42.349	230.47	0.18073	0.57131	0.42869	0.85738	0.99996	True
G0567_5664	G0567	135.45/163.33/235.15/150.97	148.48/145.09/217.3/147.55	167.41	162.12	-0.046043	1965.7	857.78	0.18061	0.42834	0.57166	0.85667	0.99996	False
G0151_1507	G0151	165.08/239.92/183.01/184.63	174.57/241.82/176.95/201.37	191.27	196.94	0.041919	1054.9	985.14	0.1806	0.57166	0.42834	0.85668	0.99996	True
G0838_8373	G0838	388.36/406.94/453.28/510.04	443.44/435.27/418.05/489.97	437.2	445.91	0.028389	2954.7	2326	0.18056	0.57164	0.42836	0.85671	0.99996	True
G0314_3139	G0314	27.514/68.285/64.906/69.365	20.065/66.742/73.469/68.671	53.938	51.002	-0.079242	420.78	264.5	0.18054	0.4281	0.5719	0.85621	0.99996	False
G0891_8904	G0891	51.852/42.447/32.985/21.422	55.179/32.887/35.182/31.551	35.32	37.676	0.090681	174.25	170.4	0.1805	0.57015	0.42985	0.85969	0.99996	True
G0567_5670	G0567	35.979/85.817/36.177/59.164	43.14/93.825/31.043/41.759	50.709	47.868	-0.08151	577.4	248.07	0.18034	0.42807	0.57193	0.85615	0.99996	False
G0977_9769	G0977	7.4075/26.76/35.113/37.743	8.0261/23.214/49.669/38.975	22.668	24.537	0.10967	210.59	107.52	0.18028	0.56527	0.43473	0.86945	0.99996	True
G0519_5183	G0519	138.63/100.58/58.522/91.806	159.52/81.251/61.051/79.806	93.038	89.15	-0.060918	1109.4	465.96	0.18012	0.42852	0.57148	0.85705	0.99996	False
G0235_2345	G0235	22.222/38.756/73.418/67.325	26.085/30.953/75.538/54.751	45.436	42.757	-0.085737	615.2	221.34	0.18009	0.4279	0.5721	0.85579	0.99996	False
G0731_7309	G0731	76.191/142.11/118.11/139.75	84.274/142.19/79.677/160.54	115.62	111.27	-0.054862	948.14	583.98	0.18008	0.42855	0.57145	0.85709	0.99996	False
G0009_84	G0009	104.76/65.516/60.65/62.224	73.238/51.265/67.26/84.446	71.343	67.957	-0.06915	449.45	353.65	0.18004	0.42852	0.57148	0.85704	0.99996	False
