id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
G0398	10	0.74603	0.84904	0.999995	816	2	0.057865	0.26675	0.39987	0.999955	211	2	0.057865
G0021	10	0.74857	0.85068	0.999995	817	2	-0.01335	0.32646	0.45995	0.999955	269	2	-0.01335
G0443	10	0.7488	0.85084	0.999995	818	2	-0.021351	0.93898	0.93904	0.999955	891	0	-0.021351
G0667	10	0.74903	0.85097	0.999995	819	2	-0.11804	0.71494	0.71977	0.999955	617	1	-0.11804
G0921	10	0.74926	0.85113	0.999995	820	2	0.014809	0.27353	0.40683	0.999955	218	2	0.014809
G0397	10	0.75086	0.85232	0.999995	821	1	0.063629	0.80417	0.80367	0.999955	722	0	0.063629
G0303	10	0.75178	0.85291	0.999995	822	2	-0.073889	0.85925	0.85901	0.999955	805	0	-0.073889
G0439	10	0.75451	0.85486	0.999995	823	2	-0.086311	0.53368	0.60268	0.999955	462	1	-0.086311
G0037	10	0.7554	0.85545	0.999995	824	1	-0.10308	0.7094	0.71507	0.999955	613	1	-0.10308
G0298	10	0.75654	0.85615	0.999995	825	2	0.011896	0.92067	0.92023	0.999955	866	0	0.011896
G0776	10	0.75737	0.85676	0.999995	826	2	-0.046052	0.84881	0.84815	0.999955	787	0	-0.046052
G0804	10	0.75788	0.85708	0.999995	827	2	-0.054623	0.60259	0.6411	0.999955	516	1	-0.054623
G0599	10	0.75904	0.85771	0.999995	828	1	-0.17447	0.071141	0.15986	0.999955	82	3	-0.17447
G0771	10	0.76015	0.85857	0.999995	829	1	-0.050127	0.89535	0.89518	0.999955	839	0	-0.050127
G0390	10	0.76056	0.85887	0.999995	830	2	-0.17526	0.47638	0.57494	0.999955	426	1	-0.17526
G0900	10	0.7607	0.85899	0.999995	831	1	0.15653	0.40722	0.54425	0.999955	382	1	0.15653
G0664	10	0.76098	0.85912	0.999995	832	1	0.13829	0.12677	0.24988	0.999955	122	3	0.13829
G0181	10	0.76372	0.86104	0.999995	833	2	-0.20108	0.89229	0.89243	0.999955	837	0	-0.20108
G0386	10	0.76427	0.86138	0.999995	834	2	0.19486	0.17159	0.30605	0.999955	145	2	0.19486
G0062	10	0.76476	0.86176	0.999995	835	2	-0.022	0.92097	0.92064	0.999955	867	0	-0.022
G0860	10	0.76617	0.86266	0.999995	836	1	0.22753	0.13597	0.26472	0.999955	127	3	0.22753
G0990	10	0.76966	0.86492	0.999995	837	1	0.33624	0.045877	0.11756	0.999955	75	3	0.33624
G0476	10	0.76976	0.86499	0.999995	838	2	0.18668	0.29352	0.42744	0.999955	237	1	0.18668
G0189	10	0.77234	0.86687	0.999995	839	2	0.10973	0.86347	0.86314	0.999955	812	0	0.10973
G0025	10	0.77298	0.86736	0.999995	840	2	-0.055629	0.7752	0.77466	0.999955	681	0	-0.055629
G0318	10	0.77598	0.86961	0.999995	841	1	-0.10199	0.19996	0.33332	0.999955	162	2	-0.10199
G0986	10	0.77754	0.87095	0.999995	842	1	0.10906	0.60563	0.64308	0.999955	519	1	0.10906
G0326	10	0.77891	0.87199	0.999995	843	2	0.062263	0.18512	0.31916	0.999955	151	2	0.062263
G0983	10	0.77912	0.87214	0.999995	844	2	-0.14976	0.3213	0.45504	0.999955	266	2	-0.14976
G0542	10	0.77996	0.87267	0.999995	845	2	0.094425	0.25172	0.38472	0.999955	197	2	0.094425
G0648	10	0.78088	0.87318	0.999995	846	1	0.066076	0.098829	0.20431	0.999955	95	3	0.066076
G0857	10	0.78121	0.87338	0.999995	847	2	-0.090679	0.25455	0.38718	0.999955	201	1	-0.090679
G0248	10	0.78266	0.87433	0.999995	848	2	-0.030895	0.24762	0.3808	0.999955	192	1	-0.030895
G0748	10	0.78328	0.87484	0.999995	849	2	-0.1701	0.95262	0.95285	0.999955	919	0	-0.1701
G0396	10	0.79038	0.87835	0.999995	850	1	-0.015776	0.80161	0.8011	0.999955	718	0	-0.015776
G0006	10	0.79209	0.87872	0.999995	851	1	0.047729	0.51158	0.59123	0.999955	449	1	0.047729
G0769	10	0.79523	0.87946	0.999995	852	1	-0.07641	0.71169	0.71701	0.999955	616	1	-0.07641
G0931	10	0.79974	0.88061	0.999995	853	1	-0.12263	0.78062	0.78024	0.999955	691	0	-0.12263
G0894	10	0.8044	0.8819	0.999995	854	1	0.062844	0.27127	0.4045	0.999955	215	1	0.062844
G0255	10	0.80669	0.88257	0.999995	855	1	-0.093619	0.98258	0.98302	0.999955	964	0	-0.093619
G0125	10	0.81648	0.88529	0.999995	856	1	-0.076931	0.88692	0.88716	0.999955	831	0	-0.076931
G0122	10	0.818	0.88573	0.999995	857	1	0.70191	6.2631e-07	4.9505e-06	0.000127	36	8	0.70191
G0445	10	0.81929	0.88612	0.999995	858	1	0.021028	0.21652	0.34969	0.999955	169	2	0.021028
G0579	10	0.8195	0.88619	0.999995	859	1	0.22876	0.38516	0.5206	0.999955	352	2	0.22876
G0330	10	0.82014	0.88643	0.999995	860	1	0.081404	0.43772	0.55775	0.999955	399	1	0.081404
G0050	10	0.82952	0.88902	0.999995	861	1	-0.1758	0.58527	0.6313	0.999955	503	1	-0.1758
G0290	10	0.83454	0.89051	0.999995	862	1	-0.011523	0.91627	0.91573	0.999955	858	0	-0.011523
G0526	10	0.83573	0.89083	0.999995	863	1	-0.10005	0.30766	0.44124	0.999955	252	2	-0.10005
G0034	10	0.84211	0.89312	0.999995	864	1	-0.070918	0.30688	0.44053	0.999955	250	2	-0.070918
G0788	10	0.84493	0.894	0.999995	865	1	1.1223	5.4793e-10	4.9505e-06	0.000127	27	8	1.1223
G0899	10	0.84586	0.89434	0.999995	866	1	0.045552	0.34923	0.48269	0.999955	299	1	0.045552
G0897	10	0.84936	0.89546	0.999995	867	1	2.3217	9.7871e-11	4.9505e-06	0.000127	21	7	2.3217
G0147	10	0.85243	0.89651	0.999995	868	1	2.7066	5.4793e-14	4.9505e-06	0.000127	14	9	2.7066
G0133	10	0.85491	0.89743	0.999995	869	1	0.25961	0.6546	0.67556	0.999955	569	1	0.25961
G0619	10	0.85787	0.89857	0.999995	870	1	0.067208	0.17014	0.30464	0.999955	144	2	0.067208
G0179	10	0.86163	0.9	0.999995	871	1	0.075307	0.48083	0.57677	0.999955	429	1	0.075307
G0061	10	0.86595	0.90162	0.999995	872	1	-0.067695	0.76508	0.76495	0.999955	670	1	-0.067695
G0556	10	0.86774	0.90232	0.999995	873	1	0.39375	0.61759	0.65084	0.999955	531	1	0.39375
G0584	10	0.87079	0.90377	0.999995	874	1	0.060943	0.84001	0.83904	0.999955	773	0	0.060943
G0815	10	0.87546	0.90551	0.999995	875	1	0.11877	0.65113	0.67335	0.999955	565	1	0.11877
G0730	10	0.87638	0.90592	0.999995	876	1	-0.089881	0.70709	0.71333	0.999955	610	1	-0.089881
G0078	10	0.88278	0.90891	0.999995	877	1	-0.10616	0.76644	0.76639	0.999955	673	1	-0.10616
G0213	10	0.88379	0.90927	0.999995	878	1	-0.1461	0.57612	0.62607	0.999955	492	1	-0.1461
G0912	10	0.88915	0.91151	0.999995	879	1	0.069341	0.63652	0.66306	0.999955	551	1	0.069341
G0867	10	0.89094	0.9122	0.999995	880	1	-0.096487	0.26061	0.39366	0.999955	204	2	-0.096487
G0478	10	0.89121	0.91233	0.999995	881	1	-0.053101	0.74537	0.7461	0.999955	647	1	-0.053101
G0408	10	0.89134	0.91238	0.999995	882	1	0.0022439	0.88508	0.88529	0.999955	830	0	0.0022439
G0316	10	0.89242	0.91292	0.999995	883	1	0.12642	0.26564	0.39869	0.999955	210	2	0.12642
G0283	10	0.89296	0.91316	0.999995	884	1	0.017927	0.7172	0.72143	0.999955	619	1	0.017927
G0774	10	0.89508	0.91405	0.999995	885	1	0.76312	1.1751e-06	4.9505e-06	0.000127	39	8	0.76312
G0840	10	0.89768	0.91515	0.999995	886	1	-0.16222	0.26875	0.40186	0.999955	212	2	-0.16222
G0208	10	0.90209	0.91746	0.999995	887	1	0.090206	0.60994	0.64608	0.999955	524	1	0.090206
G0798	10	0.90381	0.91824	0.999995	888	1	0.20616	0.13808	0.26792	0.999955	129	3	0.20616
G0166	10	0.90645	0.91958	0.999995	889	1	0.30418	0.11284	0.2269	0.999955	108	3	0.30418
G0719	10	0.90657	0.91965	0.999995	890	1	0.060263	0.8643	0.86408	0.999955	813	0	0.060263
G0267	10	0.90914	0.92097	0.999995	891	1	-0.10968	0.8044	0.804	0.999955	723	0	-0.10968
G0555	10	0.90983	0.92142	0.999995	892	1	0.12363	0.88117	0.88164	0.999955	826	0	0.12363
G0182	10	0.9104	0.92164	0.999995	893	1	0.016453	0.90429	0.9039	0.999955	844	0	0.016453
G0874	10	0.91052	0.9217	0.999995	894	1	0.98188	8.1423e-08	4.9505e-06	0.000127	32	8	0.98188
G0480	10	0.91199	0.92257	0.999995	895	1	-0.13687	0.78139	0.78088	0.999955	693	0	-0.13687
G0271	10	0.91443	0.92399	0.999995	896	1	0.51552	0.00066992	0.003302	0.078619	42	6	0.51552
G0972	10	0.91776	0.92564	0.999995	897	1	0.15582	0.7442	0.74506	0.999955	645	1	0.15582
G0915	10	0.91912	0.92653	0.999995	898	1	0.045234	0.82562	0.82513	0.999955	750	0	0.045234
G0976	10	0.91943	0.92675	0.999995	899	1	-0.0027797	0.2979	0.4319	0.999955	243	1	-0.0027797
G0924	10	0.92005	0.92727	0.999995	900	1	0.11862	0.26901	0.40212	0.999955	213	2	0.11862
G0355	10	0.92534	0.93099	0.999995	901	1	0.059075	0.13574	0.26433	0.999955	126	3	0.059075
G0824	10	0.92912	0.93329	0.999995	902	1	-0.27058	0.6341	0.6616	0.999955	548	1	-0.27058
G0136	10	0.92931	0.93341	0.999995	903	1	-0.021305	0.31231	0.44585	0.999955	257	1	-0.021305
G0163	10	0.92958	0.9336	0.999995	904	1	0.041017	0.60085	0.64005	0.999955	515	1	0.041017
G0982	10	0.93238	0.9357	0.999995	905	1	-0.1258	0.11983	0.23843	0.999955	117	3	-0.1258
G0499	10	0.93499	0.93773	0.999995	906	1	-0.051032	0.25095	0.384	0.999955	195	2	-0.051032
G0953	10	0.93734	0.9396	0.999995	907	1	0.037659	0.29169	0.42537	0.999955	235	2	0.037659
G0943	10	0.93841	0.94039	0.999995	908	1	-0.011409	0.77178	0.77135	0.999955	679	1	-0.011409
G0371	10	0.93914	0.94091	0.999995	909	1	0.083068	0.59557	0.63687	0.999955	510	1	0.083068
G0005	10	0.93946	0.9412	0.999995	910	1	0.16941	0.015838	0.049916	0.846031	59	3	0.16941
G0835	10	0.94041	0.94195	0.999995	911	1	0.12012	0.318	0.45168	0.999955	263	1	0.12012
G0536	10	0.94274	0.94386	0.999995	912	1	0.30872	0.24607	0.3791	0.999955	190	1	0.30872
G0829	10	0.94289	0.94397	0.999995	913	1	0.01679	0.70376	0.71082	0.999955	608	1	0.01679
G0458	10	0.94365	0.94456	0.999995	914	1	-0.016129	0.33492	0.46779	0.999955	281	2	-0.016129
G0747	10	0.94447	0.94534	0.999995	915	1	-0.042878	0.85666	0.85649	0.999955	799	0	-0.042878
G0828	10	0.94557	0.94625	0.999995	916	1	0.23401	0.16869	0.30324	0.999955	142	2	0.23401
G0576	10	0.94651	0.94709	0.999995	917	1	0.12958	0.66929	0.68552	0.999955	579	1	0.12958
G0692	10	0.94772	0.94822	0.999995	918	1	0.44233	0.0011365	0.005302	0.1205	44	4	0.44233
G0628	10	0.94855	0.94898	0.999995	919	1	-0.048203	0.75115	0.7513	0.999955	655	1	-0.048203
G0404	10	0.94945	0.94989	0.999995	920	1	0.083898	0.20258	0.33608	0.999955	163	2	0.083898
G0395	10	0.94952	0.94994	0.999995	921	1	0.11562	0.18667	0.32066	0.999955	153	1	0.11562
G0142	10	0.95301	0.95319	0.999995	922	1	-0.014941	0.66446	0.68212	0.999955	576	1	-0.014941
G0060	10	0.95427	0.95444	0.999995	923	0	0.27014	0.3771	0.51258	0.999955	336	2	0.27014
G0547	10	0.95562	0.95592	0.999995	924	0	0.24359	0.19081	0.32461	0.999955	158	2	0.24359
G0952	10	0.95676	0.95699	0.999995	925	0	1.8788	1.2438e-10	4.9505e-06	0.000127	22	8	1.8788
G0885	10	0.95699	0.95717	0.999995	926	0	-0.0086195	0.94644	0.94654	0.999955	907	0	-0.0086195
G0265	10	0.95711	0.95733	0.999995	927	0	-0.080643	0.77883	0.77859	0.999955	688	0	-0.080643
G0741	10	0.95717	0.95736	0.999995	928	0	-0.12723	0.58345	0.63015	0.999955	501	1	-0.12723
G0072	10	0.95957	0.95973	0.999995	929	0	0.043671	0.92447	0.92431	0.999955	874	0	0.043671
G0348	10	0.95968	0.95984	0.999995	930	0	0.011212	0.32286	0.45641	0.999955	268	2	0.011212
G0530	10	0.9598	0.95993	0.999995	931	0	-0.014418	0.84845	0.84781	0.999955	786	0	-0.014418
G0569	10	0.96084	0.96085	0.999995	932	0	0.37668	0.0055988	0.021886	0.446656	49	5	0.37668
G0847	10	0.96201	0.96202	0.999995	933	0	0.11124	0.64762	0.67077	0.999955	562	1	0.11124
G0523	10	0.96227	0.96229	0.999995	934	0	0.018981	0.1048	0.2139	0.999955	102	2	0.018981
G0231	10	0.96578	0.96574	0.999995	935	0	0.17947	0.38363	0.51903	0.999955	348	2	0.17947
G0341	10	0.9665	0.96636	0.999995	936	0	0.11148	0.84753	0.84669	0.999955	785	0	0.11148
G0064	10	0.96678	0.96669	0.999995	937	0	0.12847	0.59424	0.63614	0.999955	509	1	0.12847
G0454	10	0.9686	0.96866	0.999995	938	0	0.15378	0.1161	0.23195	0.999955	113	3	0.15378
G0444	10	0.96878	0.96889	0.999995	939	0	0.59601	0.0017068	0.0078861	0.171438	46	5	0.59601
G0414	10	0.969	0.96909	0.999995	940	0	0.017335	0.92838	0.92816	0.999955	876	0	0.017335
G0658	10	0.96913	0.96928	0.999995	941	0	0.15345	0.36668	0.5017	0.999955	324	1	0.15345
G0230	10	0.97016	0.97023	0.999995	942	0	0.21146	0.55632	0.61544	0.999955	475	1	0.21146
G0803	10	0.97033	0.97032	0.999995	943	0	0.3832	0.0098256	0.033985	0.645526	52	4	0.3832
G0170	10	0.97189	0.97204	0.999995	944	0	0.34984	0.037004	0.10178	0.999955	73	4	0.34984
G0041	10	0.97421	0.9746	0.999995	945	0	0.025969	0.36091	0.4955	0.999955	316	2	0.025969
G0069	10	0.97425	0.97467	0.999995	946	0	0.16853	0.036138	0.099718	0.999955	71	3	0.16853
G0273	10	0.9757	0.97605	0.999995	947	0	1.5745	9.8688e-10	4.9505e-06	0.000127	28	8	1.5745
G0785	10	0.9766	0.97703	0.999995	948	0	0.076595	0.6715	0.6871	0.999955	581	1	0.076595
G0040	10	0.97717	0.97774	0.999995	949	0	0.54768	0.0013576	0.0063317	0.140704	45	5	0.54768
G0154	10	0.97753	0.97815	0.999995	950	0	0.47425	0.005252	0.020658	0.430384	48	5	0.47425
G0657	10	0.9794	0.9801	0.999995	951	0	-0.0077421	0.78642	0.78612	0.999955	702	0	-0.0077421
G0861	10	0.98017	0.98093	0.999995	952	0	-0.025721	0.28273	0.41587	0.999955	229	2	-0.025721
G0294	10	0.98067	0.98147	0.999995	953	0	-0.066153	0.74827	0.74868	0.999955	652	1	-0.066153
G0879	10	0.982	0.98257	0.999995	954	0	0.09673	0.39052	0.52623	0.999955	359	2	0.09673
G0201	10	0.98219	0.98272	0.999995	955	0	0.22276	0.15261	0.28831	0.999955	135	2	0.22276
G0941	10	0.98494	0.98561	0.999995	956	0	0.11764	0.82768	0.82679	0.999955	754	0	0.11764
G0731	10	0.98591	0.98659	0.999995	957	0	0.086673	0.38938	0.52504	0.999955	357	2	0.086673
G0210	10	0.98696	0.98762	0.999995	958	0	0.7456	1.3041e-07	4.9505e-06	0.000127	35	9	0.7456
G0024	10	0.98729	0.988	0.999995	959	0	0.06065	0.38248	0.5178	0.999955	345	2	0.06065
G0420	10	0.98942	0.98982	0.999995	960	0	0.0017381	0.92005	0.91956	0.999955	864	0	0.0017381
G0693	10	0.99056	0.99088	0.999995	961	0	0.092533	0.9055	0.90514	0.999955	845	0	0.092533
G0079	10	0.99091	0.99121	0.999995	962	0	0.29284	0.020142	0.061045	0.999955	61	4	0.29284
G0337	10	0.99133	0.9916	0.999995	963	0	0.089948	0.49344	0.58278	0.999955	433	1	0.089948
G0004	10	0.99135	0.99164	0.999995	964	0	0.19776	0.31624	0.44992	0.999955	260	2	0.19776
G0311	10	0.99223	0.99245	0.999995	965	0	0.22868	0.33803	0.471	0.999955	286	2	0.22868
G0942	10	0.99285	0.99312	0.999995	966	0	2.2539	1.0124e-16	4.9505e-06	0.000127	8	9	2.2539
G0809	10	0.99334	0.99377	0.999995	967	0	0.24014	0.011223	0.037738	0.686139	55	4	0.24014
G0487	10	0.99596	0.99602	0.999995	968	0	0.11209	0.85153	0.85092	0.999955	791	0	0.11209
G0321	10	0.99653	0.99658	0.999995	969	0	0.2677	0.18364	0.31791	0.999955	149	2	0.2677
G0662	10	0.99773	0.9976	0.999995	970	0	1.127	7.9805e-07	4.9505e-06	0.000127	38	7	1.127
G0052	10	0.99802	0.99792	0.999995	971	0	3.1588	3.0156e-20	4.9505e-06	0.000127	2	9	3.1588
G0783	10	0.9991	0.99892	0.999995	972	0	1.4052	1.0075e-08	4.9505e-06	0.000127	29	9	1.4052
G0191	10	0.99949	0.99933	0.999995	973	0	0.8959	8.5358e-08	4.9505e-06	0.000127	33	9	0.8959
G0374	10	0.99958	0.99945	0.999995	974	0	1.1592	3.783e-08	4.9505e-06	0.000127	31	8	1.1592
G0995	10	0.99979	0.99971	0.999995	975	0	0.3357	0.38286	0.51822	0.999955	346	2	0.3357
G0917	10	0.9999	0.99986	0.999995	976	0	1.3564	3.7077e-10	4.9505e-06	0.000127	24	8	1.3564
G0781	10	0.99991	0.99987	0.999995	977	0	0.96623	1.6192e-06	1.4851e-05	0.000371	40	6	0.96623
G0799	10	0.99994	0.9999	0.999995	978	0	2.2754	2.711e-16	4.9505e-06	0.000127	10	9	2.2754
G0606	10	0.99997	0.99997	0.999995	979	0	1.5782	2.3901e-13	4.9505e-06	0.000127	16	9	1.5782
G0647	10	0.99998	0.99997	0.999995	980	0	1.5669	2.5262e-10	4.9505e-06	0.000127	23	9	1.5669
G0669	10	0.99999	0.99999	0.999995	981	0	0.54754	0.0010174	0.0047574	0.110638	43	5	0.54754
G0650	10	0.99999	0.99999	0.999995	982	0	1.142	1.5509e-08	4.9505e-06	0.000127	30	8	1.142
G0098	10	0.99999	0.99999	0.999995	983	0	1.6277	8.352e-14	4.9505e-06	0.000127	15	9	1.6277
G0532	10	1.0	0.99999	0.999995	984	0	1.5747	1.9456e-12	4.9505e-06	0.000127	18	9	1.5747
G0422	10	1.0	1.0	0.999995	985	0	2.5692	1.1329e-17	4.9505e-06	0.000127	6	9	2.5692
G0035	10	1.0	1.0	0.999995	986	0	2.9297	1.9577e-14	4.9505e-06	0.000127	12	8	2.9297
G0987	10	1.0	1.0	0.999995	987	0	0.89186	2.9731e-06	3.4653e-05	0.000845	41	7	0.89186
G0349	10	1.0	1.0	0.999995	988	0	0.94065	4.2116e-10	4.9505e-06	0.000127	26	9	0.94065
G0362	10	1.0	1.0	0.999995	989	0	1.1628	1.1088e-07	4.9505e-06	0.000127	34	8	1.1628
G0950	10	1.0	1.0	0.999995	990	0	1.1032	6.7992e-11	4.9505e-06	0.000127	20	9	1.1032
G0991	10	1.0	1.0	0.999995	991	0	1.6019	2.3312e-12	4.9505e-06	0.000127	19	10	1.6019
G0494	10	1.0	1.0	0.999995	992	0	2.2413	4.6659e-16	4.9505e-06	0.000127	11	10	2.2413
G0510	10	1.0	1.0	0.999995	993	0	1.1263	8.3256e-13	4.9505e-06	0.000127	17	10	1.1263
G0965	10	1.0	1.0	0.999995	994	0	1.4742	3.4431e-14	4.9505e-06	0.000127	13	10	1.4742
G0567	10	1.0	1.0	0.999995	995	0	1.6309	2.6119e-16	4.9505e-06	0.000127	9	10	1.6309
G0570	10	1.0	1.0	0.999995	996	0	2.8587	3.8731e-20	4.9505e-06	0.000127	3	10	2.8587
G0825	10	1.0	1.0	0.999995	997	0	3.5958	6.2971e-27	4.9505e-06	0.000127	1	10	3.5958
G0491	10	1.0	1.0	0.999995	998	0	2.9394	3.4526e-19	4.9505e-06	0.000127	4	10	2.9394
G0280	10	1.0	1.0	0.999995	999	0	2.0911	2.8427e-17	4.9505e-06	0.000127	7	10	2.0911
G0845	10	1.0	1.0	0.999995	1000	0	2.2518	6.2943e-18	4.9505e-06	0.000127	5	10	2.2518
