"","Gene","pos.pvalue","pos.fdr","neg.pvalue","neg.fdr","p.value.twosides"
"1","G0001",0.0903313662329169,0.945167720913825,0.729912209853831,0.996407952286726,0.180662732465834
"2","G0002",0.610666963852997,0.968582725317211,0.500781446345545,0.996407952286726,1
"3","G0003",0.268764016456484,0.945167720913825,0.760781706272493,0.996407952286726,0.537528032912967
"4","G0004",0.822404517812763,0.985537721009132,0.469289707818765,0.996407952286726,0.938579415637529
"5","G0005",0.951172770710235,0.996758581836913,0.135389688555055,0.996407952286726,0.270779377110109
"6","G0006",0.127874944178905,0.945167720913825,0.607500074832377,0.996407952286726,0.25574988835781
"7","G0007",0.0191478035064306,0.945167720913825,0.883214991286985,0.996407952286726,0.0382956070128613
"8","G0008",0.167948741197992,0.945167720913825,0.943320193072604,0.996407952286726,0.335897482395983
"9","G0009",0.0787249115024422,0.945167720913825,0.986138904452357,0.997035038492919,0.157449823004884
"10","G0010",0.890229016973628,0.985537721009132,0.0232927041794553,0.963038265542577,0.0465854083589106
"11","G0011",0.926405457748585,0.985537721009132,0.0424929614930026,0.996407952286726,0.0849859229860053
"12","G0012",0.167853735591952,0.945167720913825,0.599992163083721,0.996407952286726,0.335707471183903
"13","G0013",0.635413855321316,0.968582725317211,0.31457298342756,0.996407952286726,0.62914596685512
"14","G0014",0.762438247193562,0.985537721009132,0.414339260993907,0.996407952286726,0.828678521987813
"15","G0015",0.160426005326036,0.945167720913825,0.675292945573353,0.996407952286726,0.320852010652071
"16","G0016",0.152933696761866,0.945167720913825,0.96884477799461,0.996407952286726,0.305867393523732
"17","G0017",0.46677249761744,0.945167720913825,0.149885133939103,0.996407952286726,0.299770267878207
"18","G0018",0.889782317870398,0.985537721009132,0.185469344552038,0.996407952286726,0.370938689104076
"19","G0019",0.699342777766503,0.976735723137574,0.487092216722326,0.996407952286726,0.974184433444652
"20","G0020",0.429269735817734,0.945167720913825,0.309630640059928,0.996407952286726,0.619261280119857
"21","G0021",0.444020766667378,0.945167720913825,0.79654922532547,0.996407952286726,0.888041533334755
"22","G0022",0.00942262537567529,0.777296731879722,0.957436363472676,0.996407952286726,0.0188452507513506
"23","G0023",0.98750856435675,1,0.0470841835530696,0.996407952286726,0.0941683671061393
"24","G0024",0.449614675751784,0.945167720913825,0.757778125146262,0.996407952286726,0.899229351503569
"25","G0025",0.569733885074614,0.959010249003572,0.629308644268582,0.996407952286726,1
"26","G0026",0.194629563323696,0.945167720913825,0.753126074016938,0.996407952286726,0.389259126647393
"27","G0027",0.412993866432071,0.945167720913825,0.449735587284657,0.996407952286726,0.825987732864142
"28","G0028",0.614055930941391,0.968582725317211,0.0933482170755701,0.996407952286726,0.18669643415114
"29","G0029",0.705342860359775,0.97984977018688,0.179385282649124,0.996407952286726,0.358770565298248
"30","G0030",0.850952321654753,0.985537721009132,0.273904114480281,0.996407952286726,0.547808228960562
"31","G0031",0.109721177840867,0.945167720913825,0.933677365101801,0.996407952286726,0.219442355681735
"32","G0032",0.766694333760787,0.985537721009132,0.187081416619247,0.996407952286726,0.374162833238493
"33","G0033",0.623659948766361,0.968582725317211,0.744214360425695,0.996407952286726,1
"34","G0034",0.722697285158449,0.985537721009132,0.517392829312699,0.996407952286726,1
"35","G0035",0.0609532518425154,0.945167720913825,0.91597812252288,0.996407952286726,0.121906503685031
"36","G0036",0.521644976377264,0.947309833921117,0.672540399499199,0.996407952286726,1
"37","G0037",0.644779127719744,0.968582725317211,0.270770434642795,0.996407952286726,0.541540869285589
"38","G0038",0.56178822106923,0.956482474724629,0.385783899629502,0.996407952286726,0.771567799259004
"39","G0039",0.238832900285547,0.945167720913825,0.445090889456653,0.996407952286726,0.477665800571093
