"gene","knockdown","theo_phenotype","obs_phenotype","behavior","class","initial_freq","counts_bin1","barcodeid","freqs_bin1","rel_freqs_bin1","freqs_bin2","counts_bin2","rel_freqs_bin2","log2fc_bin2"
1,1.0,0.0,0.017858277477422153,"linear","inactive",9.244992295839753e-5,4.5,1,4.736842105263158e-5,0.6,8.947368421052632e-5,8.5,1.1333333333333333,0.9175378398080271
1,1.0,0.0,-0.038382937096780236,"linear","inactive",0.00010785824345146379,2.5,2,2.6315789473684212e-5,0.33333333333333337,0.0001,9.5,1.2666666666666666,1.9259994185562228
1,1.0,0.0,-0.06669631294936258,"linear","inactive",0.00012326656394453004,12.5,3,0.00013157894736842105,1.6666666666666665,0.0001631578947368421,15.5,2.066666666666667,0.31034012061215077
1,1.0,0.0,-0.030787313181267508,"linear","inactive",4.108885464817668e-5,1.5,4,1.5789473684210526e-5,0.19999999999999998,4.736842105263158e-5,4.5,0.6,1.584962500721156
1,1.0,0.0,-0.007870962578476302,"linear","inactive",9.244992295839753e-5,6.5,5,6.842105263157895e-5,0.8666666666666667,0.00014210526315789474,13.5,1.8,1.0544477840223765
1,1.0,0.0,-0.1548116039710715,"linear","inactive",0.0001438109912686184,14.5,6,0.00015263157894736842,1.9333333333333333,0.00018421052631578948,17.5,2.3333333333333335,0.2713020218173943
1,1.0,0.0,-0.023873553583562152,"linear","inactive",4.6224961479198765e-5,0.5,7,5.263157894736842e-6,0.06666666666666667,4.736842105263158e-5,4.5,0.6,3.169925001442312
1,1.0,0.0,-0.03686006168064911,"linear","inactive",2.054442732408834e-5,2.5,8,2.6315789473684212e-5,0.33333333333333337,2.6315789473684212e-5,2.5,0.33333333333333337,0.0
1,1.0,0.0,-0.0694457171567097,"linear","inactive",0.0001335387776065742,14.5,9,0.00015263157894736842,1.9333333333333333,7.894736842105263e-5,7.5,1.0,-0.9510903995190535
1,1.0,0.0,0.12158182439771684,"linear","inactive",2.5680534155110427e-5,2.5,10,2.6315789473684212e-5,0.33333333333333337,3.6842105263157895e-5,3.5,0.4666666666666667,0.48542682717024166
2,1.0,0.0,0.16942420142979697,"sigmoidal","inactive",8.217770929635336e-5,10.5,11,0.00011052631578947369,1.4000000000000001,5.789473684210526e-5,5.5,0.7333333333333333,-0.9328858041414633
2,1.0,0.0,0.06881537528745311,"sigmoidal","inactive",2.054442732408834e-5,1.5,12,1.5789473684210526e-5,0.19999999999999998,1.5789473684210526e-5,1.5,0.19999999999999998,0.0
2,1.0,0.0,-0.13997857865337793,"sigmoidal","inactive",2.054442732408834e-5,1.5,13,1.5789473684210526e-5,0.19999999999999998,1.5789473684210526e-5,1.5,0.19999999999999998,0.0
2,1.0,0.0,-0.052581222505202356,"sigmoidal","inactive",3.59527478171546e-5,1.5,14,1.5789473684210526e-5,0.19999999999999998,1.5789473684210526e-5,1.5,0.19999999999999998,0.0
