"gene","knockdown","theo_phenotype","obs_phenotype","behavior","class","initial_freq","counts_bin1","barcodeid","freqs_bin1","rel_freqs_bin1","freqs_bin2","counts_bin2","rel_freqs_bin2","log2fc_bin2"
1,1.0,0.0,-0.4075518618650093,"sigmoidal","inactive",4.6224961479198765e-5,35.5,1,3.3649289099526066e-5,0.44375000000000003,3.507853403141361e-5,33.5,0.471830985915493,0.08852304633577056
1,1.0,0.0,0.007942588131559514,"sigmoidal","inactive",4.6224961479198765e-5,44.5,2,4.2180094786729856e-5,0.55625,4.450261780104712e-5,42.5,0.5985915492957746,0.10583848055398404
1,1.0,0.0,-0.5743414906215137,"sigmoidal","inactive",9.244992295839753e-5,102.5,3,9.71563981042654e-5,1.28125,8.115183246073298e-5,77.5,1.0915492957746478,-0.2311747188485283
1,1.0,0.0,-1.5440900398187625,"sigmoidal","inactive",5.649717514124294e-5,61.5,4,5.829383886255924e-5,0.76875,4.764397905759162e-5,45.5,0.6408450704225352,-0.2625388897578634
1,1.0,0.0,-2.296605423101569,"sigmoidal","inactive",3.081664098613251e-5,37.5,5,3.554502369668247e-5,0.46875000000000006,3.193717277486911e-5,30.5,0.4295774647887324,-0.1259003775503146
1,1.0,0.0,-0.5485912208697706,"sigmoidal","inactive",0.00012840267077555214,156.5,6,0.00014834123222748816,1.95625,0.00011884816753926702,113.5,1.5985915492957747,-0.29128938425902307
1,1.0,0.0,1.0329930050769298,"sigmoidal","inactive",3.59527478171546e-5,30.5,7,2.890995260663507e-5,0.38125000000000003,2.774869109947644e-5,26.5,0.3732394366197183,-0.030635907617006946
1,1.0,0.0,-0.6326063094586696,"sigmoidal","inactive",0.00016435541859270673,185.5,8,0.0001758293838862559,2.31875,0.0001649214659685864,157.5,2.2183098591549295,-0.0638863828508443
1,1.0,0.0,1.1612921431585477,"sigmoidal","inactive",0.00011299435028248587,104.5,9,9.90521327014218e-5,1.3062500000000001,9.267015706806283e-5,88.5,1.2464788732394367,-0.0675726066152051
1,1.0,0.0,-0.16604433432509735,"sigmoidal","inactive",2.5680534155110427e-5,17.5,10,1.6587677725118483e-5,0.21875,1.93717277486911e-5,18.5,0.2605633802816902,0.25235132406666394
2,1.0,0.0,1.584406217396032,"sigmoidal","inactive",6.163328197226502e-5,63.5,11,6.018957345971564e-5,0.7937500000000001,7.06806282722513e-5,67.5,0.9507042253521126,0.2603118856613451
