"gene","knockdown","theo_phenotype","obs_phenotype","behavior","class","initial_freq","counts_bin1","barcodeid","freqs_bin1","rel_freqs_bin1","freqs_bin2","counts_bin2","rel_freqs_bin2","log2fc_bin2"
1,1.0,0.0,-0.3571030729835029,"linear","inactive",5.649717514124294e-5,15.5,1,4.133333333333333e-5,0.5849056603773585,5.913978494623656e-5,27.5,0.8208955223880597,0.4889946672432113
1,1.0,0.0,-0.2067818299179317,"linear","inactive",0.0001335387776065742,43.5,2,0.000116,1.641509433962264,0.00012365591397849463,57.5,1.7164179104477615,0.06437781920107405
1,1.0,0.0,0.1979729635369473,"linear","inactive",4.6224961479198765e-5,26.5,3,7.066666666666667e-5,1.0,3.978494623655914e-5,18.5,0.5522388059701493,-0.8566358248288225
1,1.0,0.0,0.14435035725969683,"linear","inactive",5.649717514124294e-5,16.5,4,4.4e-5,0.6226415094339622,5.913978494623656e-5,27.5,0.8208955223880597,0.398796858271633
1,0.010307803657026458,0.0,-0.6352716391455524,"linear","inactive",7.19054956343092e-5,24.5,5,6.533333333333333e-5,0.9245283018867922,5.053763440860215e-5,23.5,0.7014925373134329,-0.39828972833214366
1,1.0,0.0,0.2302793658109933,"linear","inactive",4.108885464817668e-5,22.5,6,6.0e-5,0.8490566037735848,3.118279569892473e-5,14.5,0.4328358208955224,-0.9720408370966758
1,1.0,0.0,0.05190427827685061,"linear","inactive",0.00012326656394453004,36.5,7,9.733333333333333e-5,1.3773584905660377,0.0001,46.5,1.3880597014925373,0.011165516333441013
1,1.0,0.0,-0.010764981794671061,"linear","inactive",5.1361068310220854e-5,9.5,8,2.5333333333333334e-5,0.3584905660377358,4.408602150537634e-5,20.5,0.6119402985074627,0.7714557552799249
1,1.0,0.0,-0.3178491730600081,"linear","inactive",3.081664098613251e-5,7.5,9,2.0e-5,0.2830188679245283,2.258064516129032e-5,10.5,0.31343283582089554,0.1472580912756685
1,1.0,0.0,-0.6190472723808149,"linear","inactive",8.731381612737545e-5,38.5,10,0.00010266666666666666,1.4528301886792452,0.00010215053763440861,47.5,1.4179104477611941,-0.03509966825852657
2,1.0,0.0,-0.14020404415219176,"linear","inactive",5.649717514124294e-5,27.5,11,7.333333333333333e-5,1.0377358490566038,5.698924731182796e-5,26.5,0.791044776119403,-0.3916079948560336
2,1.0,0.0,0.17552604875456376,"linear","inactive",0.00020030816640986132,58.5,12,0.000156,2.2075471698113205,0.00019462365591397848,90.5,2.701492537313433,0.29131243160522774
2,1.0,0.0,0.19637379950951672,"linear","inactive",1.027221366204417e-5,2.5,13,6.666666666666667e-6,0.09433962264150943,9.67741935483871e-6,4.5,0.13432835820895525,0.5098281706603771
2,1.0,0.0,-0.061901978331626764,"linear","inactive",4.6224961479198765e-5,21.5,14,5.7333333333333336e-5,0.8113207547169811,3.118279569892473e-5,14.5,0.4328358208955224,-0.9064524954690988
2,1.0,0.0,-0.08137340660055806,"linear","inactive",8.731381612737545e-5,30.5,15,8.133333333333334e-5,1.150943396226415,6.774193548387096e-5,31.5,0.9402985074626865,-0.2916261499575432
