"","Gene","pos.pvalue","pos.fdr","neg.pvalue","neg.fdr","p.value.twosides"
"1","G0001",0.530630204946929,0.99999999999984,0.286526225616537,0.827522366547025,0.573052451233074
"2","G0002",0.766508929664962,0.99999999999984,0.138271904697836,0.776844100891482,0.276543809395672
"3","G0003",0.994143475529129,0.99999999999984,0.0490999356324101,0.564367076234599,0.0981998712648202
"4","G0004",0.119566575574495,0.99999999999984,0.95216511857873,1,0.23913315114899
"5","G0005",0.358643296634492,0.99999999999984,0.68092359463738,0.942510699736762,0.717286593268983
"6","G0006",0.178720634942863,0.99999999999984,0.885443449234863,0.993376664300362,0.357441269885727
"7","G0007",0.0618734668161401,0.827708457911106,0.416875429100501,0.865106959377495,0.12374693363228
"8","G0008",0.47199620109066,0.99999999999984,0.676825789132376,0.942510699736762,0.943992402181319
"9","G0009",0.80998880928512,0.99999999999984,0.349810878081964,0.830752190593453,0.699621756163929
"10","G0010",0.534614902887852,0.99999999999984,0.698157068137976,0.942510699736762,1
"11","G0011",0.653082492297127,0.99999999999984,0.411155355340037,0.865106959377495,0.822310710680073
"12","G0012",0.831075034196942,0.99999999999984,0.302820490561332,0.827522366547025,0.605640981122665
"13","G0013",0.433667710791637,0.99999999999984,0.589058164039557,0.921588294121922,0.867335421583274
"14","G0014",0.344661431949513,0.99999999999984,0.455366946255189,0.867964637174077,0.689322863899026
"15","G0015",0.640118967151513,0.99999999999984,0.364302191443542,0.839949429613044,0.728604382887083
"16","G0016",0.280459246763825,0.99999999999984,0.528488782721127,0.899442166076058,0.56091849352765
"17","G0017",0.917750578260381,0.99999999999984,0.279631022345093,0.827522366547025,0.559262044690187
"18","G0018",0.493997398606966,0.99999999999984,0.682000738701891,0.942510699736762,0.987994797213932
"19","G0019",0.478924954987353,0.99999999999984,0.304816473118309,0.827522366547025,0.609632946236618
"20","G0020",0.512861673849127,0.99999999999984,0.116062769028004,0.75365434433769,0.232125538056009
"21","G0021",0.223624387597072,0.99999999999984,0.269316807229453,0.827522366547025,0.447248775194144
"22","G0022",0.322367937530796,0.99999999999984,0.409271028924262,0.865106959377495,0.644735875061591
"23","G0023",0.239463730902818,0.99999999999984,0.837666236181975,0.974566535541428,0.478927461805636
"24","G0024",0.18954632870403,0.99999999999984,0.371061158382483,0.847171594480555,0.379092657408059
"25","G0025",0.30311389407212,0.99999999999984,0.713775980835365,0.948734305868514,0.606227788144241
"26","G0026",0.773281445040906,0.99999999999984,0.0218169071331619,0.363615118886031,0.0436338142663237
"27","G0027",0.0926383556390616,0.99999999999984,0.952809622078927,1,0.185276711278123
"28","G0028",0.399331905867121,0.99999999999984,0.614963383397497,0.930199410327857,0.798663811734243
"29","G0029",0.677944967174751,0.99999999999984,0.450227340166096,0.867964637174077,0.900454680332192
"30","G0030",0.90914423171841,0.99999999999984,0.217697009135908,0.815344603505273,0.435394018271816
"31","G0031",0.389139069396825,0.99999999999984,0.330172350735708,0.827522366547025,0.660344701471415
"32","G0032",0.912859207312917,0.99999999999984,0.308857603296304,0.827522366547025,0.617715206592609
"33","G0033",0.786349038190876,0.99999999999984,0.447971771493855,0.867964637174077,0.89594354298771
"34","G0034",0.531553424719124,0.99999999999984,0.561887775871334,0.921588294121922,1
"35","G0035",0,0,1,1,0
"36","G0036",0.527015498032586,0.99999999999984,0.508096005846234,0.892963103420446,1
"37","G0037",0.599541417668442,0.99999999999984,0.240931544178951,0.827522366547025,0.481863088357902
"38","G0038",0.502420694734431,0.99999999999984,0.283409704689782,0.827522366547025,0.566819409379564
"39","G0039",0.0667989882547348,0.856397285317113,0.271290804384343,0.827522366547025,0.13359797650947
