"","sgRNA","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","G0001_1",59.5615558709646,0.123887726589519,0.318302631684475,0.389213642167828,0.697118112561034,0.999975938893155
"2","G0001_2",70.1253696799148,0.353845192750591,0.286857513983218,1.23352248242412,0.217380894038464,0.999975938893155
"3","G0001_3",222.894481511069,0.122127715255448,0.211390530054085,0.577735034886382,0.563443021807201,0.999975938893155
"4","G0001_4",19.9618927824104,-0.00211031073954426,0.554566024067522,-0.00380533723300603,0.99696378750083,0.999975938893155
"5","G0001_5",139.7519402416,0.115594143784601,0.26028615993218,0.444104073050675,0.656967341835138,0.999975938893155
"6","G0001_6",155.990488619909,-0.00831320954904452,0.167943435006385,-0.0495000566632954,0.960520792045925,0.999975938893155
"7","G0001_7",191.00743657752,-0.0208156328776878,0.197614363186306,-0.105334615065724,0.916110296896448,0.999975938893155
"8","G0001_8",249.537422076605,0.123911125919209,0.164085933430857,0.755159953862979,0.450153013607978,0.999975938893155
"9","G0001_9",22.2637804360046,0.237055260300178,0.48760776554562,0.486159731346606,0.626853919635466,0.999975938893155
"10","G0001_10",168.295518196483,-0.199670183608943,0.214000454771157,-0.933036258368991,0.350801247883885,0.999975938893155
"11","G0002_11",182.64771638617,-0.0383608039661654,0.162732570240677,-0.235729110094131,0.813642879765929,0.999975938893155
"12","G0002_12",60.0003212609426,-0.421307857504229,0.303437598093191,-1.38844975095946,0.165000135834479,0.999975938893155
"13","G0002_13",129.939869025455,0.0939126988929566,0.182057904664289,0.515839721796918,0.605966357061323,0.999975938893155
"14","G0002_14",96.820807348498,-0.127592554429019,0.257514207074511,-0.495477728699064,0.620262939174553,0.999975938893155
"15","G0002_15",107.158183505543,-0.242864686764251,0.254539398998343,-0.95413396794353,0.340015833898795,0.999975938893155
"16","G0002_16",82.0786939005517,0.349967176782414,0.38573940800172,0.90726321843905,0.364267619879363,0.999975938893155
"17","G0002_17",96.5281763149813,0.158217771869932,0.232588746289349,0.680246892397379,0.496348145266809,0.999975938893155
"18","G0002_18",245.282422659119,0.10887919132458,0.203447933092209,0.535169808165278,0.592532441649236,0.999975938893155
"19","G0002_19",185.089365080758,-0.142568478428475,0.2010302129155,-0.709189312197571,0.478207005015599,0.999975938893155
"20","G0002_20",57.3610458764862,-0.00433866208354711,0.310959702882173,-0.013952489802806,0.988867884987883,0.999975938893155
"21","G0003_21",58.9362709458967,0.19132135205214,0.386881151703431,0.494522287296127,0.620937370294595,0.999975938893155
"22","G0003_22",229.931904245665,-0.0167814154973318,0.180742521819491,-0.0928470806338063,0.92602504758669,0.999975938893155
"23","G0003_23",64.4646083784563,0.173965960586497,0.371728639478916,0.467991814755948,0.639790443158935,0.999975938893155
"24","G0003_24",23.1810599882524,0.0527429087961786,0.661179057888382,0.0797709911814576,0.936419396461723,0.999975938893155
"25","G0003_25",45.7738607107602,0.198126453178793,0.402105490422091,0.492722576284196,0.622208623380436,0.999975938893155
"26","G0003_26",30.9007779843598,-0.256915218918105,0.647350233914024,-0.396872056977161,0.691461810918123,0.999975938893155
"27","G0003_27",87.0642045368731,-0.0281166096443263,0.228982264416854,-0.122789464572422,0.902273817178602,0.999975938893155
"28","G0003_28",87.4101203687423,0.15920879836896,0.240051268979374,0.663228313875897,0.50718434029911,0.999975938893155
"29","G0003_29",84.5877450788786,0.0323119800506582,0.245848032907709,0.131430704034911,0.895434601019785,0.999975938893155
"30","G0003_30",32.6090562223304,0.27757950410313,0.600530476400641,0.462223842105133,0.643920807302345,0.999975938893155
"31","G0004_31",87.5763599458671,-0.0773391449655862,0.287950406010914,-0.26858494848816,0.788249096191898,0.999975938893155
"32","G0004_32",34.7839490588672,0.0357539856314463,0.421402669194771,0.0848451807383331,0.932384473979239,0.999975938893155
"33","G0004_33",116.461450418508,-0.124570366596873,0.29477085875222,-0.422600684220229,0.672586627320526,0.999975938893155
"34","G0004_34",105.255875589361,-0.0638005860627491,0.22901964475114,-0.278581281234965,0.780566179632306,0.999975938893155
"35","G0004_35",82.729113659425,-0.063846592272631,0.317526550419032,-0.201074814652111,0.840640074791549,0.999975938893155
"36","G0004_36",74.9747069942569,0.0115447618635899,0.328147074271682,0.0351816693451049,0.971934878925602,0.999975938893155
"37","G0004_37",29.5006591349088,-0.166433690924276,0.471483574108152,-0.352999977229532,0.724088457606045,0.999975938893155
"38","G0004_38",90.4268212164295,0.100691620499858,0.298730359790292,0.337065240274015,0.736067719950885,0.999975938893155
"39","G0004_39",47.6018215913324,-0.067079593711839,0.354264482781963,-0.189348910128041,0.849819363852665,0.999975938893155
"40","G0004_40",97.7536313440467,-0.10380223672457,0.246779536273806,-0.420627408138897,0.674027176562571,0.999975938893155
"41","G0005_41",141.317134960526,-0.056448146193625,0.219284737959911,-0.257419402365999,0.796855026512982,0.999975938893155
"42","G0005_42",155.039579731495,-0.0796739816171995,0.303012695207819,-0.262939417645705,0.792597274053669,0.999975938893155
"43","G0005_43",77.6742204559424,0.00166034111350727,0.27452695686361,0.0060480075708272,0.995174417554313,0.999975938893155
"44","G0005_44",68.295101313007,-0.185436288710761,0.405228949352464,-0.457608690117225,0.64723359905116,0.999975938893155
"45","G0005_45",225.668951123836,-0.172940357171269,0.183918349625373,-0.940310510199416,0.347058310016394,0.999975938893155
"46","G0005_46",146.943847233288,-0.0491332939156598,0.198982199582189,-0.246923061554385,0.804967768300539,0.999975938893155
"47","G0005_47",61.8859095526066,0.146151771428135,0.269895645874993,0.541512149832266,0.588154625514951,0.999975938893155
"48","G0005_48",22.271649083787,-0.193368347536105,0.499332370024182,-0.387253779535143,0.69856833969711,0.999975938893155
"49","G0005_49",94.8917378007347,0.156670386681309,0.231527630907207,0.676681163571789,0.498608270252006,0.999975938893155
"50","G0005_50",54.0570115433841,-0.018291387274357,0.42052021829861,-0.0434970459883295,0.965305319259099,0.999975938893155
"51","G0006_51",47.711279665155,0.0215934404708107,0.450068952527839,0.0479780716921927,0.961733718731833,0.999975938893155
"52","G0006_52",82.1817919314715,0.269668306090061,0.22767364395908,1.1844511354091,0.236234528455769,0.999975938893155
"53","G0006_53",124.702520044164,0.164974157588894,0.22228355691154,0.742178863255042,0.457978973116831,0.999975938893155
"54","G0006_54",68.9427020419085,0.036367530512985,0.263692620217768,0.137916375827853,0.890306508048792,0.999975938893155
"55","G0006_55",97.6613881588506,-0.0105831233229981,0.259495380139432,-0.0407834749016018,0.967468513515932,0.999975938893155
"56","G0006_56",210.827168395154,-0.0488912101350984,0.198362589797346,-0.246473945440253,0.805315370952963,0.999975938893155
"57","G0006_57",47.4522312682324,0.169871795466097,0.397788909915734,0.427040048708452,0.669350157949259,0.999975938893155
"58","G0006_58",86.7404931248614,0.00305174145837266,0.221036076248594,0.0138065310883479,0.988984331975799,0.999975938893155
"59","G0006_59",38.5181884159529,0.0241016954671285,0.377206353671719,0.063895253175147,0.949053631974907,0.999975938893155
"60","G0006_60",49.4747230241041,0.0526785892684411,0.380309930050882,0.138514893001593,0.889833500157834,0.999975938893155
"61","G0007_61",121.277516639526,0.0330065763908822,0.198187646479302,0.1665420472831,0.867730396226081,0.999975938893155
"62","G0007_62",69.3874158218398,0.0553366578795639,0.313666181421915,0.176418948414238,0.859964819444798,0.999975938893155
"63","G0007_63",126.767974481704,0.0623786397613042,0.22432139675939,0.278077083427811,0.780953187002122,0.999975938893155
"64","G0007_64",25.777234952245,0.111490742960279,0.521350879133193,0.213849726590363,0.830664245602669,0.999975938893155
"65","G0007_65",80.4752399041295,0.0113280343434743,0.256590283403538,0.0441483371592009,0.964786162839191,0.999975938893155
"66","G0007_66",162.274125638223,0.260184235249149,0.25737959276929,1.01089691086105,0.312065772712399,0.999975938893155
"67","G0007_67",152.217593616252,-0.0336727971162555,0.240930014066253,-0.13976173639784,0.88884824642783,0.999975938893155
"68","G0007_68",132.72628873287,-0.0504207245022349,0.235318988954392,-0.214265430623651,0.830340074372095,0.999975938893155
"69","G0007_69",131.478077131123,0.0140334716683763,0.239909730937903,0.0584947997461957,0.953354504605425,0.999975938893155
"70","G0007_70",76.322382962463,0.134052155128467,0.293186405421706,0.457225003102215,0.647509328661237,0.999975938893155
"71","G0008_71",127.749666100606,-0.0854082438339343,0.18494089357943,-0.461813729678192,0.644214904199955,0.999975938893155
"72","G0008_72",54.0665621742823,0.24170331455106,0.291411404615302,0.829422976324956,0.406865104592079,0.999975938893155
"73","G0008_73",47.741950680861,0.0292722864465877,0.600829422947366,0.0487197952174056,0.961142600305082,0.999975938893155
"74","G0008_74",80.1089185665927,0.289020094934106,0.36766486543758,0.786096584426487,0.431810905178312,0.999975938893155
"75","G0008_75",12.8603364370358,0.594474175870294,0.696928366514013,0.852991791457439,0.39366385627799,0.999975938893155
"76","G0008_76",248.071425922934,0.080332853156243,0.175532920949154,0.457651207089026,0.647203047990768,0.999975938893155
"77","G0008_77",200.721397671492,0.0430715548340639,0.198695376062494,0.216771802583453,0.8283861877394,0.999975938893155
"78","G0008_78",104.621171246382,-0.0832416120589726,0.213981973584776,-0.389012264278392,0.697267073987651,0.999975938893155
"79","G0008_79",34.6397646175653,0.213884719035814,0.343697730049582,0.622304718174773,0.533741519340852,0.999975938893155
"80","G0008_80",59.4183008200398,-0.0291736807920087,0.383390698427088,-0.0760938669396459,0.939344419468734,0.999975938893155
"81","G0009_81",13.8155968305627,0.0665945122231615,0.666859723496229,0.0998628495270611,0.920453210651523,0.999975938893155
"82","G0009_82",41.1593885859813,0.230052437402144,0.397333039772202,0.578991461505535,0.562594934544661,0.999975938893155
"83","G0009_83",137.851443217836,0.0622091229131822,0.235198003160033,0.264496815778041,0.791397118116825,0.999975938893155
"84","G0009_84",70.2446704428226,-0.0868809985554528,0.291244333889426,-0.298309661153573,0.76546683125876,0.999975938893155
"85","G0009_85",140.699207560761,0.217776276733581,0.182234723985413,1.19503172595698,0.232074634877979,0.999975938893155
"86","G0009_86",45.9093683583659,0.244226204596023,0.418361962668942,0.583767709277348,0.55937660593259,0.999975938893155
