"","gene","pvalue","log2FoldChange","stat","padj"
"1","G0001",0.954826809231128,0.0845511827824326,0.279421865040757,0.9999989840044
"2","G0002",0.825600639118599,-0.0266056204305804,-0.115841271889794,0.9999989840044
"3","G0003",0.998067997177061,0.0783443713076594,0.217938192735028,0.9999989840044
"4","G0004",0.999834474049065,-0.051888184326363,-0.167672593373448,0.9999989840044
"5","G0005",0.994247869712573,-0.0450809303196025,-0.137171058643132,0.9999989840044
"6","G0006",0.99819743011704,0.0682832922864693,0.246852375181588,0.9999989840044
"7","G0007",0.999481396133981,0.0597716991763005,0.205162568956268,0.9999989840044
"8","G0008",0.974082615215856,0.129393546214325,0.288703901437731,0.9999989840044
"9","G0009",0.986675366079269,0.0377073481180289,0.149236187691284,0.9999989840044
"10","G0010",0.986770685832515,-0.063779703789099,-0.10499519847673,0.9999989840044
"11","G0011",0.957145947966178,-0.104023640516114,-0.37377294653247,0.9999989840044
"12","G0012",0.999614144975896,0.0276869634440541,0.134243433996266,0.9999989840044
"13","G0013",0.992232901787338,-0.0493713879415979,-0.137987772525347,0.9999989840044
"14","G0014",0.999428394522353,-0.02478188290584,-0.0459813744970931,0.9999989840044
"15","G0015",0.970129602246476,-0.033318513113523,-0.0524840344540615,0.9999989840044
"16","G0016",0.999345574276871,0.0646705772705198,0.205750671705658,0.9999989840044
"17","G0017",0.985897472085345,-0.0229422543353273,-0.165084597972986,0.9999989840044
"18","G0018",0.996040785289651,-0.0316159258759867,-0.14793726051818,0.9999989840044
"19","G0019",0.983699255059166,-0.0145460517222751,-0.0746442362018308,0.9999989840044
"20","G0020",0.999742893157898,0.00556527404586835,-0.0602980507164459,0.9999989840044
"21","G0021",0.999589923767698,-0.0239442735509436,-0.0527832458298011,0.9999989840044
"22","G0022",0.710707718560936,0.120526874049911,0.486110839098031,0.9999989840044
"23","G0023",0.986891377450091,-0.0538630291772117,-0.267139224553183,0.9999989840044
"24","G0024",0.997519719542934,0.0313707569378847,0.0610849588080705,0.9999989840044
"25","G0025",0.980963100536817,0.0582539593143967,0.216768547714402,0.9999989840044
"26","G0026",0.98926734236755,-0.0195470499534473,-0.0479641680120581,0.9999989840044
"27","G0027",0.996625655676633,0.00830787024622752,-0.0556046358769271,0.9999989840044
"28","G0028",0.922747833435031,0.0471071736773739,0.0662879524967579,0.9999989840044
"29","G0029",0.986040762244931,-0.0124335498706611,-0.0831179914324785,0.9999989840044
"30","G0030",0.996105475667835,-0.032117106324026,-0.138662274632663,0.9999989840044
"31","G0031",0.976207670804235,0.0596533407964319,0.177125437510916,0.9999989840044
"32","G0032",0.989864761681103,-0.0214993335550553,-0.0949061884819072,0.9999989840044
"33","G0033",0.938351453974101,-0.0184367468604172,-0.0356200534577413,0.9999989840044
"34","G0034",0.997125986714877,-0.0628526251858335,-0.158834943300473,0.9999989840044
"35","G0035",0.946913692440624,0.0711465063336285,0.209060761987722,0.9999989840044
"36","G0036",0.991209119034996,0.0274736942754211,0.0857471861000748,0.9999989840044
"37","G0037",0.988597200242875,-0.0823361834286151,-0.228352396737581,0.9999989840044
"38","G0038",0.997894081422595,0.0542280327703832,0.164566483268864,0.9999989840044
"39","G0039",0.991220671947688,0.00462734609051787,0.00715055390290639,0.9999989840044
"40","G0040",0.987470985779483,-0.0189880655171634,0.0871035017131793,0.9999989840044
"41","G0041",0.965256128692824,-0.0340965174154258,-0.189544850640408,0.9999989840044
"42","G0042",0.991253443334441,-0.0285854732898196,-0.0530432580733221,0.9999989840044
"43","G0043",0.987988282811371,-0.0176030375970706,-0.00482709455834242,0.9999989840044
"44","G0044",0.999886093130739,0.0120980107542524,0.0537637597730102,0.9999989840044
"45","G0045",0.996982755125819,-0.1021180716674,-0.360971953068621,0.9999989840044
"46","G0046",0.99935606006567,0.0615388733255999,0.138620305042047,0.9999989840044
"47","G0047",0.930086106210645,0.0168541345305065,0.0134972894763371,0.9999989840044
"48","G0048",0.952034079331375,0.012721785794747,0.0955698344842901,0.9999989840044
"49","G0049",0.991375491565893,0.0389914869365846,0.0534493914751238,0.9999989840044
"50","G0050",0.984388051391633,0.106415716730457,0.144520557289913,0.9999989840044
"51","G0051",0.999368321356076,-0.00936316698075075,-0.0425649795745454,0.9999989840044
"52","G0052",0.975667260058495,0.00406927643076944,0.0413315120061707,0.9999989840044
"53","G0053",0.987188362311592,0.0708084247180641,0.157267052490185,0.9999989840044
"54","G0054",0.994972589812626,-0.0267349279738453,-0.0228488030346796,0.9999989840044
"55","G0055",0.970579417526636,0.0353767567747501,0.0886184524717637,0.9999989840044
"56","G0056",0.996161513162836,0.0455768555875867,0.101122189987992,0.9999989840044
