gene,sgRNA,class,L1,L2,L3,L4,H1,H2,H3,H4
G0001,G0001_1,inactive,64.38015463917526,45.192567567567565,48.548969072164944,71.96658415841584,60.81683168316832,66.3,40.74107142857143,86.40825688073394
G0001,G0001_2,inactive,67.54639175257732,53.49324324324324,65.43556701030927,61.83044554455445,96.29331683168316,48.75,81.48214285714286,95.80045871559633
G0001,G0001_3,inactive,283.90592783505156,217.66216216216216,144.59149484536084,214.8861386138614,267.5940594059406,281.775,181.76785714285714,220.71674311926608
G0001,G0001_4,inactive,18.99742268041237,16.60135135135135,33.77319587628866,11.149752475247524,9.122524752475247,25.35,30.294642857142858,16.905963302752294
G0001,G0001_5,inactive,159.3672680412371,167.8581081081081,124.53865979381442,89.1980198019802,171.3007425742574,196.95000000000002,122.22321428571429,105.19266055045873
G0001,G0001_6,inactive,180.47551546391753,139.2668918918919,153.034793814433,158.12376237623764,169.27351485148515,159.9,156.69642857142856,151.2144495412844
G0001,G0001_7,inactive,158.31185567010309,253.63175675675674,192.08505154639175,171.3007425742574,176.36881188118812,236.925,202.66071428571428,161.54587155963304
G0001,G0001_8,inactive,238.52319587628867,226.88513513513513,204.75,292.93440594059405,264.5532178217822,233.02499999999998,246.53571428571428,322.1525229357798
G0001,G0001_9,inactive,16.88659793814433,24.902027027027028,27.440721649484534,13.176980198019802,12.163366336633663,28.275000000000002,28.20535714285714,30.055045871559635
G0001,G0001_10,inactive,180.47551546391753,154.02364864864865,150.92396907216497,240.22648514851483,150.0148514851485,142.35,138.9375,210.38532110091745
G0002,G0002_11,inactive,180.47551546391753,185.38175675675674,201.58376288659795,178.3960396039604,176.36881188118812,179.4,220.41964285714283,162.48509174311926
G0002,G0002_12,inactive,90.76546391752576,83.92905405405405,50.659793814432994,51.69430693069307,60.81683168316832,51.675,48.05357142857143,49.778669724770644
G0002,G0002_13,inactive,132.9819587628866,127.27702702702702,135.09278350515464,111.49752475247526,123.6608910891089,145.275,148.33928571428572,132.43004587155963
G0002,G0002_14,inactive,80.21134020618557,109.75337837837837,97.09793814432989,120.62004950495049,63.85767326732673,100.425,90.88392857142857,123.9770642201835
G0002,G0002_15,inactive,99.20876288659794,156.79054054054052,113.98453608247424,98.32054455445544,82.10272277227723,139.425,88.79464285714285,92.04357798165138
G0002,G0002_16,inactive,79.15592783505154,122.66554054054053,51.715206185567006,37.50371287128713,102.375,145.275,73.125,56.353211009174316
G0002,G0002_17,inactive,86.54381443298969,94.07432432432432,69.65721649484536,117.57920792079207,101.36138613861387,97.5,98.19642857142857,120.22018348623854
G0002,G0002_18,inactive,261.7422680412371,186.30405405405406,202.63917525773198,301.04331683168317,310.16584158415844,188.17499999999998,239.22321428571428,305.2465596330275
G0002,G0002_19,inactive,220.5811855670103,242.56418918918916,145.64690721649484,174.34158415841583,193.60024752475246,213.525,162.96428571428572,151.2144495412844
G0002,G0002_20,inactive,55.936855670103085,59.027027027027025,74.93427835051546,41.55816831683168,56.76237623762377,59.475,76.25892857142858,42.26490825688074
G0003,G0003_21,inactive,91.8208762886598,47.95945945945946,53.826030927835056,28.381188118811885,96.29331683168316,60.45,57.45535714285714,43.20412844036697
G0003,G0003_22,inactive,195.25128865979383,277.61148648648646,254.35438144329896,204.75,201.70915841584159,265.2,275.7857142857143,194.41857798165137
G0003,G0003_23,inactive,64.38015463917526,99.60810810810811,30.6069587628866,49.66707920792079,71.96658415841584,99.45,55.36607142857143,53.53555045871559
G0003,G0003_24,inactive,13.720360824742267,6.456081081081081,39.05025773195876,32.43564356435644,18.245049504950494,5.85,39.69642857142857,32.872706422018354
G0003,G0003_25,inactive,50.659793814432994,23.05743243243243,49.60438144329897,48.65346534653465,55.74876237623763,23.4,55.36607142857143,65.74541284403671
G0003,G0003_26,inactive,37.99484536082474,38.73648648648649,51.715206185567006,7.095297029702971,25.340346534653467,33.15,52.23214285714286,4.696100917431193
G0003,G0003_27,inactive,73.87886597938144,99.60810810810811,84.43298969072164,96.29331683168316,95.27970297029704,98.47500000000001,84.61607142857143,75.13761467889908
G0003,G0003_28,inactive,72.82345360824742,75.62837837837837,73.87886597938144,110.48391089108911,97.3069306930693,87.75,106.55357142857143,86.40825688073394
G0003,G0003_29,inactive,90.76546391752576,75.62837837837837,64.38015463917526,106.42945544554456,101.36138613861387,86.775,82.52678571428571,79.83371559633028
G0003,G0003_30,inactive,17.94201030927835,15.679054054054053,27.440721649484534,57.775990099009896,13.176980198019802,14.625,49.098214285714285,69.50229357798166
G0004,G0004_31,inactive,106.59664948453609,61.793918918918926,115.03994845360825,79.06188118811882,67.9121287128713,78.97500000000001,123.26785714285714,78.89449541284404
G0004,G0004_32,inactive,40.105670103092784,29.513513513513512,48.548969072164944,20.272277227722775,44.5990099009901,36.075,43.875,19.72362385321101
G0004,G0004_33,inactive,131.9265463917526,175.23648648648648,86.54381443298969,96.29331683168316,111.49752475247526,172.575,82.52678571428571,90.1651376146789
G0004,G0004_34,inactive,127.7048969072165,115.28716216216216,79.15592783505154,111.49752475247526,126.70173267326733,98.47500000000001,107.59821428571428,89.22591743119266
G0004,G0004_35,inactive,81.26675257731958,124.51013513513513,82.3221649484536,52.70792079207921,94.26608910891089,105.29999999999998,81.48214285714286,50.717889908256886
