gene,sgRNA,class,L1,L2,L3,L4,H1,H2,H3,H4
G0001,G0001_1,inactive,0.0,0.7083333333333335,4.722222222222222,0.0,1.2142857142857146,0.653846153846154,5.100000000000001,0.0
G0001,G0001_2,inactive,16.055555555555557,11.333333333333336,30.22222222222223,25.5,18.214285714285715,13.730769230769234,29.750000000000004,14.875
G0001,G0001_3,inactive,7.555555555555557,11.333333333333336,4.722222222222222,6.375,2.4285714285714293,10.461538461538463,0.8500000000000001,6.375
G0001,G0001_4,inactive,5.666666666666668,6.375000000000001,11.333333333333336,4.25,6.071428571428572,5.884615384615386,5.950000000000001,8.5
G0001,G0001_5,inactive,4.722222222222222,5.666666666666668,6.6111111111111125,12.75,3.6428571428571432,5.884615384615386,5.100000000000001,6.375
G0001,G0001_6,inactive,9.444444444444445,6.375000000000001,8.500000000000002,17.0,4.8571428571428585,9.153846153846155,5.950000000000001,6.375
G0001,G0001_7,inactive,4.722222222222222,9.208333333333336,7.555555555555557,6.375,4.8571428571428585,4.5769230769230775,4.250000000000001,2.125
G0001,G0001_8,inactive,20.77777777777778,22.66666666666667,20.77777777777778,17.0,19.428571428571434,12.423076923076925,10.200000000000003,14.875
G0001,G0001_9,inactive,17.000000000000004,12.04166666666667,8.500000000000002,10.625,7.2857142857142865,7.192307692307693,3.4000000000000004,4.25
G0001,G0001_10,inactive,12.27777777777778,19.83333333333334,17.944444444444446,8.5,10.92857142857143,18.961538461538463,7.650000000000001,12.75
G0002,G0002_11,inactive,0.9444444444444446,5.666666666666668,6.6111111111111125,2.125,1.2142857142857146,3.26923076923077,5.100000000000001,4.25
G0002,G0002_12,inactive,2.833333333333334,2.833333333333334,1.8888888888888893,6.375,1.2142857142857146,1.307692307692308,1.7000000000000002,0.0
G0002,G0002_13,inactive,0.9444444444444446,5.666666666666668,0.0,2.125,0.0,3.923076923076924,2.5500000000000007,0.0
G0002,G0002_14,inactive,1.8888888888888893,0.7083333333333335,2.833333333333334,2.125,1.2142857142857146,0.0,0.8500000000000001,2.125
G0002,G0002_15,inactive,11.333333333333336,8.500000000000002,12.27777777777778,4.25,6.071428571428572,8.500000000000002,15.300000000000002,12.75
