gene,sgRNA,p_value,t_value,grho,rho,df
G0001,G0001_1,0.7789795337884349,-0.2807275721088046,0.481727659702301,0.2145444005727768,964.9931974153941
G0001,G0001_2,0.7200179617532396,-0.35854232965214883,0.481727659702301,0.36138561367988586,940.4865766714953
G0001,G0001_3,0.6163726892810883,-0.5011864521258971,0.481727659702301,0.4058489501476288,830.6910600472579
G0001,G0001_4,0.7368573687381201,-0.33611892256059567,0.481727659702301,0.388118177652359,925.6056590245038
G0001,G0001_5,0.5829252697103575,-0.5493390144026331,0.481727659702301,0.4736054241657257,804.4635068629096
G0001,G0001_6,0.5174243374334075,-0.6476307651342588,0.481727659702301,0.4791218936443329,741.1896505942562
G0001,G0001_7,0.35101618522372613,-0.9331034434288977,0.481727659702301,0.6704651117324829,902.2836279579413
G0001,G0001_8,0.299451918432982,-1.0381687240016335,0.481727659702301,0.6873862147331238,963.6987937240069
G0001,G0001_9,0.1409686213481378,-1.4736197988852728,0.481727659702301,0.7676118612289429,818.1451925635706
G0001,G0001_10,0.6785534868813476,-0.41456467013097426,0.481727659702301,0.3691886067390442,957.3805874853588
G0002,G0002_11,0.8563119768164753,-0.18117011762926696,0.3997177183628082,0.2912624478340149,471.0369070617953
G0002,G0002_12,0.4261708663182944,-0.7965635023679388,0.3997177183628082,0.5952764749526978,405.34962880343176
G0002,G0002_13,0.8503159420312398,-0.18881047944796622,0.3997177183628082,0.23023395240306854,513.5989914732476
G0002,G0002_14,0.7397337522339149,-0.3323895726281235,0.3997177183628082,0.3719927668571472,502.3870784817334
G0002,G0002_15,0.9707300791738442,-0.036709919430569934,0.3997177183628082,0.3890605568885803,531.6326202436543
G0002,G0002_16,0.6722665004036346,-0.42330296448678895,0.3997177183628082,0.4443541169166565,473.32765937486073
G0002,G0002_17,0.6960247883733182,-0.3909298010967963,0.3997177183628082,0.4863174855709076,473.96503194929244
G0002,G0002_18,0.9882795617111584,-0.014696698142803638,0.3997177183628082,0.3602665960788727,541.9992971642537
G0002,G0002_19,0.6834238594826898,-0.40805372740384316,0.3997177183628082,0.4579937160015106,460.56240698942514
G0002,G0002_20,0.8057121862273688,-0.24609696193136943,0.3997177183628082,0.370418906211853,480.8580698239328
G0003,G0003_21,0.1482141455526913,-1.4473282301675325,0.5283505916595459,0.747048020362854,765.9760095479049
G0003,G0003_22,0.26519037117614874,-1.1150090324768276,0.5283505916595459,0.6399044990539551,779.0922680051167
G0003,G0003_23,0.654926678922354,-0.4471121153029462,0.5283505916595459,0.35786616802215576,730.3174401712072
G0003,G0003_24,0.5994894240255346,-0.5253487655915074,0.5283505916595459,0.3998859226703644,783.3568519490519
G0003,G0003_25,0.36173580407468164,-0.9125860634856866,0.5283505916595459,0.5151809453964233,798.2756056179438
G0003,G0003_26,0.2640182239097184,-1.1176945925702224,0.5283505916595459,0.6794154047966003,836.8301273143242
G0003,G0003_27,0.26117527003422136,-1.1244400990540737,0.5283505916595459,0.5823001265525818,773.3171978082918
G0003,G0003_28,0.39542707867673865,-0.8502466202769337,0.5283505916595459,0.45992133021354675,851.2028405733912
G0003,G0003_29,0.6003701035421978,-0.5241442002133895,0.5283505916595459,0.2801804840564728,605.3459124708141
G0003,G0003_30,0.25080222154902265,-1.149341862387963,0.5283505916595459,0.6218031644821167,709.705028277217
G0004,G0004_31,0.9348425749161948,-0.08179084309324937,0.34964197874069214,0.31676042079925537,554.0659189559333
