"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",45,52,35,71,43,49,23,101
"2","G0001","G0001_02","inactive",41,46,53,28,55,56,41,55
"3","G0001","G0001_03","inactive",45,43,67,50,42,37,49,48
"4","G0001","G0001_04","inactive",64,32,56,57,77,22,42,66
"5","G0001","G0001_05","inactive",44,41,71,50,57,65,67,54
"6","G0001","G0001_06","inactive",115,124,155,130,146,134,100,149
"7","G0001","G0001_07","inactive",14,10,13,20,13,14,12,22
"8","G0001","G0001_08","inactive",46,95,83,46,48,67,63,52
"9","G0001","G0001_09","inactive",84,73,135,73,90,75,97,114
"10","G0001","G0001_10","inactive",55,36,64,27,68,47,30,37
"11","G0002","G0002_01","negcontrol",33,50,53,89,44,26,41,99
"12","G0002","G0002_02","negcontrol",12,13,22,28,25,12,16,26
"13","G0002","G0002_03","negcontrol",29,22,23,6,37,18,20,7
"14","G0002","G0002_04","negcontrol",99,94,89,103,132,58,72,118
"15","G0002","G0002_05","negcontrol",56,45,51,53,58,48,35,72
"16","G0002","G0002_06","negcontrol",36,74,35,48,46,56,16,52
"17","G0002","G0002_07","negcontrol",11,16,21,14,6,7,18,9
"18","G0002","G0002_08","negcontrol",120,82,107,82,121,85,69,81
"19","G0002","G0002_09","negcontrol",22,46,40,11,30,37,24,25
"20","G0002","G0002_10","negcontrol",100,112,122,86,114,89,94,107
"21","G0003","G0003_01","negcontrol",51,63,37,75,54,46,38,93
"22","G0003","G0003_02","negcontrol",78,77,102,90,70,69,68,116
"23","G0003","G0003_03","negcontrol",60,52,49,32,66,43,39,56
"24","G0003","G0003_04","negcontrol",92,79,52,37,76,78,58,71
"25","G0003","G0003_05","negcontrol",48,27,34,16,66,24,25,16
"26","G0003","G0003_06","negcontrol",14,50,40,20,20,26,28,24
"27","G0003","G0003_07","negcontrol",8,8,3,14,5,10,0,17
"28","G0003","G0003_08","negcontrol",34,80,38,56,36,80,37,108
"29","G0003","G0003_09","negcontrol",32,43,31,25,17,28,27,32
"30","G0003","G0003_10","negcontrol",18,31,37,37,24,28,34,43
"31","G0004","G0004_01","increasing",50,64,43,59,111,59,40,81
"32","G0004","G0004_02","increasing",13,31,29,26,39,49,24,26
"33","G0004","G0004_03","increasing",134,94,123,60,132,55,92,92
"34","G0004","G0004_04","increasing",27,34,47,29,49,44,49,44
"35","G0004","G0004_05","increasing",46,51,49,60,76,61,35,74
"36","G0004","G0004_06","increasing",44,46,74,64,83,51,68,100
"37","G0004","G0004_07","increasing",115,108,125,122,139,128,89,212
"38","G0004","G0004_08","increasing",35,84,42,67,72,91,53,85
"39","G0004","G0004_09","increasing",126,145,144,105,180,165,157,214
"40","G0004","G0004_10","increasing",0,2,6,2,0,5,6,11
"41","G0005","G0005_01","inactive",72,61,82,54,85,54,80,106
"42","G0005","G0005_02","inactive",44,33,33,63,58,24,9,73
"43","G0005","G0005_03","inactive",41,38,65,52,49,31,38,74
"44","G0005","G0005_04","inactive",66,91,66,40,56,59,52,57
"45","G0005","G0005_05","inactive",77,83,113,83,85,57,84,120
"46","G0005","G0005_06","inactive",23,54,27,47,26,37,15,44
"47","G0005","G0005_07","inactive",90,83,91,61,82,56,65,62
"48","G0005","G0005_08","inactive",14,3,10,0,28,5,4,3
"49","G0005","G0005_09","inactive",80,103,80,50,86,96,67,64
"50","G0005","G0005_10","inactive",8,37,34,25,13,33,34,36
"51","G0006","G0006_01","inactive",64,55,63,20,56,32,31,29
"52","G0006","G0006_02","inactive",14,19,17,13,23,16,16,38
"53","G0006","G0006_03","inactive",26,57,36,26,26,38,21,36
"54","G0006","G0006_04","inactive",127,137,168,195,114,119,132,176
"55","G0006","G0006_05","inactive",19,31,34,15,37,23,28,32
"56","G0006","G0006_06","inactive",79,65,66,65,83,47,43,58
"57","G0006","G0006_07","inactive",130,153,193,156,141,124,126,192
"58","G0006","G0006_08","inactive",13,29,16,11,16,19,31,19
"59","G0006","G0006_09","inactive",42,29,57,39,58,34,52,38
"60","G0006","G0006_10","inactive",121,158,176,124,150,137,124,143
"61","G0007","G0007_01","inactive",17,14,19,12,22,16,11,10
"62","G0007","G0007_02","inactive",24,29,32,43,28,32,22,60
"63","G0007","G0007_03","inactive",26,20,7,17,11,31,18,24
"64","G0007","G0007_04","inactive",30,26,49,32,40,24,52,35
"65","G0007","G0007_05","inactive",23,14,21,11,20,12,12,31
"66","G0007","G0007_06","inactive",17,6,7,19,18,5,11,18
"67","G0007","G0007_07","inactive",107,98,115,85,152,91,77,110
"68","G0007","G0007_08","inactive",69,40,96,57,87,16,74,82
"69","G0007","G0007_09","inactive",57,59,25,65,49,38,29,72
"70","G0007","G0007_10","inactive",34,40,52,26,19,33,48,52
"71","G0008","G0008_01","inactive",179,213,170,189,191,143,139,185
"72","G0008","G0008_02","inactive",55,42,56,37,44,34,34,64
"73","G0008","G0008_03","inactive",24,13,19,16,23,9,8,28
"74","G0008","G0008_04","inactive",45,98,60,71,52,80,58,121
"75","G0008","G0008_05","inactive",82,128,126,113,98,106,91,164
"76","G0008","G0008_06","inactive",39,29,43,31,39,39,25,34
"77","G0008","G0008_07","inactive",108,139,129,78,92,86,81,128
"78","G0008","G0008_08","inactive",52,62,55,60,67,40,33,81
"79","G0008","G0008_09","inactive",64,63,74,82,98,37,71,115
"80","G0008","G0008_10","inactive",40,27,28,29,39,25,54,35
"81","G0009","G0009_01","inactive",70,54,27,69,50,35,20,78
"82","G0009","G0009_02","inactive",27,40,71,39,26,35,29,102
"83","G0009","G0009_03","inactive",188,132,117,52,162,96,88,118
"84","G0009","G0009_04","inactive",80,77,77,82,84,72,67,110
"85","G0009","G0009_05","inactive",43,45,62,47,46,50,30,46
"86","G0009","G0009_06","inactive",56,61,46,37,51,48,59,35
"87","G0009","G0009_07","inactive",33,117,80,83,55,87,72,124
"88","G0009","G0009_08","inactive",18,18,21,8,26,17,14,15
"89","G0009","G0009_09","inactive",26,22,31,37,37,18,17,39
"90","G0009","G0009_10","inactive",38,62,33,25,30,44,32,43
"91","G0010","G0010_01","inactive",27,21,21,24,32,22,11,43
"92","G0010","G0010_02","inactive",51,46,38,27,49,25,18,30
"93","G0010","G0010_03","inactive",12,1,5,8,8,3,8,14
"94","G0010","G0010_04","inactive",72,62,122,88,89,39,81,112
"95","G0010","G0010_05","inactive",26,41,53,36,21,37,35,44
"96","G0010","G0010_06","inactive",115,73,103,82,111,72,85,130
"97","G0010","G0010_07","inactive",10,13,22,16,5,24,19,23
"98","G0010","G0010_08","inactive",40,20,23,19,32,15,22,20
"99","G0010","G0010_09","inactive",41,69,37,40,30,39,36,53
"100","G0010","G0010_10","inactive",35,35,23,31,21,34,11,21
"101","G0011","G0011_01","inactive",46,44,65,28,44,36,61,35
"102","G0011","G0011_02","inactive",52,26,41,33,38,21,37,53
"103","G0011","G0011_03","inactive",24,13,21,31,29,18,17,24
"104","G0011","G0011_04","inactive",14,28,11,24,19,12,7,25
"105","G0011","G0011_05","inactive",45,23,41,25,41,22,33,35
"106","G0011","G0011_06","inactive",1,7,22,2,3,4,22,6
"107","G0011","G0011_07","inactive",16,12,27,18,12,14,16,19
"108","G0011","G0011_08","inactive",33,53,52,63,45,48,59,49
"109","G0011","G0011_09","inactive",8,0,0,5,6,0,0,7
"110","G0011","G0011_10","inactive",50,91,61,46,82,61,35,45
"111","G0012","G0012_01","inactive",54,72,79,63,82,60,57,63
"112","G0012","G0012_02","inactive",149,219,188,137,169,155,146,218
"113","G0012","G0012_03","inactive",12,26,20,11,17,31,17,13
"114","G0012","G0012_04","inactive",69,83,88,119,92,69,65,174
"115","G0012","G0012_05","inactive",9,14,17,2,14,7,17,7
"116","G0012","G0012_06","inactive",6,16,9,9,8,10,7,7
"117","G0012","G0012_07","inactive",17,23,22,41,22,38,11,41
"118","G0012","G0012_08","inactive",23,30,57,26,34,25,34,20
"119","G0012","G0012_09","inactive",12,7,7,8,11,0,5,16
"120","G0012","G0012_10","inactive",22,27,27,17,22,27,14,13
"121","G0013","G0013_01","inactive",93,110,140,134,85,69,106,133
"122","G0013","G0013_02","inactive",115,144,153,165,109,99,116,208
"123","G0013","G0013_03","inactive",4,24,25,16,4,29,6,39
"124","G0013","G0013_04","inactive",66,125,133,94,83,138,113,107
"125","G0013","G0013_05","inactive",36,71,49,51,40,44,22,53
