"","gene","sgRNA","class","L1","L2","L3","L4","L5","L6","L7","L8","H1","H2","H3","H4","H5","H6","H7","H8"
"1","G0001","G0001_01","increasing",190,95,245,278,356,511,221,230,253,259,360,382,403,773,372,303
"2","G0001","G0001_02","increasing",187,224,185,321,139,314,258,261,287,223,167,178,196,426,182,434
"3","G0001","G0001_03","increasing",896,868,579,668,749,1097,771,492,967,1173,889,969,995,1461,932,697
"4","G0001","G0001_04","increasing",765,880,1067,779,1210,688,1228,989,815,1219,1682,604,1585,1304,1248,1317
"5","G0001","G0001_05","increasing",629,259,335,564,381,507,376,402,705,392,615,569,592,521,390,561
"6","G0001","G0001_06","increasing",172,35,112,169,196,204,19,153,125,131,104,276,319,329,22,428
"7","G0001","G0001_07","increasing",298,189,162,302,151,126,364,330,317,267,108,241,149,237,240,559
"8","G0001","G0001_08","increasing",1279,816,920,832,610,516,1232,539,1356,1016,1103,868,677,754,1324,780
"9","G0001","G0001_09","increasing",1020,1041,612,1304,950,1030,821,591,1227,1415,830,1163,1460,1289,994,1137
"10","G0001","G0001_10","increasing",489,223,247,147,252,324,141,504,747,303,336,127,529,343,215,557
"11","G0002","G0002_01","inactive",410,339,460,297,464,15,314,590,360,497,310,316,639,66,307,603
"12","G0002","G0002_02","inactive",1129,1095,522,1495,1015,1384,1298,1392,1173,1080,683,1304,723,1211,1230,1089
"13","G0002","G0002_03","inactive",237,369,369,243,378,419,437,223,325,613,233,259,312,574,366,148
"14","G0002","G0002_04","inactive",1109,1160,1742,1217,980,1533,1371,903,1251,1141,1496,956,873,1513,1062,989
"15","G0002","G0002_05","inactive",748,940,607,666,448,720,836,622,819,759,706,552,410,712,719,787
"16","G0002","G0002_06","inactive",2306,1832,2006,2390,2839,2180,2092,2099,2383,1717,2514,2482,2976,2084,2100,2200
"17","G0002","G0002_07","inactive",561,321,210,752,629,807,247,276,447,303,219,538,735,708,149,331
"18","G0002","G0002_08","inactive",101,272,40,60,109,47,116,149,92,105,62,44,114,136,78,152
"19","G0002","G0002_09","inactive",300,130,140,342,258,225,427,403,285,284,195,235,282,301,439,378
"20","G0002","G0002_10","inactive",352,664,748,418,252,583,645,458,484,476,839,345,203,520,647,455
"21","G0003","G0003_01","increasing",90,143,100,142,225,224,39,146,355,220,181,128,218,434,39,197
"22","G0003","G0003_02","increasing",404,311,543,424,273,417,267,307,782,421,861,686,417,657,437,496
"23","G0003","G0003_03","increasing",682,377,639,418,472,518,676,697,1167,512,1075,730,969,1210,1292,1408
"24","G0003","G0003_04","increasing",117,188,106,347,63,104,235,430,172,344,197,469,283,309,255,829
"25","G0003","G0003_05","increasing",628,265,658,690,386,400,465,463,1206,508,1258,812,831,602,659,1135
"26","G0003","G0003_06","increasing",796,926,1084,1459,1048,706,355,427,1530,1543,1462,1366,1355,1566,494,891
"27","G0003","G0003_07","increasing",297,71,31,217,86,311,254,92,535,36,107,239,228,647,330,70
"28","G0003","G0003_08","increasing",1539,1371,1491,1697,1234,1534,1677,1081,2631,2193,2316,2624,2364,2781,2394,1688
"29","G0003","G0003_09","increasing",1313,720,1270,1265,1608,729,1924,1062,1355,897,1307,1109,1581,890,1810,1302
"30","G0003","G0003_10","increasing",88,38,47,211,61,54,85,131,66,36,37,479,135,155,163,270
"31","G0004","G0004_01","inactive",713,548,299,600,330,475,488,350,756,466,427,568,496,564,477,373
"32","G0004","G0004_02","inactive",189,189,289,236,308,244,417,282,176,193,242,303,317,271,272,280
"33","G0004","G0004_03","inactive",829,340,762,857,594,713,710,576,1040,513,847,716,774,727,857,496
"34","G0004","G0004_04","inactive",1309,1498,1263,1492,994,1890,1485,1467,1492,1484,1142,1097,943,1839,1305,1872
"35","G0004","G0004_05","inactive",999,570,541,977,891,803,527,512,1301,529,550,968,1219,930,369,516
"36","G0004","G0004_06","inactive",276,471,470,330,290,637,536,295,269,484,485,216,211,795,512,368
"37","G0004","G0004_07","inactive",674,825,1087,702,341,765,966,728,912,937,1058,585,353,754,794,807
"38","G0004","G0004_08","inactive",828,794,619,583,1366,738,673,970,754,701,510,649,1572,757,618,910
"39","G0004","G0004_09","inactive",1819,2541,1298,1879,1387,1574,1805,1361,1762,2425,1610,1901,1654,1950,1786,1301
"40","G0004","G0004_10","inactive",1866,1782,2128,2285,2180,1349,2022,2473,2039,1679,2420,2400,2129,1166,1938,3037
"41","G0005","G0005_01","inactive",308,606,329,556,373,303,254,397,334,633,299,383,432,277,203,477
"42","G0005","G0005_02","inactive",1185,1424,1608,1304,1193,1187,1173,1528,1072,1398,1307,1163,1084,1301,1121,1480
"43","G0005","G0005_03","inactive",677,566,728,657,707,638,919,414,734,590,799,662,732,567,893,572
"44","G0005","G0005_04","inactive",157,112,494,201,302,232,110,401,75,214,464,221,536,221,221,465
"45","G0005","G0005_05","inactive",3137,3282,2780,2527,2771,3725,2655,3179,2888,2628,2953,2442,2805,3542,2565,2968
"46","G0005","G0005_06","inactive",733,903,955,770,853,845,1020,798,642,1022,1044,710,744,811,1015,917
"47","G0005","G0005_07","inactive",450,149,467,471,293,529,572,470,328,193,562,376,185,611,711,539
"48","G0005","G0005_08","inactive",391,264,280,292,510,962,718,759,580,523,198,177,553,1042,617,643
"49","G0005","G0005_09","inactive",1028,866,919,1449,1302,649,895,1147,1017,775,972,1229,1318,581,752,1353
"50","G0005","G0005_10","inactive",1104,671,861,1217,1237,1060,1210,807,1074,651,867,877,1451,1425,1235,1086
"51","G0006","G0006_01","inactive",462,404,661,730,728,854,627,430,458,471,663,678,613,831,648,578
"52","G0006","G0006_02","inactive",1818,895,1097,1247,865,1391,739,1290,1503,886,1086,1160,702,1285,614,1333
"53","G0006","G0006_03","inactive",624,589,686,555,430,373,386,261,545,397,578,563,283,426,311,231
