"","gene","sgRNA","class","L1","L2","L3","L4","L5","L6","L7","L8","H1","H2","H3","H4","H5","H6","H7","H8"
"1","G0001","G0001_01","inactive",425,352,341,220,211,296,129,435,455,389,424,273,252,550,167,324
"2","G0001","G0001_02","inactive",536,411,357,370,289,333,508,555,377,517,326,418,591,313,432,653
"3","G0001","G0001_03","inactive",894,1174,1079,832,977,1466,1558,1335,1019,1309,1268,1022,1121,1139,1788,1467
"4","G0001","G0001_04","inactive",934,1312,1299,1220,1335,1674,1512,984,1333,1817,1198,1043,1363,1643,1653,1221
"5","G0001","G0001_05","inactive",626,621,888,656,694,685,564,175,720,618,1072,554,599,702,463,254
"6","G0001","G0001_06","inactive",447,495,552,223,860,619,1046,603,600,555,759,277,923,550,1015,621
"7","G0001","G0001_07","inactive",1224,1005,1645,996,1012,1193,1226,1205,1549,937,1406,1112,920,1510,1449,1250
"8","G0001","G0001_08","inactive",664,367,334,685,333,447,765,704,594,381,553,717,502,432,760,590
"9","G0001","G0001_09","inactive",607,677,762,524,615,791,519,353,640,790,648,366,656,1024,496,516
"10","G0001","G0001_10","inactive",350,211,110,123,39,112,338,109,305,251,119,121,102,126,317,214
"11","G0002","G0002_01","inactive",1823,1932,1898,1864,1536,1589,1759,1584,1634,2019,2076,1669,1780,1769,1702,1673
"12","G0002","G0002_02","inactive",1247,2099,1296,1434,2045,1719,1035,1376,1346,2417,1428,1443,1757,2006,1250,1741
"13","G0002","G0002_03","inactive",561,463,257,392,402,308,440,471,640,474,409,409,422,402,437,532
"14","G0002","G0002_04","inactive",193,120,266,310,205,330,305,234,253,202,264,279,206,376,356,285
"15","G0002","G0002_05","inactive",1179,1284,1403,1245,743,1324,1185,973,1301,1244,1510,1247,938,1382,1482,1135
"16","G0002","G0002_06","inactive",0,170,332,177,166,89,225,241,0,196,487,161,205,112,311,272
"17","G0002","G0002_07","inactive",964,497,938,450,633,237,686,411,993,690,1040,383,501,259,777,574
"18","G0002","G0002_08","inactive",753,686,555,592,716,555,468,775,1172,817,745,523,861,559,503,947
