"","gene","sgRNA","class","L1","L2","L3","L4","L5","L6","L7","L8","H1","H2","H3","H4","H5","H6","H7","H8"
"1","G0001","G0001_01","inactive",802,672,915,563,826,1138,697,670,840,723,863,693,942,888,601,822
"2","G0001","G0001_02","inactive",293,472,479,696,521,870,461,332,158,443,417,780,506,662,460,394
"3","G0001","G0001_03","inactive",758,546,1133,834,1086,619,809,582,652,668,920,914,946,840,733,301
"4","G0001","G0001_04","inactive",355,789,492,484,361,531,559,259,364,840,425,632,395,449,476,227
"5","G0001","G0001_05","inactive",371,850,837,863,773,776,750,904,631,764,877,852,705,618,698,592
"6","G0001","G0001_06","inactive",527,534,769,978,601,415,456,1157,483,646,623,729,528,506,635,915
"7","G0001","G0001_07","inactive",510,237,464,440,477,449,273,338,479,195,446,438,315,318,274,293
"8","G0001","G0001_08","inactive",157,371,498,347,333,419,250,290,195,384,480,307,497,380,233,271
"9","G0001","G0001_09","inactive",998,732,818,887,800,436,965,834,1045,647,836,929,706,549,794,939
"10","G0001","G0001_10","inactive",1283,841,563,626,898,616,1097,1228,1111,675,715,586,780,495,846,949
"11","G0002","G0002_01","inactive",1438,2138,1378,1053,1969,1424,1316,1675,1474,1649,1239,1594,1996,1460,1110,1455
"12","G0002","G0002_02","inactive",567,483,487,440,619,448,322,397,463,441,344,479,714,488,557,452
"13","G0002","G0002_03","inactive",1603,1612,1193,2036,1550,1920,1891,1895,1423,1696,1252,2149,1509,1644,1711,1771
"14","G0002","G0002_04","inactive",3707,2633,3127,3750,2819,3604,3505,3251,3482,2370,2840,4427,2488,3368,3281,3188
"15","G0002","G0002_05","inactive",1039,690,1287,1379,1256,1633,806,788,1027,701,1167,1222,1248,1576,787,757
"16","G0002","G0002_06","inactive",271,437,256,274,413,246,150,140,231,340,175,260,615,376,229,123
"17","G0002","G0002_07","inactive",428,422,616,746,488,320,309,355,382,258,567,623,444,276,226,192
"18","G0002","G0002_08","inactive",1476,1294,1150,1176,1725,944,1173,1416,1136,1291,1203,1539,1788,1032,830,1302
"19","G0002","G0002_09","inactive",795,529,379,760,876,742,327,766,697,566,204,798,1035,686,341,671
"20","G0002","G0002_10","inactive",1460,1327,1036,1248,1480,1654,1230,1909,855,1414,960,1339,1319,1680,1187,1829
"21","G0003","G0003_01","inactive",641,1042,859,772,966,750,606,698,510,1090,873,792,840,636,669,541
"22","G0003","G0003_02","inactive",322,213,432,501,420,249,493,322,168,226,297,384,390,317,782,213
"23","G0003","G0003_03","inactive",1884,1269,1794,1526,1731,2150,1706,1416,1814,1475,1541,2067,1836,2135,1577,1504
"24","G0003","G0003_04","inactive",794,606,994,633,732,612,639,1273,834,497,1096,631,753,379,642,1120
"25","G0003","G0003_05","inactive",609,420,291,367,727,409,801,199,440,407,396,285,567,476,667,170
"26","G0003","G0003_06","inactive",170,504,61,471,267,416,288,265,128,477,82,371,231,340,239,330
"27","G0003","G0003_07","inactive",319,381,228,346,300,638,697,897,325,506,286,305,461,538,582,806
"28","G0003","G0003_08","inactive",0,38,51,152,47,147,255,115,0,12,106,104,55,194,265,151
"29","G0003","G0003_09","inactive",601,386,604,640,636,582,358,688,729,400,566,663,610,722,361,438
"30","G0003","G0003_10","inactive",778,1025,735,776,788,764,855,1025,470,1003,721,842,774,697,896,1332
"31","G0004","G0004_01","inactive",226,419,487,198,196,291,509,199,226,421,429,303,212,437,415,280
"32","G0004","G0004_02","inactive",2289,2434,2271,2617,3040,2579,2215,2529,2566,2172,2358,2941,3086,2187,2117,2341
"33","G0004","G0004_03","inactive",649,588,747,1032,1135,680,334,682,462,491,891,1099,1060,768,458,695
"34","G0004","G0004_04","inactive",677,448,1127,742,998,382,735,829,850,555,798,651,800,543,792,637
"35","G0004","G0004_05","inactive",347,239,249,315,304,366,356,141,337,236,151,431,291,409,385,179
"36","G0004","G0004_06","inactive",667,738,813,420,446,719,353,421,754,715,857,528,515,650,282,302
"37","G0004","G0004_07","inactive",616,340,512,289,796,417,272,441,605,483,463,299,775,685,318,369
"38","G0004","G0004_08","inactive",314,536,172,462,384,222,302,483,231,552,198,403,271,277,260,622
"39","G0004","G0004_09","inactive",981,1184,667,883,1797,884,835,770,1098,1274,690,1139,1742,794,871,828
"40","G0004","G0004_10","inactive",797,806,1049,893,1079,859,1111,864,1023,1092,1054,802,910,708,1391,636
"41","G0005","G0005_01","inactive",563,628,580,283,546,581,614,518,376,640,592,242,634,625,647,504
"42","G0005","G0005_02","inactive",3037,2925,3062,2949,3942,3005,3412,3572,3034,2698,3053,3162,3806,3341,3609,3250
"43","G0005","G0005_03","inactive",415,747,554,995,711,375,602,532,309,683,369,1124,457,414,468,478
"44","G0005","G0005_04","inactive",386,315,363,457,417,864,351,404,317,391,457,391,314,765,282,282
"45","G0005","G0005_05","inactive",2322,1896,1820,1812,2297,1876,1739,2360,2456,2141,1596,1878,1983,1885,1598,2112
