"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",5,28,12,9,15,7,18,12
"2","G0001","G0001_02","inactive",38,48,30,21,61,19,28,23
"3","G0001","G0001_03","inactive",6,14,3,4,6,8,7,1
"4","G0001","G0001_04","inactive",4,1,0,1,4,1,3,2
"5","G0001","G0001_05","inactive",12,19,10,7,24,6,8,12
"6","G0001","G0001_06","inactive",5,7,3,4,8,2,5,8
"7","G0001","G0001_07","inactive",1,0,1,4,2,8,5,3
"8","G0001","G0001_08","inactive",2,2,1,0,3,0,2,1
"9","G0001","G0001_09","inactive",13,23,5,7,21,8,7,16
"10","G0001","G0001_10","inactive",14,24,13,11,19,8,11,3
"11","G0002","G0002_01","inactive",2,15,1,5,4,2,3,3
"12","G0002","G0002_02","inactive",4,1,2,1,4,1,3,9
"13","G0002","G0002_03","inactive",26,17,22,8,33,9,16,18
"14","G0002","G0002_04","inactive",7,5,6,1,4,2,5,1
"15","G0002","G0002_05","inactive",2,2,0,0,6,6,2,3
"16","G0002","G0002_06","inactive",7,14,8,6,9,5,10,9
"17","G0002","G0002_07","inactive",4,2,1,2,4,1,1,2
"18","G0002","G0002_08","inactive",3,5,0,1,5,1,6,10
"19","G0002","G0002_09","inactive",3,17,6,7,17,10,9,12
"20","G0002","G0002_10","inactive",1,4,5,1,5,2,4,2
"21","G0003","G0003_01","inactive",13,44,19,7,25,12,17,10
"22","G0003","G0003_02","inactive",10,18,6,6,3,6,4,4
"23","G0003","G0003_03","inactive",4,8,0,3,4,1,1,1
"24","G0003","G0003_04","inactive",18,34,10,5,24,14,16,11
"25","G0003","G0003_05","inactive",4,6,6,4,11,4,9,4
"26","G0003","G0003_06","inactive",3,1,2,3,9,0,6,7
"27","G0003","G0003_07","inactive",10,21,6,8,12,6,7,7
"28","G0003","G0003_08","inactive",4,16,7,12,7,9,4,8
"29","G0003","G0003_09","inactive",6,6,3,4,13,4,7,3
"30","G0003","G0003_10","inactive",11,15,7,6,13,6,10,8
"31","G0004","G0004_01","inactive",5,13,2,3,9,4,9,7
"32","G0004","G0004_02","inactive",6,19,8,6,11,4,14,12
"33","G0004","G0004_03","inactive",1,7,5,0,6,2,4,1
"34","G0004","G0004_04","inactive",5,13,7,8,6,8,8,2
"35","G0004","G0004_05","inactive",1,2,1,5,6,1,2,6
