"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",57,49,42,61,40,41,53,52
"2","G0001","G0001_02","inactive",25,29,6,24,17,21,8,17
"3","G0001","G0001_03","inactive",56,40,48,49,51,50,56,44
"4","G0001","G0001_04","inactive",2,16,14,11,1,10,14,9
"5","G0001","G0001_05","inactive",87,71,94,70,72,100,66,94
"6","G0001","G0001_06","inactive",18,8,15,25,13,8,19,47
"7","G0001","G0001_07","inactive",53,58,85,82,58,50,88,118
"8","G0001","G0001_08","inactive",12,15,9,7,15,16,13,8
"9","G0001","G0001_09","inactive",160,160,152,110,144,161,158,125
"10","G0001","G0001_10","inactive",153,123,129,163,122,109,111,166
"11","G0002","G0002_01","inactive",87,43,49,96,57,54,64,93
"12","G0002","G0002_02","inactive",68,24,34,30,54,28,17,32
"13","G0002","G0002_03","inactive",110,79,72,108,108,113,57,125
"14","G0002","G0002_04","inactive",33,50,30,47,48,38,27,74
"15","G0002","G0002_05","inactive",40,19,19,22,28,20,15,14
"16","G0002","G0002_06","inactive",40,25,29,22,32,13,25,49
"17","G0002","G0002_07","inactive",88,69,80,54,86,65,79,80
"18","G0002","G0002_08","inactive",10,8,4,13,4,11,12,23
"19","G0002","G0002_09","inactive",22,19,20,26,28,17,15,31
"20","G0002","G0002_10","inactive",42,52,42,50,46,65,63,76
"21","G0003","G0003_01","inactive",28,13,17,19,22,17,15,25
"22","G0003","G0003_02","inactive",9,9,18,19,8,7,16,19
"23","G0003","G0003_03","inactive",55,35,58,54,43,37,71,55
"24","G0003","G0003_04","inactive",22,12,19,21,17,25,11,25
"25","G0003","G0003_05","inactive",63,33,22,40,49,58,17,59
"26","G0003","G0003_06","inactive",35,29,23,20,28,29,18,23
"27","G0003","G0003_07","inactive",37,33,46,44,31,43,44,57
"28","G0003","G0003_08","inactive",50,46,71,58,46,50,59,72
"29","G0003","G0003_09","inactive",34,14,35,24,24,13,55,37
"30","G0003","G0003_10","inactive",64,63,60,70,50,52,60,73
"31","G0004","G0004_01","inactive",105,70,83,81,71,90,83,89
"32","G0004","G0004_02","inactive",37,30,31,17,30,21,31,18
"33","G0004","G0004_03","inactive",38,49,53,51,38,36,38,58
"34","G0004","G0004_04","inactive",16,18,15,34,32,17,21,32
"35","G0004","G0004_05","inactive",48,20,23,36,37,30,33,35
"36","G0004","G0004_06","inactive",34,30,41,20,32,42,51,31
"37","G0004","G0004_07","inactive",41,45,55,35,36,37,58,23
"38","G0004","G0004_08","inactive",5,0,12,9,5,3,5,5
"39","G0004","G0004_09","inactive",103,58,110,112,71,66,94,113
"40","G0004","G0004_10","inactive",49,54,36,23,46,50,38,23
"41","G0005","G0005_01","inactive",54,38,101,71,56,34,84,85
"42","G0005","G0005_02","inactive",36,33,48,39,39,29,31,45
"43","G0005","G0005_03","inactive",11,23,22,23,8,20,14,32
"44","G0005","G0005_04","inactive",43,67,47,61,37,59,25,68
"45","G0005","G0005_05","inactive",138,89,125,77,134,99,102,78
"46","G0005","G0005_06","inactive",54,47,60,45,41,41,54,53
"47","G0005","G0005_07","inactive",65,88,81,92,47,92,87,115
"48","G0005","G0005_08","inactive",103,66,72,65,66,60,74,94
"49","G0005","G0005_09","inactive",41,29,32,32,37,32,40,42
"50","G0005","G0005_10","inactive",36,45,44,28,27,29,40,35
"51","G0006","G0006_01","inactive",8,35,12,18,7,33,16,13
"52","G0006","G0006_02","inactive",13,25,22,34,23,23,45,33
"53","G0006","G0006_03","inactive",69,46,27,39,48,42,24,34
"54","G0006","G0006_04","inactive",25,42,49,29,18,43,37,54
"55","G0006","G0006_05","inactive",62,41,34,63,51,44,36,87
"56","G0006","G0006_06","inactive",50,28,15,32,41,17,26,32
"57","G0006","G0006_07","inactive",47,35,29,36,47,43,37,54
"58","G0006","G0006_08","inactive",26,50,19,49,31,45,19,55
"59","G0006","G0006_09","inactive",109,75,120,138,99,85,152,128
"60","G0006","G0006_10","inactive",39,41,31,35,25,56,29,20
"61","G0007","G0007_01","inactive",25,14,3,23,21,16,7,35
