"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",9,22,5,20,7,22,17,28
"2","G0001","G0001_02","inactive",15,33,23,7,12,27,35,21
"3","G0001","G0001_03","inactive",97,54,66,71,83,63,86,94
"4","G0001","G0001_04","inactive",166,136,135,113,158,171,160,174
"5","G0001","G0001_05","inactive",43,44,40,34,35,48,55,46
"6","G0001","G0001_06","inactive",73,21,47,23,60,25,56,47
"7","G0001","G0001_07","inactive",52,51,30,40,52,31,69,61
"8","G0001","G0001_08","inactive",23,20,11,7,8,17,25,12
"9","G0001","G0001_09","inactive",44,32,27,33,40,45,46,45
"10","G0001","G0001_10","inactive",91,42,70,66,91,55,68,100
"11","G0002","G0002_01","inactive",71,44,61,34,81,77,85,55
"12","G0002","G0002_02","inactive",39,53,42,36,38,67,54,62
"13","G0002","G0002_03","inactive",43,14,29,18,49,21,36,27
"14","G0002","G0002_04","inactive",29,16,17,23,27,14,22,33
"15","G0002","G0002_05","inactive",61,48,32,21,60,57,46,43
"16","G0002","G0002_06","inactive",5,16,5,10,11,16,8,21
"17","G0002","G0002_07","inactive",80,71,68,29,70,77,127,58
"18","G0002","G0002_08","inactive",145,128,152,114,139,185,201,165
"19","G0002","G0002_09","inactive",27,33,42,19,26,44,50,44
"20","G0002","G0002_10","inactive",82,76,44,61,87,88,80,76
"21","G0003","G0003_01","inactive",26,24,31,17,19,29,35,26
"22","G0003","G0003_02","inactive",39,14,27,29,37,8,43,39
"23","G0003","G0003_03","inactive",14,7,16,5,19,14,33,13
"24","G0003","G0003_04","inactive",77,71,48,31,65,66,57,49
"25","G0003","G0003_05","inactive",47,14,4,17,26,17,6,30
"26","G0003","G0003_06","inactive",49,26,25,24,32,40,36,54
"27","G0003","G0003_07","inactive",28,29,38,8,49,26,48,9
"28","G0003","G0003_08","inactive",20,8,14,16,15,6,24,18
"29","G0003","G0003_09","inactive",120,101,109,54,96,115,127,99
"30","G0003","G0003_10","inactive",66,44,55,29,46,52,63,49
"31","G0004","G0004_01","inactive",24,24,8,7,19,29,20,6
"32","G0004","G0004_02","inactive",63,28,35,30,44,37,46,38
"33","G0004","G0004_03","inactive",43,43,29,18,52,55,45,51
"34","G0004","G0004_04","inactive",31,6,11,20,21,22,14,14
"35","G0004","G0004_05","inactive",43,26,27,11,45,30,57,29
"36","G0004","G0004_06","inactive",10,8,7,20,6,6,5,15
"37","G0004","G0004_07","inactive",123,72,87,78,99,91,105,125
"38","G0004","G0004_08","inactive",59,49,53,38,61,41,91,64
"39","G0004","G0004_09","inactive",71,36,69,41,67,35,100,56
"40","G0004","G0004_10","inactive",79,71,60,68,83,75,83,117
"41","G0005","G0005_01","inactive",24,38,30,20,33,40,47,36
"42","G0005","G0005_02","inactive",141,109,75,100,117,138,86,119
"43","G0005","G0005_03","inactive",93,47,28,21,100,73,48,45
"44","G0005","G0005_04","inactive",22,27,17,6,20,23,17,15
"45","G0005","G0005_05","inactive",18,8,18,28,18,8,33,28
"46","G0005","G0005_06","inactive",26,32,36,32,25,56,50,32
"47","G0005","G0005_07","inactive",41,27,26,38,49,48,53,37
"48","G0005","G0005_08","inactive",33,24,17,14,22,16,39,17
"49","G0005","G0005_09","inactive",104,113,117,113,103,129,117,157
"50","G0005","G0005_10","inactive",33,24,42,32,39,28,51,47
"51","G0006","G0006_01","inactive",37,45,60,51,40,50,77,65
"52","G0006","G0006_02","inactive",58,25,41,27,48,25,46,42
"53","G0006","G0006_03","inactive",152,89,128,100,171,130,155,136
"54","G0006","G0006_04","inactive",1,14,19,6,1,15,30,9
"55","G0006","G0006_05","inactive",91,52,60,44,82,66,88,64
"56","G0006","G0006_06","inactive",90,76,66,62,85,88,107,94
"57","G0006","G0006_07","inactive",104,57,53,66,110,75,69,88
"58","G0006","G0006_08","inactive",27,7,13,13,16,13,6,13
"59","G0006","G0006_09","inactive",81,43,68,58,94,53,102,102
"60","G0006","G0006_10","inactive",91,43,44,49,102,68,49,61
"61","G0007","G0007_01","inactive",43,31,12,20,36,44,20,17
"62","G0007","G0007_02","inactive",23,36,23,39,36,46,37,35
"63","G0007","G0007_03","inactive",23,26,18,40,24,23,32,43
"64","G0007","G0007_04","inactive",25,19,20,11,34,29,15,24
"65","G0007","G0007_05","inactive",41,71,44,40,44,66,72,51
"66","G0007","G0007_06","inactive",21,2,34,12,18,4,42,42
"67","G0007","G0007_07","inactive",16,17,24,21,13,13,30,32
"68","G0007","G0007_08","inactive",18,21,17,15,18,10,18,17
"69","G0007","G0007_09","inactive",26,7,19,9,15,6,28,14
"70","G0007","G0007_10","inactive",11,6,9,22,11,5,11,33
"71","G0008","G0008_01","inactive",43,39,47,50,26,53,57,88
"72","G0008","G0008_02","inactive",16,25,19,26,8,46,24,50
"73","G0008","G0008_03","inactive",90,84,74,74,89,103,123,89
"74","G0008","G0008_04","inactive",98,51,75,84,89,89,116,130
"75","G0008","G0008_05","inactive",35,24,26,39,32,14,32,63
"76","G0008","G0008_06","inactive",22,26,10,28,22,37,33,29
"77","G0008","G0008_07","inactive",27,24,46,30,25,30,60,55
"78","G0008","G0008_08","inactive",45,36,24,33,55,41,36,52
"79","G0008","G0008_09","inactive",37,15,45,22,23,14,70,38
"80","G0008","G0008_10","inactive",45,41,29,27,33,63,34,39
"81","G0009","G0009_01","inactive",264,233,161,123,230,273,227,177
"82","G0009","G0009_02","inactive",23,24,24,5,29,15,20,15
"83","G0009","G0009_03","inactive",115,110,96,87,129,105,146,120
"84","G0009","G0009_04","inactive",160,55,60,62,131,94,68,98
"85","G0009","G0009_05","inactive",91,157,157,114,118,184,180,183
"86","G0009","G0009_06","inactive",54,43,24,25,69,55,44,39
"87","G0009","G0009_07","inactive",70,60,56,34,70,86,61,61
"88","G0009","G0009_08","inactive",18,27,35,24,24,51,42,37
"89","G0009","G0009_09","inactive",19,12,20,18,15,24,30,44
"90","G0009","G0009_10","inactive",26,27,19,21,26,29,33,40
"91","G0010","G0010_01","inactive",34,1,12,10,20,2,23,27
"92","G0010","G0010_02","inactive",15,21,17,29,17,29,20,40
"93","G0010","G0010_03","inactive",18,54,29,23,18,43,29,36
"94","G0010","G0010_04","inactive",0,0,4,4,0,0,3,3
"95","G0010","G0010_05","inactive",119,61,90,62,112,101,119,116
