"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",66,79,79,40,52,53,57,50
"2","G0001","G0001_02","inactive",66,61,67,44,37,42,79,58
"3","G0001","G0001_03","inactive",54,89,50,28,52,69,36,49
"4","G0001","G0001_04","inactive",16,22,17,23,17,6,18,44
"5","G0001","G0001_05","inactive",16,42,14,37,7,35,27,44
"6","G0001","G0001_06","inactive",14,14,7,12,9,4,4,10
"7","G0001","G0001_07","inactive",41,70,54,78,32,48,43,94
"8","G0001","G0001_08","inactive",32,34,32,30,41,25,34,31
"9","G0001","G0001_09","inactive",8,13,14,35,9,11,6,32
"10","G0001","G0001_10","inactive",34,17,22,33,41,16,14,41
"11","G0002","G0002_01","inactive",27,3,6,26,19,5,13,16
"12","G0002","G0002_02","inactive",39,56,30,65,45,36,35,57
"13","G0002","G0002_03","inactive",57,50,63,76,51,58,61,85
"14","G0002","G0002_04","inactive",21,28,29,26,21,23,38,29
"15","G0002","G0002_05","inactive",34,71,37,51,41,37,34,40
"16","G0002","G0002_06","inactive",41,28,41,37,41,21,31,71
"17","G0002","G0002_07","inactive",35,65,15,36,28,50,24,51
"18","G0002","G0002_08","inactive",43,55,41,46,34,25,28,64
"19","G0002","G0002_09","inactive",14,19,9,13,18,13,17,20
"20","G0002","G0002_10","inactive",8,19,10,19,12,15,11,30
"21","G0003","G0003_01","inactive",205,279,177,262,174,177,162,327
"22","G0003","G0003_02","inactive",32,45,40,60,36,29,56,72
"23","G0003","G0003_03","inactive",45,48,73,44,33,38,44,65
"24","G0003","G0003_04","inactive",2,8,11,15,3,7,5,18
"25","G0003","G0003_05","inactive",61,99,39,45,48,56,58,49
"26","G0003","G0003_06","inactive",40,46,39,54,53,26,37,72
"27","G0003","G0003_07","inactive",54,109,59,52,52,69,48,64
"28","G0003","G0003_08","inactive",48,59,28,43,42,42,23,59
"29","G0003","G0003_09","inactive",24,17,15,21,16,9,19,32
"30","G0003","G0003_10","inactive",26,34,31,18,21,24,30,23
"31","G0004","G0004_01","inactive",16,10,11,8,16,2,10,29
"32","G0004","G0004_02","inactive",36,58,23,42,29,42,32,64
"33","G0004","G0004_03","inactive",24,51,21,14,23,21,21,31
"34","G0004","G0004_04","inactive",43,40,27,34,48,28,12,42
"35","G0004","G0004_05","inactive",32,20,26,25,29,10,28,34
"36","G0004","G0004_06","inactive",86,137,46,92,92,101,57,119
"37","G0004","G0004_07","inactive",27,24,14,12,24,15,20,22
"38","G0004","G0004_08","inactive",5,10,7,14,2,13,7,18
"39","G0004","G0004_09","inactive",18,37,13,25,15,34,10,37
"40","G0004","G0004_10","inactive",21,13,24,20,16,27,25,20
"41","G0005","G0005_01","inactive",259,308,194,272,203,255,159,349
"42","G0005","G0005_02","inactive",75,106,69,77,78,85,86,76
"43","G0005","G0005_03","inactive",15,21,29,30,23,22,27,39
"44","G0005","G0005_04","inactive",15,29,14,27,8,23,16,27
"45","G0005","G0005_05","inactive",49,32,36,41,49,20,40,50
"46","G0005","G0005_06","inactive",40,52,15,21,41,32,20,29
"47","G0005","G0005_07","inactive",41,54,73,70,39,27,41,103
"48","G0005","G0005_08","inactive",69,82,38,55,60,79,59,98
"49","G0005","G0005_09","inactive",56,72,38,61,53,44,28,63
"50","G0005","G0005_10","inactive",7,15,12,11,7,14,15,15
"51","G0006","G0006_01","inactive",89,114,73,128,113,98,84,141
"52","G0006","G0006_02","inactive",66,61,50,79,58,52,55,104
"53","G0006","G0006_03","inactive",36,19,23,52,21,19,13,51
"54","G0006","G0006_04","inactive",176,166,133,222,165,112,133,271
"55","G0006","G0006_05","inactive",45,73,39,19,30,36,47,32
"56","G0006","G0006_06","inactive",18,41,26,19,34,28,34,35
"57","G0006","G0006_07","inactive",14,29,20,21,28,16,26,33
"58","G0006","G0006_08","inactive",8,24,11,6,9,16,11,11
