"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",68,77,46,75,87,56,55,56
"2","G0001","G0001_02","inactive",33,28,13,49,25,35,11,24
"3","G0001","G0001_03","inactive",59,62,77,37,65,40,69,39
"4","G0001","G0001_04","inactive",9,18,2,11,6,21,5,12
"5","G0001","G0001_05","inactive",37,31,34,37,36,29,41,18
"6","G0001","G0001_06","inactive",97,125,114,124,128,118,157,80
"7","G0001","G0001_07","inactive",26,11,13,21,33,12,19,28
"8","G0001","G0001_08","inactive",52,26,25,38,80,34,17,30
"9","G0001","G0001_09","inactive",11,8,30,24,6,10,31,8
"10","G0001","G0001_10","inactive",71,59,47,76,86,65,58,54
"11","G0002","G0002_01","inactive",95,69,60,75,85,63,96,66
"12","G0002","G0002_02","inactive",57,55,33,81,41,54,40,48
"13","G0002","G0002_03","inactive",163,219,218,220,198,204,284,168
"14","G0002","G0002_04","inactive",21,7,15,19,27,3,21,12
"15","G0002","G0002_05","inactive",23,13,34,32,20,15,29,29
"16","G0002","G0002_06","inactive",17,8,17,20,17,13,19,12
"17","G0002","G0002_07","inactive",118,145,155,139,150,141,166,103
"18","G0002","G0002_08","inactive",25,13,34,40,23,12,44,34
"19","G0002","G0002_09","inactive",31,19,20,48,25,35,29,22
"20","G0002","G0002_10","inactive",38,36,50,46,25,41,55,31
"21","G0003","G0003_01","inactive",73,57,41,86,81,52,65,52
"22","G0003","G0003_02","inactive",53,54,26,42,59,46,39,29
"23","G0003","G0003_03","inactive",25,47,35,38,45,43,38,17
"24","G0003","G0003_04","inactive",26,55,34,43,34,49,44,24
"25","G0003","G0003_05","inactive",57,49,31,34,70,40,37,26
"26","G0003","G0003_06","inactive",162,181,148,221,213,167,201,166
"27","G0003","G0003_07","inactive",22,16,14,8,29,19,15,3
"28","G0003","G0003_08","inactive",53,52,56,35,65,45,61,43
"29","G0003","G0003_09","inactive",32,30,34,22,62,25,45,15
"30","G0003","G0003_10","inactive",22,14,14,11,16,13,17,14
"31","G0004","G0004_01","inactive",34,62,32,37,27,52,47,27
"32","G0004","G0004_02","inactive",26,43,36,65,35,49,73,41
"33","G0004","G0004_03","inactive",52,58,60,72,81,45,84,45
"34","G0004","G0004_04","inactive",36,32,31,36,36,19,25,27
"35","G0004","G0004_05","inactive",69,69,33,28,62,72,43,23
"36","G0004","G0004_06","inactive",14,24,32,24,27,15,39,22
"37","G0004","G0004_07","inactive",49,76,45,61,38,51,55,36
"38","G0004","G0004_08","inactive",18,25,20,17,21,18,19,15
"39","G0004","G0004_09","inactive",45,32,29,53,44,26,36,39
"40","G0004","G0004_10","inactive",22,14,22,14,24,28,21,15
"41","G0005","G0005_01","inactive",46,46,50,70,42,39,47,71
"42","G0005","G0005_02","inactive",37,64,60,40,59,57,85,34
"43","G0005","G0005_03","inactive",83,125,89,117,108,114,147,93
"44","G0005","G0005_04","inactive",13,47,26,17,23,41,25,18
"45","G0005","G0005_05","inactive",47,50,39,42,59,55,65,39
