"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",291,514,736,637,239,505,799,582
"2","G0001","G0001_02","inactive",287,553,411,303,294,634,351,369
"3","G0001","G0001_03","inactive",808,563,621,698,814,449,622,638
"4","G0001","G0001_04","inactive",538,315,506,293,570,301,514,234
"5","G0001","G0001_05","inactive",824,1398,994,1355,726,1313,1038,1443
"6","G0001","G0001_06","inactive",1226,834,837,1035,1262,730,768,890
"7","G0001","G0001_07","inactive",632,865,836,673,603,639,765,598
"8","G0001","G0001_08","inactive",326,371,450,274,384,257,447,234
"9","G0001","G0001_09","inactive",690,923,1081,924,733,807,1016,1128
"10","G0001","G0001_10","inactive",677,382,714,142,554,295,599,192
"11","G0002","G0002_01","inactive",366,386,290,552,438,389,354,609
"12","G0002","G0002_02","inactive",1503,1381,1334,2032,1279,1434,1109,1838
"13","G0002","G0002_03","inactive",295,485,480,264,244,413,445,274
"14","G0002","G0002_04","inactive",990,1212,842,1439,988,1065,860,1373
"15","G0002","G0002_05","inactive",738,650,830,550,761,519,919,729
"16","G0002","G0002_06","inactive",235,1031,645,691,366,853,556,747
"17","G0002","G0002_07","inactive",481,622,396,522,523,555,375,548
"18","G0002","G0002_08","inactive",580,666,467,402,530,660,517,443
"19","G0002","G0002_09","inactive",726,444,697,355,712,367,675,544
"20","G0002","G0002_10","inactive",469,559,731,250,479,639,696,270
"21","G0003","G0003_01","inactive",847,594,706,748,767,520,732,703
"22","G0003","G0003_02","inactive",1173,1905,1047,1684,1234,2029,1115,1783
"23","G0003","G0003_03","inactive",781,855,941,666,757,877,859,652
"24","G0003","G0003_04","inactive",1235,1137,1726,1772,1411,1179,1775,1768
"25","G0003","G0003_05","inactive",1741,2239,1505,1945,1609,1892,1412,1877
"26","G0003","G0003_06","inactive",1429,936,1460,1395,1364,951,1512,1418
"27","G0003","G0003_07","inactive",451,653,1093,791,426,409,1015,782
"28","G0003","G0003_08","inactive",598,748,706,557,516,731,634,547
"29","G0003","G0003_09","inactive",538,790,593,201,544,772,581,237
"30","G0003","G0003_10","inactive",1350,1016,913,1519,1239,1183,931,1521
"31","G0004","G0004_01","inactive",719,187,448,489,679,220,434,458
"32","G0004","G0004_02","inactive",643,585,907,720,569,590,710,864
"33","G0004","G0004_03","inactive",1527,1888,1333,1395,1406,1818,1399,1598
"34","G0004","G0004_04","inactive",208,709,180,314,231,687,202,336
"35","G0004","G0004_05","inactive",177,364,336,317,94,315,333,322
"36","G0004","G0004_06","inactive",890,1384,880,1262,996,1420,877,1355
"37","G0004","G0004_07","inactive",210,185,188,410,200,152,165,582
"38","G0004","G0004_08","inactive",613,260,376,234,703,203,388,184
"39","G0004","G0004_09","inactive",919,1108,1090,672,824,1012,1248,742
"40","G0004","G0004_10","inactive",1170,1043,1262,1412,1271,1058,1361,1467
"41","G0005","G0005_01","inactive",458,715,931,736,412,646,871,784
"42","G0005","G0005_02","inactive",973,1049,844,839,889,1040,767,730
"43","G0005","G0005_03","inactive",964,1654,888,962,922,1354,875,1002
"44","G0005","G0005_04","inactive",4429,4791,4606,5156,4430,4292,4570,4807
"45","G0005","G0005_05","inactive",2390,1998,2154,2193,2577,1692,1976,2095
"46","G0005","G0005_06","inactive",24,176,213,120,72,145,164,62
"47","G0005","G0005_07","inactive",1661,1580,1962,2009,2019,1450,2066,2018
"48","G0005","G0005_08","inactive",2734,3139,3348,2943,3248,3159,3399,2894
"49","G0005","G0005_09","inactive",1609,1675,1452,1380,1709,1656,1432,1390
"50","G0005","G0005_10","inactive",951,848,684,819,960,836,644,652
"51","G0006","G0006_01","inactive",495,1055,755,556,614,947,826,538
"52","G0006","G0006_02","inactive",1132,1148,900,1628,1048,1062,836,1767
"53","G0006","G0006_03","inactive",1643,1913,2385,2372,1736,1735,2080,2133
"54","G0006","G0006_04","inactive",2537,1717,2163,2101,2417,1739,2288,2168
"55","G0006","G0006_05","inactive",739,850,750,1380,817,768,667,1222
