"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",205,78,429,306,147,107,285,459
"2","G0001","G0001_02","inactive",768,1086,870,543,559,1199,945,467
"3","G0001","G0001_03","inactive",3136,2221,2722,2370,3037,2634,2796,2528
"4","G0001","G0001_04","inactive",666,535,794,753,837,512,626,886
"5","G0001","G0001_05","inactive",343,886,1143,807,463,790,960,856
"6","G0001","G0001_06","inactive",336,451,249,602,354,359,374,612
"7","G0001","G0001_07","inactive",498,241,690,542,464,362,608,448
"8","G0001","G0001_08","inactive",2170,2380,2119,1674,1933,2282,2273,1699
"9","G0001","G0001_09","inactive",256,186,68,265,277,230,32,183
"10","G0001","G0001_10","inactive",299,209,416,500,200,196,271,481
"11","G0002","G0002_01","inactive",949,767,494,501,765,914,554,473
"12","G0002","G0002_02","inactive",416,75,427,390,439,90,611,443
"13","G0002","G0002_03","inactive",961,1025,1479,1260,942,1027,1457,1308
"14","G0002","G0002_04","inactive",608,685,377,463,639,665,329,518
"15","G0002","G0002_05","inactive",2037,1686,1472,1044,2199,1832,1397,1241
"16","G0002","G0002_06","inactive",1661,1543,1462,1348,1745,1712,1340,1491
"17","G0002","G0002_07","inactive",159,231,122,30,127,77,173,74
"18","G0002","G0002_08","inactive",515,470,469,360,593,434,496,448
"19","G0002","G0002_09","inactive",4040,5774,5607,4406,4029,5413,5960,4487
"20","G0002","G0002_10","inactive",886,1308,1247,1141,879,957,1448,1184
"21","G0003","G0003_01","inactive",1250,1074,994,827,1269,975,943,998
"22","G0003","G0003_02","inactive",1329,921,1107,1218,1293,772,1145,1436
"23","G0003","G0003_03","inactive",1121,1034,909,766,1126,973,1100,1065
"24","G0003","G0003_04","inactive",832,401,998,737,816,289,821,760
"25","G0003","G0003_05","inactive",651,437,715,857,580,348,818,908
"26","G0003","G0003_06","inactive",179,325,259,152,256,388,231,143
"27","G0003","G0003_07","inactive",453,637,671,427,425,559,587,711
"28","G0003","G0003_08","inactive",1526,1345,1319,1317,1354,1180,1344,1640
"29","G0003","G0003_09","inactive",478,586,447,610,499,606,292,616
"30","G0003","G0003_10","inactive",641,801,972,749,654,883,964,928
"31","G0004","G0004_01","inactive",533,836,708,369,686,553,769,435
"32","G0004","G0004_02","inactive",215,127,351,380,286,106,506,483
"33","G0004","G0004_03","inactive",1240,642,817,1051,1052,411,804,1075
"34","G0004","G0004_04","inactive",3145,2453,3215,2227,3080,2593,3389,2170
"35","G0004","G0004_05","inactive",1088,1404,1287,1410,996,1156,1333,1460
"36","G0004","G0004_06","inactive",1440,1173,1257,1422,1231,1171,1278,1499
"37","G0004","G0004_07","inactive",1912,1884,1046,1552,1779,1782,1400,1928
"38","G0004","G0004_08","inactive",1039,1353,966,680,1029,1374,995,794
"39","G0004","G0004_09","inactive",1165,1492,1252,1496,1136,1629,1282,1660
"40","G0004","G0004_10","inactive",2418,1790,1829,2366,2516,1635,1901,2331
"41","G0005","G0005_01","inactive",734,854,1027,1155,711,902,809,1114
"42","G0005","G0005_02","inactive",1557,1306,1150,787,1435,1317,1001,1188
"43","G0005","G0005_03","inactive",583,670,492,111,558,551,689,226
"44","G0005","G0005_04","inactive",427,744,559,719,536,749,613,781
"45","G0005","G0005_05","inactive",723,770,256,285,744,412,302,391
"46","G0005","G0005_06","inactive",935,668,1325,1441,903,664,1147,1061
"47","G0005","G0005_07","inactive",281,562,273,373,452,457,184,501
"48","G0005","G0005_08","inactive",1317,1351,1369,1178,1323,1871,1397,1215
"49","G0005","G0005_09","inactive",562,935,765,664,594,950,782,634
"50","G0005","G0005_10","inactive",233,449,206,387,309,282,290,368
"51","G0006","G0006_01","inactive",310,449,723,272,306,557,640,267
"52","G0006","G0006_02","inactive",464,735,755,463,405,835,590,711
"53","G0006","G0006_03","inactive",2425,1656,1859,1470,2386,1613,1746,1595
"54","G0006","G0006_04","inactive",327,299,273,135,312,202,277,116
"55","G0006","G0006_05","inactive",1487,1089,1179,1515,1687,1126,1287,1375
"56","G0006","G0006_06","inactive",2117,1695,1375,1522,2127,1758,1429,1627
"57","G0006","G0006_07","inactive",1579,1010,1503,973,1640,885,1574,1050
"58","G0006","G0006_08","inactive",919,318,760,715,953,416,752,893
"59","G0006","G0006_09","inactive",388,389,560,583,336,203,583,603
"60","G0006","G0006_10","inactive",525,1045,760,817,571,907,826,970
"61","G0007","G0007_01","inactive",1929,1613,1839,1465,1611,1589,1894,1538
"62","G0007","G0007_02","inactive",159,376,772,519,242,294,832,292
"63","G0007","G0007_03","inactive",435,215,212,158,363,274,267,318
"64","G0007","G0007_04","inactive",1330,1127,1408,1661,1556,1297,1820,1712
"65","G0007","G0007_05","inactive",318,419,54,129,306,294,34,174
"66","G0007","G0007_06","inactive",436,473,413,593,531,394,479,478
"67","G0007","G0007_07","inactive",178,219,283,319,155,203,203,369
"68","G0007","G0007_08","inactive",932,1063,1027,977,990,940,1092,1099
"69","G0007","G0007_09","inactive",1529,1521,1354,1284,1315,1416,1373,1344
"70","G0007","G0007_10","inactive",1041,957,1311,1588,1078,958,1360,1780
"71","G0008","G0008_01","inactive",1269,657,1196,868,1226,702,974,852
"72","G0008","G0008_02","inactive",1962,1765,1993,2505,1981,1918,2411,2445
"73","G0008","G0008_03","inactive",449,433,733,457,552,448,486,510
"74","G0008","G0008_04","inactive",2703,2842,2394,2953,3147,2371,2474,2959
"75","G0008","G0008_05","inactive",967,901,1198,966,1009,960,1114,1069
"76","G0008","G0008_06","inactive",1164,1212,1481,1445,1034,1273,1350,1341
"77","G0008","G0008_07","inactive",617,691,696,434,597,609,717,669
"78","G0008","G0008_08","inactive",1359,1413,1122,615,1488,1540,893,489
"79","G0008","G0008_09","inactive",658,759,688,558,779,605,732,751
"80","G0008","G0008_10","inactive",1230,1368,1189,1040,1275,1328,1045,990
"81","G0009","G0009_01","inactive",667,917,930,947,737,1026,763,851
"82","G0009","G0009_02","inactive",1355,1054,949,1258,1210,1056,928,1525
"83","G0009","G0009_03","inactive",643,678,574,854,626,754,779,781
"84","G0009","G0009_04","inactive",2052,1903,2011,1787,2033,1857,2241,2001
"85","G0009","G0009_05","inactive",2330,1884,1975,2809,2263,2270,2282,3328
"86","G0009","G0009_06","inactive",924,368,789,488,849,358,758,557
"87","G0009","G0009_07","inactive",350,274,149,262,345,291,173,229
"88","G0009","G0009_08","inactive",818,771,730,977,1065,990,839,794
"89","G0009","G0009_09","inactive",2800,2873,3158,2958,2959,2613,3356,3448
"90","G0009","G0009_10","inactive",600,523,574,275,824,473,518,349
"91","G0010","G0010_01","inactive",431,408,326,160,315,515,294,271
"92","G0010","G0010_02","inactive",291,354,384,687,436,631,387,853
"93","G0010","G0010_03","inactive",1348,893,1095,1040,1473,958,1068,1206
"94","G0010","G0010_04","inactive",1655,1404,1661,1739,1744,1887,1434,2082
"95","G0010","G0010_05","inactive",1692,1609,2329,2061,1504,1554,2162,2088
"96","G0010","G0010_06","inactive",845,767,974,496,712,930,719,802
"97","G0010","G0010_07","inactive",599,380,752,461,638,346,1027,514
"98","G0010","G0010_08","inactive",72,424,508,177,17,245,481,201
"99","G0010","G0010_09","inactive",2093,2226,2523,2170,1756,2000,2747,2226
"100","G0010","G0010_10","inactive",795,1109,647,1225,844,994,728,941
"101","G0011","G0011_01","inactive",523,355,107,186,372,426,124,310
"102","G0011","G0011_02","inactive",307,440,189,520,437,390,198,540
"103","G0011","G0011_03","inactive",679,284,292,495,647,149,199,514
"104","G0011","G0011_04","inactive",135,495,276,261,153,332,265,248
"105","G0011","G0011_05","inactive",196,313,314,535,213,336,248,577
"106","G0011","G0011_06","inactive",146,415,279,348,269,281,297,438
"107","G0011","G0011_07","inactive",470,878,421,574,515,719,640,720
"108","G0011","G0011_08","inactive",51,176,243,532,60,242,366,470
"109","G0011","G0011_09","inactive",683,520,363,459,843,568,719,353
"110","G0011","G0011_10","inactive",86,126,143,58,86,182,129,39
"111","G0012","G0012_01","inactive",224,178,392,177,218,132,485,275
"112","G0012","G0012_02","inactive",160,501,839,220,177,591,661,177
"113","G0012","G0012_03","inactive",460,745,1000,378,474,839,906,356
"114","G0012","G0012_04","inactive",242,939,316,243,259,890,471,158
"115","G0012","G0012_05","inactive",560,501,194,476,647,539,250,330
"116","G0012","G0012_06","inactive",621,767,514,980,676,837,703,1050
"117","G0012","G0012_07","inactive",804,1425,566,536,723,1204,580,681
"118","G0012","G0012_08","inactive",486,521,825,709,534,456,835,715
"119","G0012","G0012_09","inactive",1941,2665,2624,2116,1690,3010,2661,2569
"120","G0012","G0012_10","inactive",745,408,535,517,634,422,586,580
"121","G0013","G0013_01","decreasing",717,367,488,635,502,160,360,573
"122","G0013","G0013_02","decreasing",897,1033,1178,522,939,1094,829,567
"123","G0013","G0013_03","decreasing",824,1455,1162,1029,809,1503,962,1113
"124","G0013","G0013_04","decreasing",544,263,720,105,757,168,648,139
"125","G0013","G0013_05","decreasing",1099,1405,635,1256,901,1158,527,1206
"126","G0013","G0013_06","decreasing",787,839,1465,1060,753,629,1093,1043
"127","G0013","G0013_07","decreasing",655,922,843,930,809,706,776,1033
"128","G0013","G0013_08","decreasing",703,1139,1157,1080,559,793,1159,1028
"129","G0013","G0013_09","decreasing",730,1291,1354,1061,849,992,1157,941
"130","G0013","G0013_10","decreasing",114,221,495,152,136,248,457,264
"131","G0014","G0014_01","inactive",785,732,580,509,582,581,517,567
"132","G0014","G0014_02","inactive",344,326,183,70,306,373,278,77
"133","G0014","G0014_03","inactive",127,268,284,137,110,347,299,181
"134","G0014","G0014_04","inactive",916,766,1153,1075,984,572,1278,1007
"135","G0014","G0014_05","inactive",362,85,255,292,387,58,327,357
"136","G0014","G0014_06","inactive",626,590,580,536,570,391,458,507
"137","G0014","G0014_07","inactive",320,299,564,553,333,425,468,684
"138","G0014","G0014_08","inactive",1189,997,827,1001,1073,962,855,1019
"139","G0014","G0014_09","inactive",629,1078,920,770,733,947,828,666
"140","G0014","G0014_10","inactive",697,592,500,753,621,662,673,858
"141","G0015","G0015_01","inactive",552,209,198,192,599,190,200,315
"142","G0015","G0015_02","inactive",1581,1904,1777,1334,1835,1826,1934,1668
"143","G0015","G0015_03","inactive",987,841,898,702,891,887,1233,700
"144","G0015","G0015_04","inactive",2299,1748,2793,1762,2437,1814,2235,1766
"145","G0015","G0015_05","inactive",731,1111,1185,708,584,1076,1286,775
"146","G0015","G0015_06","inactive",1136,1341,1185,1460,1130,1394,1544,1440
"147","G0015","G0015_07","inactive",3151,2695,3084,3349,3071,3332,3090,3541
"148","G0015","G0015_08","inactive",322,562,244,688,366,523,243,717
