"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",979,1277,1197,1190,940,1193,1422,1017
"2","G0001","G0001_02","inactive",1202,1339,948,883,1102,1526,1173,941
"3","G0001","G0001_03","inactive",365,285,212,140,391,222,177,245
"4","G0001","G0001_04","inactive",281,325,288,341,320,308,412,239
"5","G0001","G0001_05","inactive",740,599,580,558,609,542,676,573
"6","G0001","G0001_06","inactive",1392,829,1106,762,1227,744,1435,841
"7","G0001","G0001_07","inactive",1171,851,789,595,1008,774,1035,596
"8","G0001","G0001_08","inactive",1614,1556,1503,1387,1573,1575,1433,1481
"9","G0001","G0001_09","inactive",1204,875,1043,542,829,931,1102,572
"10","G0001","G0001_10","inactive",448,686,832,423,386,617,930,506
"11","G0002","G0002_01","inactive",420,805,725,340,500,539,629,249
"12","G0002","G0002_02","inactive",519,545,576,457,548,487,533,430
"13","G0002","G0002_03","inactive",2206,1368,919,1458,2241,1356,963,1623
"14","G0002","G0002_04","inactive",875,631,803,504,835,563,622,725
"15","G0002","G0002_05","inactive",1750,2161,1361,1202,1728,2541,1322,1306
"16","G0002","G0002_06","inactive",486,678,401,552,538,662,328,547
"17","G0002","G0002_07","inactive",1335,1229,1451,1448,1642,1288,1522,1627
"18","G0002","G0002_08","inactive",173,349,315,544,162,170,425,544
"19","G0002","G0002_09","inactive",625,113,290,385,753,123,336,322
"20","G0002","G0002_10","inactive",607,257,517,599,567,242,463,507
"21","G0003","G0003_01","inactive",928,450,739,737,892,558,767,738
"22","G0003","G0003_02","inactive",3008,1628,1538,2420,3134,1401,1921,2249
"23","G0003","G0003_03","inactive",792,1063,1162,1359,655,827,1460,1087
"24","G0003","G0003_04","inactive",2405,2494,1830,2027,2123,2313,1918,2346
"25","G0003","G0003_05","inactive",526,399,260,283,508,365,284,335
"26","G0003","G0003_06","inactive",384,760,405,505,332,725,367,597
"27","G0003","G0003_07","inactive",1455,1582,1037,1483,1499,1543,1085,1557
"28","G0003","G0003_08","inactive",1213,1352,881,1409,1069,1426,1081,1556
"29","G0003","G0003_09","inactive",438,206,320,373,583,326,404,466
"30","G0003","G0003_10","inactive",433,430,439,260,496,409,461,267
"31","G0004","G0004_01","inactive",913,950,1060,1159,846,1056,1182,974
"32","G0004","G0004_02","inactive",1313,1462,926,1313,1172,1544,987,1437
"33","G0004","G0004_03","inactive",578,731,311,539,532,604,313,435
"34","G0004","G0004_04","inactive",626,988,438,743,585,1018,679,653
"35","G0004","G0004_05","inactive",527,341,424,545,552,345,467,565
"36","G0004","G0004_06","inactive",909,1203,1096,1156,902,995,1223,1082
"37","G0004","G0004_07","inactive",448,511,723,356,394,452,553,406
"38","G0004","G0004_08","inactive",703,980,801,742,607,845,822,861
"39","G0004","G0004_09","inactive",974,293,568,525,938,320,414,671
"40","G0004","G0004_10","inactive",362,773,943,753,358,944,1126,820
"41","G0005","G0005_01","inactive",1269,1204,904,1333,1087,1256,1030,1481
"42","G0005","G0005_02","inactive",1454,1692,1401,1812,1285,1801,1581,1747
"43","G0005","G0005_03","inactive",967,726,1034,524,804,807,1123,579
"44","G0005","G0005_04","inactive",238,174,786,480,460,207,664,656
"45","G0005","G0005_05","inactive",915,1303,1105,935,809,1298,931,961
"46","G0005","G0005_06","inactive",242,358,56,217,114,316,69,207
"47","G0005","G0005_07","inactive",884,1083,992,870,726,1183,1132,1249
"48","G0005","G0005_08","inactive",147,259,278,215,166,362,368,244
"49","G0005","G0005_09","inactive",900,527,561,483,823,680,508,470
"50","G0005","G0005_10","inactive",422,587,184,742,258,481,201,898
"51","G0006","G0006_01","inactive",1056,1457,1121,1010,895,1353,1271,1096
"52","G0006","G0006_02","inactive",1770,1679,1736,1467,1592,1761,2042,1811
"53","G0006","G0006_03","inactive",974,1034,819,396,1063,1118,809,352
"54","G0006","G0006_04","inactive",625,594,444,882,441,485,585,806
"55","G0006","G0006_05","inactive",1227,1022,704,682,943,788,677,777
"56","G0006","G0006_06","inactive",890,637,591,499,993,693,690,425
"57","G0006","G0006_07","inactive",534,764,308,411,611,553,427,390
"58","G0006","G0006_08","inactive",113,583,121,118,135,494,167,151
"59","G0006","G0006_09","inactive",753,143,575,566,668,195,470,559
"60","G0006","G0006_10","inactive",1128,634,714,585,942,843,809,773
"61","G0007","G0007_01","inactive",1121,2249,1619,1769,1400,2549,1535,1919
"62","G0007","G0007_02","inactive",1224,1009,704,1208,1123,838,849,1201
"63","G0007","G0007_03","inactive",691,986,651,805,806,803,665,666
"64","G0007","G0007_04","inactive",204,313,242,330,211,212,176,341
"65","G0007","G0007_05","inactive",2671,2208,2236,2333,2535,2318,3065,2846
"66","G0007","G0007_06","inactive",388,190,488,557,215,218,550,504
"67","G0007","G0007_07","inactive",615,351,317,256,430,541,409,156
"68","G0007","G0007_08","inactive",2501,2343,1485,3098,2443,2172,1691,2481
"69","G0007","G0007_09","inactive",1356,1678,982,1166,1375,1127,1345,1308
"70","G0007","G0007_10","inactive",1303,1151,882,1071,1349,1389,1010,1039
